gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	984	19.2045	1.8961
ENSG00000000460	937	11.0656	1.0925
ENSG00000000938	1426	30.3439	2.9959
ENSG00000000971	715	6.5863	0.6503
ENSG00000001460	328	2.8933	0.2857
ENSG00000001461	1456	11.6131	1.1466
ENSG00000004455	7494	98.9018	9.7647
ENSG00000004487	12066	264.9120	26.1551
ENSG00000006555	64	0.7931	0.0783
ENSG00000007341	2275	21.0369	2.0770
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1101	16.0443	1.5841
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	572	7.8618	0.7762
ENSG00000008118	20	0.5628	0.0556
ENSG00000008128	3658	58.1437	5.7406
ENSG00000008130	3296	43.0800	4.2534
ENSG00000009307	102351	1333.8600	131.6938
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	719	12.6918	1.2531
ENSG00000009780	722	18.8334	1.8595
ENSG00000009790	1375	13.3035	1.3135
ENSG00000010072	3032	38.5036	3.8015
ENSG00000010165	791	15.4299	1.5234
ENSG00000010803	7081	119.4220	11.7907
ENSG00000010932	48	1.0025	0.0990
ENSG00000011007	7561	105.1840	10.3849
ENSG00000011009	2326	79.4344	7.8427
ENSG00000011021	3191	34.7629	3.4322
ENSG00000014914	102	1.6600	0.1639
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	810	12.3596	1.2203
ENSG00000020633	4659	75.8784	7.4916
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	593	34.2194	3.3785
ENSG00000023902	15913	191.3240	18.8897
ENSG00000023909	1174	16.3904	1.6183
ENSG00000024526	83	1.0598	0.1046
ENSG00000025800	13984	136.4380	13.4708
ENSG00000026751	74	1.2068	0.1191
ENSG00000027644	6	0.0953	0.0094
ENSG00000027869	766	22.8850	2.2595
ENSG00000028137	2053	40.8760	4.0357
ENSG00000031698	6169	120.6230	11.9093
ENSG00000033122	84	0.5272	0.0521
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1798	36.7908	3.6324
ENSG00000036549	2522	20.9974	2.0731
ENSG00000037637	8653	72.2398	7.1323
ENSG00000040487	771	21.5231	2.1250
ENSG00000041988	1827	33.6483	3.3222
ENSG00000042781	10	0.0364	0.0036
ENSG00000043514	650	15.8697	1.5668
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8892	65.5135	6.4682
ENSG00000048707	7479	27.5679	2.7218
ENSG00000049089	3781	68.3187	6.7452
ENSG00000049239	3025	24.8831	2.4567
ENSG00000049245	11626	315.9130	31.1906
ENSG00000049246	71	0.7501	0.0741
ENSG00000049247	8	0.3388	0.0334
ENSG00000049249	780	25.6064	2.5282
ENSG00000050628	4	0.0310	0.0031
ENSG00000052723	3601	45.8280	4.5247
ENSG00000053371	3781	159.2230	15.7204
ENSG00000053372	1835	48.7743	4.8155
ENSG00000054116	3136	70.9985	7.0098
ENSG00000054118	7568	119.8550	11.8335
ENSG00000054267	21541	145.9000	14.4049
ENSG00000054277	674	14.5227	1.4338
ENSG00000054282	2597	37.1243	3.6653
ENSG00000054392	941	16.4199	1.6212
ENSG00000054523	1641	6.9542	0.6866
ENSG00000055070	18335	289.6800	28.6005
ENSG00000055732	3	0.0355	0.0035
ENSG00000057252	2198	23.4392	2.3142
ENSG00000057468	14	0.3224	0.0318
ENSG00000057757	7784	267.0670	26.3679
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1724	10.5395	1.0406
ENSG00000058668	6443	49.7123	4.9082
ENSG00000058673	25915	200.3750	19.7833
ENSG00000058799	1215	40.2999	3.9789
ENSG00000058804	1565	22.8537	2.2564
ENSG00000059588	14624	141.6550	13.9858
ENSG00000060642	2181	48.3717	4.7758
ENSG00000060656	63	0.7082	0.0699
ENSG00000060688	2511	46.9454	4.6350
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4908	61.1514	6.0376
ENSG00000064886	26	0.5906	0.0583
ENSG00000065135	8893	208.0400	20.5401
ENSG00000065183	818	14.7535	1.4566
ENSG00000065243	5466	58.4441	5.7703
ENSG00000065526	62923	354.9890	35.0486
ENSG00000065600	2204	56.7183	5.5999
ENSG00000065978	65738	2554.5800	252.2180
ENSG00000066027	7420	144.0530	14.2225
ENSG00000066056	4248	47.5926	4.6989
ENSG00000066135	6186	89.7078	8.8570
ENSG00000066136	2041	25.5732	2.5249
ENSG00000066185	116	3.9777	0.3927
ENSG00000066279	819	5.6444	0.5573
ENSG00000066294	7655	62.0355	6.1249
ENSG00000066322	5005	152.6570	15.0720
ENSG00000066557	1525	39.6512	3.9148
ENSG00000067208	357	3.2334	0.3192
ENSG00000067334	6747	84.2619	8.3193
ENSG00000067533	695	6.6128	0.6529
ENSG00000067606	715	7.0225	0.6933
ENSG00000067704	4813	86.7391	8.5639
ENSG00000069248	3813	56.5466	5.5829
ENSG00000069275	9405	107.7550	10.6388
ENSG00000069424	26752	246.9100	24.3778
ENSG00000069702	136	1.1815	0.1167
ENSG00000069712	118	1.9139	0.1890
ENSG00000069812	50	0.6932	0.0684
ENSG00000070759	2007	43.5081	4.2956
ENSG00000070785	756	18.6372	1.8401
ENSG00000070831	52781	1140.8000	112.6329
ENSG00000070886	4	0.0560	0.0055
ENSG00000072694	22	0.2350	0.0232
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4408	62.7451	6.1949
ENSG00000074800	120442	2204.8200	217.6847
ENSG00000074964	14	0.1327	0.0131
ENSG00000075151	6655	59.2127	5.8462
