gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	276	5.3757	0.4284
ENSG00000000460	340	4.0148	0.3200
ENSG00000000938	50266	1069.7900	85.2586
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	268	2.3629	0.1883
ENSG00000001461	1055	8.4112	0.6703
ENSG00000004455	5842	77.0982	6.1445
ENSG00000004487	6791	149.1080	11.8834
ENSG00000006555	29	0.3589	0.0286
ENSG00000007341	1517	14.0252	1.1178
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1709	24.9064	1.9850
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5100	70.0977	5.5866
ENSG00000008118	16	0.4402	0.0351
ENSG00000008128	5683	90.3474	7.2004
ENSG00000008130	10827	141.4990	11.2770
ENSG00000009307	66345	864.6200	68.9073
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	568	10.0256	0.7990
ENSG00000009780	1143	29.8143	2.3761
ENSG00000009790	4287	41.4681	3.3049
ENSG00000010072	2667	33.8622	2.6987
ENSG00000010165	954	18.6107	1.4832
ENSG00000010803	6359	107.2390	8.5466
ENSG00000010932	15	0.3137	0.0250
ENSG00000011007	10715	149.0740	11.8807
ENSG00000011009	4354	148.6860	11.8498
ENSG00000011021	5511	60.0429	4.7852
ENSG00000014914	12759	208.4350	16.6116
ENSG00000016490	1	0.0243	0.0019
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	13	0.1581	0.0126
ENSG00000020129	1346	20.5284	1.6360
ENSG00000020633	5769	93.9566	7.4880
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	651	37.5604	2.9935
ENSG00000023902	44903	539.8730	43.0260
ENSG00000023909	315	4.3898	0.3499
ENSG00000024526	68	0.8638	0.0688
ENSG00000025800	27037	263.7880	21.0230
ENSG00000026751	257	4.1879	0.3338
ENSG00000027644	5	0.0735	0.0059
ENSG00000027869	245	7.3065	0.5823
ENSG00000028137	90759	1807.4800	144.0498
ENSG00000031698	7035	137.5540	10.9626
ENSG00000033122	20	0.1248	0.0099
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1828	37.4078	2.9813
ENSG00000036549	1801	14.9917	1.1948
ENSG00000037637	10214	85.2705	6.7958
