gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1231	24.0109	3.6120
ENSG00000000460	1226	14.4728	2.1771
ENSG00000000938	1022	21.7543	3.2725
ENSG00000000971	384	3.5354	0.5318
ENSG00000001460	235	2.0700	0.3114
ENSG00000001461	1236	9.8547	1.4824
ENSG00000004455	4297	56.7088	8.5307
ENSG00000004487	13137	288.4390	43.3898
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	668	6.1740	0.9287
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2303	33.5520	5.0472
ENSG00000007933	2	0.0433	0.0065
ENSG00000007968	499	6.8604	1.0320
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5161	82.0435	12.3418
ENSG00000008130	4491	58.6884	8.8285
ENSG00000009307	121977	1589.6200	239.1258
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	9	0.1588	0.0239
ENSG00000009780	673	17.5553	2.6408
ENSG00000009790	1647	15.9368	2.3974
ENSG00000010072	1294	16.4370	2.4726
ENSG00000010165	687	13.4166	2.0183
ENSG00000010803	10298	173.6710	26.1252
ENSG00000010932	8	0.1679	0.0253
ENSG00000011007	6140	85.4153	12.8490
ENSG00000011009	3450	117.8200	17.7236
ENSG00000011021	11981	130.5320	19.6359
ENSG00000014914	195	3.1799	0.4783
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	627	9.5686	1.4394
ENSG00000020633	6093	99.2330	14.9276
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	306	17.6543	2.6557
ENSG00000023902	23770	285.7910	42.9914
ENSG00000023909	174	2.4285	0.3653
ENSG00000024526	371	4.7082	0.7083
ENSG00000025800	21667	211.4000	31.8008
ENSG00000026751	246	4.0004	0.6018
ENSG00000027644	8	0.1208	0.0182
ENSG00000027869	301	8.9797	1.3508
ENSG00000028137	5237	104.2990	15.6897
ENSG00000031698	6145	120.1380	18.0722
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2852	58.3538	8.7781
ENSG00000036549	5076	42.2621	6.3575
ENSG00000037637	4109	34.3001	5.1597
ENSG00000040487	1013	28.2826	4.2545
ENSG00000041988	960	17.6837	2.6602
ENSG00000042781	0	0.0000	0.0000
