gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2490	48.5752	4.8995
ENSG00000000460	981	11.5833	1.1683
ENSG00000000938	2548	54.2284	5.4697
ENSG00000000971	274	2.5189	0.2541
ENSG00000001460	730	6.4282	0.6484
ENSG00000001461	5162	41.1679	4.1524
ENSG00000004455	9116	120.3110	12.1351
ENSG00000004487	12628	277.2480	27.9646
ENSG00000006555	68	0.8459	0.0853
ENSG00000007341	1665	15.3987	1.5532
ENSG00000007908	308	5.4719	0.5519
ENSG00000007923	3773	54.9714	5.5447
ENSG00000007933	27	0.5775	0.0583
ENSG00000007968	9539	131.1050	13.2239
ENSG00000008118	11	0.3072	0.0310
ENSG00000008128	7684	122.1570	12.3213
ENSG00000008130	3661	47.8428	4.8256
ENSG00000009307	117171	1526.9900	154.0191
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	51	0.8939	0.0902
ENSG00000009780	1483	38.6822	3.9017
ENSG00000009790	8014	77.5224	7.8193
ENSG00000010072	6365	80.8310	8.1530
ENSG00000010165	1403	27.3823	2.7619
ENSG00000010803	10883	183.5480	18.5135
ENSG00000010932	2	0.0417	0.0042
ENSG00000011007	14561	202.5730	20.4324
ENSG00000011009	4755	162.3940	16.3799
ENSG00000011021	9160	99.7921	10.0655
ENSG00000014914	105	1.7105	0.1725
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1032	15.7409	1.5877
ENSG00000020633	24976	406.7820	41.0299
ENSG00000021852	1	0.0216	0.0022
ENSG00000023572	493	28.4927	2.8739
ENSG00000023902	19657	236.3320	23.8376
ENSG00000023909	2264	31.6035	3.1877
ENSG00000024526	2723	34.5962	3.4895
ENSG00000025800	24699	240.9780	24.3061
ENSG00000026751	752	12.2533	1.2359
ENSG00000027644	15	0.2245	0.0226
ENSG00000027869	1083	32.3432	3.2623
ENSG00000028137	9840	195.9600	19.7655
ENSG00000031698	9788	191.3800	19.3035
ENSG00000033122	1	0.0044	0.0004
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4558	93.2501	9.4057
ENSG00000036549	10989	91.4900	9.2281
ENSG00000037637	12058	100.6600	10.1531
ENSG00000040487	1677	46.8317	4.7237
ENSG00000041988	1770	32.6019	3.2884
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2629	64.1934	6.4749
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	33078	243.7000	24.5807
