gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1078	21.0286	1.8689
ENSG00000000460	1711	20.2002	1.7953
ENSG00000000938	392	8.3408	0.7413
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	764	6.7269	0.5979
ENSG00000001461	1744	13.9121	1.2364
ENSG00000004455	6722	88.7130	7.8844
ENSG00000004487	14410	316.3790	28.1182
ENSG00000006555	58	0.7229	0.0642
ENSG00000007341	1871	17.2979	1.5374
ENSG00000007908	75	1.3356	0.1187
ENSG00000007923	3227	47.0266	4.1795
ENSG00000007933	2	0.0433	0.0038
ENSG00000007968	404	5.5472	0.4930
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4792	76.1793	6.7704
ENSG00000008130	6091	79.5942	7.0739
ENSG00000009307	163262	2127.6500	189.0952
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	627	11.0595	0.9829
ENSG00000009780	555	14.4771	1.2867
ENSG00000009790	661	6.3920	0.5681
ENSG00000010072	2996	38.0506	3.3817
ENSG00000010165	1145	22.3531	1.9866
ENSG00000010803	12993	219.1230	19.4745
ENSG00000010932	11	0.2387	0.0212
ENSG00000011007	8021	111.5830	9.9170
ENSG00000011009	2546	86.9595	7.7285
ENSG00000011021	6612	72.0392	6.4025
ENSG00000014914	8	0.1307	0.0116
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0307	0.0027
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1602	24.4375	2.1719
ENSG00000020633	5829	94.9359	8.4374
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	431	24.9122	2.2141
ENSG00000023902	32992	396.6670	35.2538
ENSG00000023909	276	3.8470	0.3419
ENSG00000024526	78	0.9939	0.0883
ENSG00000025800	23607	230.3230	20.4700
ENSG00000026751	739	12.0363	1.0697
ENSG00000027644	23	0.3360	0.0299
ENSG00000027869	844	25.1923	2.2390
ENSG00000028137	3007	59.8800	5.3218
ENSG00000031698	8479	165.7720	14.7330
ENSG00000033122	88	0.5481	0.0487
ENSG00000034971	2	0.0720	0.0064
ENSG00000035687	2041	41.7591	3.7113
ENSG00000036549	4120	34.3022	3.0486
