gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	390	7.6145	1.0831
ENSG00000000460	270	3.1846	0.4530
ENSG00000000938	2607	55.4745	7.8906
ENSG00000000971	100	0.9209	0.1310
ENSG00000001460	25	0.2202	0.0313
ENSG00000001461	664	5.2966	0.7534
ENSG00000004455	3395	44.8019	6.3725
ENSG00000004487	4958	108.8550	15.4833
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	575	5.3193	0.7566
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	938	13.6672	1.9440
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1819	24.9969	3.5555
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2280	36.2459	5.1556
ENSG00000008130	3819	49.9047	7.0984
ENSG00000009307	41128	535.9810	76.2370
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0100
ENSG00000009780	247	6.4531	0.9179
ENSG00000009790	419	4.0546	0.5767
ENSG00000010072	1045	13.2758	1.8883
ENSG00000010165	171	3.3287	0.4735
ENSG00000010803	8037	135.5410	19.2791
ENSG00000010932	18	0.3777	0.0537
ENSG00000011007	4274	59.4626	8.4579
ENSG00000011009	2648	90.4413	12.8642
ENSG00000011021	1992	21.7045	3.0872
ENSG00000014914	1534	25.0534	3.5635
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1643	25.0614	3.5647
ENSG00000020633	6032	98.2428	13.9739
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	433	25.0000	3.5560
ENSG00000023902	22984	276.3380	39.3059
ENSG00000023909	278	3.8729	0.5509
ENSG00000024526	32	0.4065	0.0578
ENSG00000025800	12357	120.5610	17.1484
ENSG00000026751	33	0.5376	0.0765
ENSG00000027644	4	0.0588	0.0084
ENSG00000027869	1818	54.2715	7.7195
ENSG00000028137	3738	74.4429	10.5886
ENSG00000031698	4002	78.2523	11.1305
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	470	9.6121	1.3672
ENSG00000036549	1810	15.0705	2.1436
ENSG00000037637	3426	28.6047	4.0687
ENSG00000040487	385	10.7494	1.5290
ENSG00000041988	1552	28.5911	4.0668
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	355	8.6796	1.2346
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3910	28.8089	4.0977
ENSG00000048707	1194	4.4020	0.6261
ENSG00000049089	1054	19.0506	2.7097
ENSG00000049239	1186	9.7586	1.3880
ENSG00000049245	12062	327.7760	46.6223
ENSG00000049246	74	0.7804	0.1110
ENSG00000049247	198	8.3315	1.1851
ENSG00000049249	98	3.2180	0.4577
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1259	16.0163	2.2781
ENSG00000053371	2960	124.6650	17.7321
ENSG00000053372	2030	53.9472	7.6733
ENSG00000054116	1941	43.9375	6.2496
ENSG00000054118	5347	84.6772	12.0443
ENSG00000054267	5878	39.8141	5.6631
ENSG00000054277	244	5.2586	0.7480
ENSG00000054282	2882	41.1913	5.8590
ENSG00000054392	123	2.1473	0.3054
ENSG00000054523	1859	7.8782	1.1206
ENSG00000055070	28663	452.8630	64.4144
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1208	12.8864	1.8329
ENSG00000057468	7	0.1607	0.0229
ENSG00000057757	3779	129.6530	18.4417
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	754	4.6132	0.6562
ENSG00000058668	700	5.4007	0.7682
ENSG00000058673	5253	40.6122	5.7766
ENSG00000058799	1481	49.1141	6.9859
ENSG00000058804	745	10.8874	1.5486
ENSG00000059588	1906	18.4580	2.6254
ENSG00000060642	468	10.3873	1.4775
ENSG00000060656	105	1.1736	0.1669
ENSG00000060688	1471	27.4969	3.9111
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1117	13.9183	1.9797
ENSG00000064886	54	1.2291	0.1748
ENSG00000065135	5134	120.0990	17.0827
ENSG00000065183	96	1.7312	0.2462
ENSG00000065243	1334	14.2660	2.0292
ENSG00000065526	24232	136.7080	19.4450
ENSG00000065600	1185	30.5120	4.3400
ENSG00000065978	85853	3336.2600	474.5434
ENSG00000066027	3938	76.4587	10.8753
ENSG00000066056	4055	45.4281	6.4616
ENSG00000066135	1366	19.8026	2.8167
ENSG00000066136	2970	37.2108	5.2928
ENSG00000066185	50	1.7084	0.2430
ENSG00000066279	232	1.5982	0.2273
ENSG00000066294	313	2.5341	0.3604
ENSG00000066322	7991	243.7240	34.6668
ENSG00000066557	870	22.6307	3.2190
ENSG00000067208	164	1.4833	0.2110
ENSG00000067334	3963	49.4918	7.0396
ENSG00000067533	777	7.3945	1.0518
ENSG00000067606	96	0.9412	0.1339
ENSG00000067704	1509	27.1980	3.8686
ENSG00000069248	1123	16.6496	2.3682
ENSG00000069275	3306	37.8764	5.3875
ENSG00000069424	6403	59.0960	8.4057
ENSG00000069702	92	0.7960	0.1132
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1910	41.4000	5.8887
ENSG00000070785	177	4.3625	0.6205
ENSG00000070831	31155	673.3730	95.7793
ENSG00000070886	9	0.1260	0.0179
ENSG00000072694	191	2.0476	0.2912
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	437	6.2247	0.8854
ENSG00000074800	161369	2954.0300	420.1759
ENSG00000074964	36	0.3441	0.0489
ENSG00000075151	4678	41.6275	5.9210
ENSG00000075391	236	1.4977	0.2130
ENSG00000075945	880	13.1669	1.8728
ENSG00000076258	106	3.1585	0.4493
ENSG00000076321	579	10.2062	1.4517
ENSG00000076356	213	1.1575	0.1646
ENSG00000076864	60	0.7094	0.1009
ENSG00000077152	327	23.0169	3.2739
