gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1378	26.8879	2.4445
ENSG00000000460	877	10.3536	0.9413
ENSG00000000938	4463	94.9869	8.6359
ENSG00000000971	1065	9.8056	0.8915
ENSG00000001460	501	4.4093	0.4009
ENSG00000001461	4351	34.7019	3.1550
ENSG00000004455	21810	287.8300	26.1686
ENSG00000004487	16081	353.0680	32.0998
ENSG00000006555	43	0.5374	0.0489
ENSG00000007341	2750	25.4290	2.3119
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3982	58.0190	5.2749
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	466	6.3987	0.5817
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6190	98.4031	8.9465
ENSG00000008130	6185	80.8221	7.3481
ENSG00000009307	101664	1324.9000	120.4554
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	764	13.4761	1.2252
ENSG00000009780	507	13.2309	1.2029
ENSG00000009790	5946	57.5237	5.2299
ENSG00000010072	1627	20.6551	1.8779
ENSG00000010165	1517	29.6089	2.6919
ENSG00000010803	10844	182.8950	16.6282
ENSG00000010932	6	0.1234	0.0112
ENSG00000011007	9030	125.6290	11.4217
ENSG00000011009	4187	143.0150	13.0024
ENSG00000011021	12082	131.6280	11.9672
ENSG00000014914	83	1.3522	0.1229
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1402	21.3874	1.9445
ENSG00000020633	7779	126.6990	11.5190
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	432	24.9515	2.2685
ENSG00000023902	26820	322.4610	29.3171
ENSG00000023909	438	6.1061	0.5551
ENSG00000024526	3	0.0381	0.0035
ENSG00000025800	20180	196.8890	17.9004
ENSG00000026751	499	8.1321	0.7393
ENSG00000027644	139	2.0445	0.1859
ENSG00000027869	1205	35.9805	3.2712
ENSG00000028137	32534	647.9210	58.9068
ENSG00000031698	12508	244.5460	22.2333
ENSG00000033122	68	0.4275	0.0389
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4834	98.8931	8.9910
