gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1268	24.7412	2.6024
ENSG00000000460	682	8.0554	0.8473
ENSG00000000938	5508	117.2290	12.3308
ENSG00000000971	10	0.0964	0.0101
ENSG00000001460	19	0.1708	0.0180
ENSG00000001461	116	0.9216	0.0969
ENSG00000004455	1672	22.0695	2.3214
ENSG00000004487	11822	259.5550	27.3014
ENSG00000006555	18	0.2230	0.0235
ENSG00000007341	1021	9.4425	0.9932
ENSG00000007908	6	0.1150	0.0121
ENSG00000007923	592	8.6305	0.9078
ENSG00000007933	8	0.1750	0.0184
ENSG00000007968	1967	27.0328	2.8435
ENSG00000008118	43	1.2160	0.1279
ENSG00000008128	2731	43.4137	4.5665
ENSG00000008130	3395	44.3677	4.6668
ENSG00000009307	222942	2905.4200	305.6075
ENSG00000009709	17	0.2031	0.0214
ENSG00000009724	2816	49.6813	5.2257
ENSG00000009780	1394	36.3456	3.8230
ENSG00000009790	1046	10.1194	1.0644
ENSG00000010072	2560	32.5134	3.4199
ENSG00000010165	755	14.7429	1.5507
ENSG00000010803	6906	116.4770	12.2516
ENSG00000010932	11	0.2325	0.0245
ENSG00000011007	20552	285.9270	30.0753
ENSG00000011009	2961	101.1380	10.6382
ENSG00000011021	7983	86.9720	9.1482
ENSG00000014914	820	13.3940	1.4089
ENSG00000016490	7	0.1653	0.0174
ENSG00000016602	13	0.2730	0.0287
ENSG00000018625	18	0.2188	0.0230
ENSG00000020129	187	2.8548	0.3003
ENSG00000020633	7442	121.2120	12.7497
ENSG00000021852	5	0.1440	0.0151
ENSG00000023572	384	22.1717	2.3321
ENSG00000023902	30985	372.5300	39.1847
ENSG00000023909	357	4.9831	0.5241
ENSG00000024526	249	3.1638	0.3328
ENSG00000025800	41361	403.5450	42.4470
ENSG00000026751	266	4.3273	0.4552
ENSG00000027644	47	0.6959	0.0732
ENSG00000027869	72	2.1505	0.2262
ENSG00000028137	24644	490.7820	51.6231
ENSG00000031698	7627	149.1260	15.6858
ENSG00000033122	258	1.6137	0.1697
ENSG00000034971	7	0.2631	0.0277
ENSG00000035687	2287	46.7859	4.9212
ENSG00000036549	9087	75.6596	7.9583
ENSG00000037637	9107	76.0229	7.9965
ENSG00000040487	1374	38.3656	4.0355
ENSG00000041988	1666	30.6803	3.2271
ENSG00000042781	118	0.4287	0.0451
ENSG00000043514	1792	43.7730	4.6043
ENSG00000044012	1	0.1139	0.0120
ENSG00000047410	27892	205.4920	21.6148
ENSG00000048707	16348	60.2640	6.3389
ENSG00000049089	810	14.6324	1.5391
ENSG00000049239	1072	8.8163	0.9273
ENSG00000049245	8010	217.6640	22.8951
ENSG00000049246	41	0.4314	0.0454
ENSG00000049247	3	0.1172	0.0123
ENSG00000049249	150	4.9313	0.5187
ENSG00000050628	32	0.2484	0.0261
ENSG00000052723	3795	48.2876	5.0791
ENSG00000053371	1395	58.7288	6.1774
ENSG00000053372	2085	55.4125	5.8286
ENSG00000054116	1893	42.8542	4.5076
ENSG00000054118	26592	421.1100	44.2946
ENSG00000054267	28650	194.0500	20.4112
ENSG00000054277	765	16.4799	1.7335
ENSG00000054282	1054	15.0707	1.5852
ENSG00000054392	108	1.8843	0.1982
ENSG00000054523	3899	16.5287	1.7386
ENSG00000055070	38109	602.0940	63.3314
ENSG00000055732	11	0.1223	0.0129
ENSG00000057252	13295	141.7810	14.9133
ENSG00000057468	58	1.3285	0.1397
ENSG00000057757	9604	329.4930	34.6579
ENSG00000058085	13	0.1544	0.0162
ENSG00000058453	163	0.9978	0.1050
ENSG00000058668	5402	41.6773	4.3838
ENSG00000058673	46023	355.8440	37.4296
ENSG00000058799	1632	54.1247	5.6931
ENSG00000058804	1451	21.1860	2.2284
ENSG00000059588	3107	30.0975	3.1658
ENSG00000060642	543	12.0449	1.2670
ENSG00000060656	169	1.8951	0.1993
ENSG00000060688	3468	64.8522	6.8215
