gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1645	32.1035	2.1720
ENSG00000000460	2270	26.7901	1.8125
ENSG00000000938	21168	450.5070	30.4794
ENSG00000000971	1	0.0092	0.0006
ENSG00000001460	1314	11.5739	0.7830
ENSG00000001461	3979	31.7301	2.1467
ENSG00000004455	17832	235.3360	15.9218
ENSG00000004487	20512	450.3530	30.4690
ENSG00000006555	4	0.0495	0.0034
ENSG00000007341	4331	40.0434	2.7092
ENSG00000007908	2	0.0356	0.0024
ENSG00000007923	4257	62.0342	4.1970
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3012	41.4022	2.8011
ENSG00000008118	14	0.4043	0.0274
ENSG00000008128	3919	62.2991	4.2149
ENSG00000008130	7731	101.0290	6.8352
ENSG00000009307	235224	3065.4700	207.3970
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	187	3.2952	0.2229
ENSG00000009780	1114	29.0563	1.9658
ENSG00000009790	8414	81.3986	5.5071
ENSG00000010072	3428	43.5303	2.9451
ENSG00000010165	2612	50.9750	3.4488
ENSG00000010803	14689	247.7350	16.7607
ENSG00000010932	19	0.3982	0.0269
ENSG00000011007	17429	242.4720	16.4047
ENSG00000011009	3843	131.2330	8.8787
ENSG00000011021	15225	165.8690	11.2220
ENSG00000014914	11590	189.3410	12.8100
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1596	24.3392	1.6467
ENSG00000020633	362	5.8964	0.3989
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1048	60.5027	4.0934
ENSG00000023902	38319	460.7110	31.1698
ENSG00000023909	513	7.1563	0.4842
ENSG00000024526	123	1.5616	0.1057
ENSG00000025800	48404	472.2620	31.9513
ENSG00000026751	1401	22.8295	1.5446
ENSG00000027644	22	0.3242	0.0219
ENSG00000027869	189	5.6541	0.3825
ENSG00000028137	77493	1543.2700	104.4112
ENSG00000031698	14631	286.0530	19.3532
ENSG00000033122	92	0.5725	0.0387
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	8056	164.8150	11.1507
ENSG00000036549	8936	74.4006	5.0336
ENSG00000037637	18224	152.1360	10.2929
ENSG00000040487	1959	54.7115	3.7016
ENSG00000041988	3301	60.7937	4.1130
ENSG00000042781	12	0.0446	0.0030
ENSG00000043514	2711	66.2012	4.4789
ENSG00000044012	0	0.0570	0.0038
ENSG00000047410	28558	210.4010	14.2349
ENSG00000048707	13681	50.4304	3.4119
ENSG00000049089	1869	33.7723	2.2849
ENSG00000049239	3241	26.6605	1.8037
ENSG00000049245	15499	421.1790	28.4953
ENSG00000049246	356	3.7573	0.2542
ENSG00000049247	73	3.0740	0.2080
ENSG00000049249	341	11.1940	0.7573
ENSG00000050628	1	0.0080	0.0005
ENSG00000052723	8378	106.6040	7.2124
ENSG00000053371	4253	179.0880	12.1164
ENSG00000053372	3550	94.3441	6.3829
ENSG00000054116	4716	106.7520	7.2224
ENSG00000054118	32023	507.1140	34.3092
ENSG00000054267	31880	215.9290	14.6089
ENSG00000054277	6197	133.5520	9.0356
ENSG00000054282	5590	79.9076	5.4062
ENSG00000054392	576	10.0617	0.6807
ENSG00000054523	12972	54.9864	3.7202
ENSG00000055070	35563	561.8700	38.0138
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	31354	334.3590	22.6214
ENSG00000057468	42	0.9611	0.0650
ENSG00000057757	15081	517.4020	35.0053
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1468	8.9786	0.6075
ENSG00000058668	9133	70.4613	4.7671
ENSG00000058673	63332	489.6790	33.1297
