gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1332	25.9865	3.3509
ENSG00000000460	452	5.3336	0.6878
ENSG00000000938	1505	32.0244	4.1295
ENSG00000000971	8	0.0737	0.0095
ENSG00000001460	401	3.5338	0.4557
ENSG00000001461	1533	12.2260	1.5765
ENSG00000004455	5619	74.1605	9.5630
ENSG00000004487	6551	143.8290	18.5468
ENSG00000006555	13	0.1610	0.0208
ENSG00000007341	936	8.6545	1.1160
ENSG00000007908	5	0.0889	0.0115
ENSG00000007923	1589	23.1599	2.9865
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	821	11.2824	1.4549
ENSG00000008118	2	0.0448	0.0058
ENSG00000008128	2850	45.3006	5.8415
ENSG00000008130	2131	27.8493	3.5912
ENSG00000009307	70193	914.7720	117.9598
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	13	0.2294	0.0296
ENSG00000009780	721	18.8025	2.4246
ENSG00000009790	641	6.1960	0.7990
ENSG00000010072	2743	34.8295	4.4913
ENSG00000010165	884	17.2571	2.2253
ENSG00000010803	4506	75.9919	9.7992
ENSG00000010932	2	0.0420	0.0054
ENSG00000011007	11131	154.8610	19.9694
ENSG00000011009	3089	105.4950	13.6035
ENSG00000011021	3098	33.7562	4.3529
ENSG00000014914	123	2.0139	0.2597
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	350	5.3376	0.6883
ENSG00000020633	20690	336.9690	43.4522
ENSG00000021852	1	0.0213	0.0027
ENSG00000023572	678	39.1347	5.0464
ENSG00000023902	15194	182.6770	23.5563
ENSG00000023909	1054	14.7162	1.8977
ENSG00000024526	308	3.9128	0.5045
ENSG00000025800	10021	97.7755	12.6081
ENSG00000026751	178	2.8996	0.3739
ENSG00000027644	412	6.0547	0.7808
ENSG00000027869	5839	174.3300	22.4799
ENSG00000028137	2487	49.5327	6.3872
ENSG00000031698	1048	20.4857	2.6416
ENSG00000033122	10	0.0624	0.0081
ENSG00000034971	12	0.4321	0.0557
ENSG00000035687	1885	38.5671	4.9732
ENSG00000036549	5259	43.7881	5.6465
ENSG00000037637	7745	64.6546	8.3372
ENSG00000040487	1996	55.7278	7.1861
ENSG00000041988	869	16.0096	2.0644
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1277	31.1775	4.0203
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12036	88.6720	11.4343
ENSG00000048707	8789	32.3988	4.1778
ENSG00000049089	641	11.5791	1.4931
ENSG00000049239	9743	80.1515	10.3355
ENSG00000049245	15268	414.9040	53.5019
ENSG00000049246	71	0.7479	0.0964
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	142	4.6629	0.6013
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3754	47.7728	6.1603
ENSG00000053371	2077	87.4818	11.2808
ENSG00000053372	737	19.5875	2.5258
ENSG00000054116	2403	54.4075	7.0158
ENSG00000054118	10941	173.2690	22.3431
ENSG00000054267	12603	85.3625	11.0075
ENSG00000054277	981	21.1385	2.7258
ENSG00000054282	3124	44.6609	5.7590
ENSG00000054392	37	0.6525	0.0841
ENSG00000054523	2492	10.5648	1.3623
ENSG00000055070	13473	212.8710	27.4497
ENSG00000055732	11	0.1240	0.0160
ENSG00000057252	3279	34.9679	4.5091
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4635	159.0100	20.5043
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	274	1.6767	0.2162
ENSG00000058668	12035	92.8530	11.9734
ENSG00000058673	26596	205.6410	26.5173
ENSG00000058799	2552	84.6444	10.9149
ENSG00000058804	1999	29.1899	3.7640
ENSG00000059588	3962	38.3807	4.9492
ENSG00000060642	986	21.8575	2.8185
ENSG00000060656	1433	16.0366	2.0679
ENSG00000060688	4551	85.0920	10.9726
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5072	63.2029	8.1500
ENSG00000064886	24	0.5451	0.0703
ENSG00000065135	9709	227.1330	29.2888
ENSG00000065183	608	10.9728	1.4149
ENSG00000065243	7474	79.9165	10.3052
ENSG00000065526	48525	273.7580	35.3011
ENSG00000065600	1654	42.5583	5.4879
ENSG00000065978	69965	2718.8500	350.5955
ENSG00000066027	6170	119.7870	15.4466
ENSG00000066056	986	11.0454	1.4243
ENSG00000066135	2536	36.7701	4.7415
ENSG00000066136	3762	47.1236	6.0766
ENSG00000066185	59	2.0160	0.2600
ENSG00000066279	482	3.3230	0.4285
