gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1244	24.2760	2.7684
ENSG00000000460	497	5.8667	0.6690
ENSG00000000938	7599	161.7160	18.4417
ENSG00000000971	376	3.4627	0.3949
ENSG00000001460	342	3.0120	0.3435
ENSG00000001461	3071	24.4884	2.7926
ENSG00000004455	11045	145.7570	16.6218
ENSG00000004487	8603	188.8910	21.5407
ENSG00000006555	69	0.8599	0.0981
ENSG00000007341	1231	11.3797	1.2977
ENSG00000007908	3	0.0533	0.0061
ENSG00000007923	2059	30.0089	3.4221
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	821	11.2833	1.2867
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3545	56.3531	6.4264
ENSG00000008130	5891	76.9801	8.7786
ENSG00000009307	92620	1207.0400	137.6481
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	3	0.0522	0.0060
ENSG00000009780	525	13.7027	1.5626
ENSG00000009790	2317	22.4103	2.5556
ENSG00000010072	1943	24.6776	2.8142
ENSG00000010165	1064	20.7736	2.3690
ENSG00000010803	6172	104.0890	11.8701
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5790	80.5524	9.1860
ENSG00000011009	3564	121.7110	13.8796
ENSG00000011021	7736	84.2798	9.6111
ENSG00000014914	191	3.1283	0.3567
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0127	0.0015
ENSG00000020129	1762	26.8798	3.0653
ENSG00000020633	18488	301.1130	34.3382
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	480	27.7044	3.1593
ENSG00000023902	32806	394.4260	44.9794
ENSG00000023909	1427	19.9101	2.2705
ENSG00000024526	100	1.2679	0.1446
ENSG00000025800	16483	160.8240	18.3400
ENSG00000026751	267	4.3553	0.4967
ENSG00000027644	10	0.1411	0.0161
ENSG00000027869	696	20.7858	2.3704
ENSG00000028137	10424	207.5900	23.6731
ENSG00000031698	4937	96.5328	11.0084
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3421	69.9888	7.9813
ENSG00000036549	4028	33.5360	3.8244
ENSG00000037637	8911	74.3931	8.4836
ENSG00000040487	1184	33.0681	3.7710
ENSG00000041988	1145	21.0808	2.4040
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1036	25.2989	2.8850
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8209	60.4809	6.8971
ENSG00000048707	7401	27.2805	3.1110
ENSG00000049089	1153	20.8391	2.3764
ENSG00000049239	7117	58.5446	6.6763
ENSG00000049245	9559	259.7580	29.6222
ENSG00000049246	1149	12.1299	1.3833
ENSG00000049247	10	0.4133	0.0472
ENSG00000049249	49	1.6029	0.1828
ENSG00000050628	14	0.1088	0.0124
ENSG00000052723	4613	58.7019	6.6942
ENSG00000053371	8667	364.9850	41.6221
ENSG00000053372	2094	55.6499	6.3462
ENSG00000054116	3090	69.9433	7.9762
ENSG00000054118	7778	123.1740	14.0465
ENSG00000054267	13019	88.1785	10.0557
ENSG00000054277	981	21.1480	2.4117
