gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1093	21.3231	2.5851
ENSG00000000460	697	8.2257	0.9973
ENSG00000000938	5186	110.3730	13.3813
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	176	1.5510	0.1880
ENSG00000001461	802	6.3924	0.7750
ENSG00000004455	3491	46.0709	5.5855
ENSG00000004487	7741	169.9620	20.6056
ENSG00000006555	41	0.5075	0.0615
ENSG00000007341	914	8.4517	1.0247
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1368	19.9337	2.4167
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3239	44.5146	5.3968
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4698	74.6747	9.0533
ENSG00000008130	4821	63.0040	7.6384
ENSG00000009307	118140	1539.6200	186.6574
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	6	0.1056	0.0128
ENSG00000009780	726	18.9378	2.2959
ENSG00000009790	2925	28.2999	3.4310
ENSG00000010072	3572	45.3645	5.4998
ENSG00000010165	720	14.0536	1.7038
ENSG00000010803	7833	132.1120	16.0167
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	9427	131.1440	15.8994
ENSG00000011009	2161	73.7896	8.9460
ENSG00000011021	3944	42.9650	5.2089
ENSG00000014914	1265	20.6652	2.5054
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	188	2.8747	0.3485
ENSG00000020633	6726	109.5390	13.2801
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	492	28.4080	3.4441
ENSG00000023902	22278	267.8550	32.4737
ENSG00000023909	542	7.5653	0.9172
ENSG00000024526	158	2.0098	0.2437
ENSG00000025800	17955	175.1840	21.2386
ENSG00000026751	342	5.5775	0.6762
ENSG00000027644	68	0.9986	0.1211
ENSG00000027869	2486	74.2094	8.9969
ENSG00000028137	26100	519.7900	63.0175
ENSG00000031698	5569	108.8810	13.2004
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3095	63.3183	7.6765
ENSG00000036549	7343	61.1349	7.4118
ENSG00000037637	5368	44.8163	5.4334
ENSG00000040487	495	13.8306	1.6768
ENSG00000041988	586	10.7861	1.3077
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1069	26.1172	3.1663
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17789	131.0600	15.8893
ENSG00000048707	4640	17.1032	2.0735
ENSG00000049089	689	12.4522	1.5097
ENSG00000049239	1306	10.7450	1.3027
ENSG00000049245	20794	565.0550	68.5052
ENSG00000049246	335	3.5408	0.4293
ENSG00000049247	79	3.3146	0.4019
ENSG00000049249	172	5.6388	0.6836
ENSG00000050628	14	0.1088	0.0132
ENSG00000052723	6002	76.3704	9.2589
ENSG00000053371	2056	86.5722	10.4957
ENSG00000053372	1355	36.0120	4.3660
ENSG00000054116	1981	44.8524	5.4377
ENSG00000054118	13239	209.6590	25.4183
ENSG00000054267	23708	160.5780	19.4678
ENSG00000054277	846	18.2270	2.2098
ENSG00000054282	1806	25.8210	3.1304
ENSG00000054392	290	5.0563	0.6130
ENSG00000054523	3340	14.1566	1.7163
ENSG00000055070	14206	224.4470	27.2111
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6427	68.5368	8.3091
ENSG00000057468	19	0.4354	0.0528
ENSG00000057757	5234	179.5850	21.7722
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	234	1.4298	0.1734
ENSG00000058668	2346	18.0964	2.1939
ENSG00000058673	29253	226.1810	27.4213
ENSG00000058799	1807	59.9279	7.2655
ENSG00000058804	1350	19.7120	2.3898
ENSG00000059588	7524	72.8774	8.8354
ENSG00000060642	706	15.6620	1.8988
ENSG00000060656	77	0.8566	0.1038
ENSG00000060688	3298	61.6697	7.4766
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5600	69.7765	8.4595
ENSG00000064886	137	3.1247	0.3788
ENSG00000065135	20222	473.0630	57.3525
ENSG00000065183	975	17.5742	2.1306
ENSG00000065243	9835	105.1610	12.7493
ENSG00000065526	49691	280.3380	33.9871
ENSG00000065600	873	22.4777	2.7251
ENSG00000065978	80622	3132.9700	379.8296
ENSG00000066027	11971	232.4180	28.1775
ENSG00000066056	1763	19.7578	2.3954
ENSG00000066135	2046	29.6674	3.5968
ENSG00000066136	4180	52.3576	6.3476
ENSG00000066185	51	1.7426	0.2113
ENSG00000066279	448	3.0867	0.3742
ENSG00000066294	7719	62.5538	7.5838
ENSG00000066322	7538	229.9160	27.8742
ENSG00000066557	4939	128.4470	15.5725
ENSG00000067208	594	5.3862	0.6530
ENSG00000067334	21616	269.9740	32.7307
ENSG00000067533	2225	21.1733	2.5670
ENSG00000067606	75	0.7366	0.0893
ENSG00000067704	5374	96.8484	11.7415
ENSG00000069248	5996	88.9292	10.7815
ENSG00000069275	14027	160.7180	19.4848
ENSG00000069424	19571	180.6360	21.8997
ENSG00000069702	918	7.9599	0.9650
ENSG00000069712	127	2.0604	0.2498
ENSG00000069812	48	0.6658	0.0807
ENSG00000070759	1890	40.9653	4.9665
ENSG00000070785	235	5.7982	0.7029
ENSG00000070831	40960	885.3020	107.3308
ENSG00000070886	6	0.0840	0.0102
ENSG00000072694	1520	16.2916	1.9751
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	5277	75.1194	9.1072
ENSG00000074800	133101	2436.5600	295.4001
ENSG00000074964	407	3.8880	0.4714
ENSG00000075151	4903	43.6290	5.2894
ENSG00000075391	379	2.4026	0.2913
ENSG00000075945	1515	22.6641	2.7477
ENSG00000076258	97	2.8792	0.3491
ENSG00000076321	2973	52.4236	6.3557
ENSG00000076356	406	2.2069	0.2676
ENSG00000076864	19	0.2247	0.0272
ENSG00000077152	194	13.6789	1.6584
ENSG00000077157	1029	5.3586	0.6497
ENSG00000077254	4692	50.8695	6.1672
ENSG00000077522	8	0.1107	0.0134
ENSG00000077549	14502	312.5470	37.8921
ENSG00000077585	492	16.1760	1.9611
ENSG00000078369	49645	606.8100	73.5675
ENSG00000078618	9119	103.3300	12.5273
ENSG00000078808	11697	186.7720	22.6435
ENSG00000078900	0	0.0000	0.0000
ENSG00000079277	4768	44.3645	5.3786
ENSG00000079335	7414	97.0559	11.7667
ENSG00000079739	2357	42.4565	5.1473
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	57	0.6226	0.0755
ENSG00000081019	9262	101.8720	12.3506
ENSG00000081026	19	0.1741	0.0211
ENSG00000081237	70909	625.1490	75.7908
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	6	0.0725	0.0088
ENSG00000081692	427	7.4151	0.8990
ENSG00000081721	4418	188.0620	22.8000
ENSG00000081870	1647	44.7840	5.4294
ENSG00000081985	27	0.4831	0.0586
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	9377	77.9509	9.4505
ENSG00000083444	1107	15.5926	1.8904
ENSG00000084070	35125	798.5470	96.8129
ENSG00000084072	3995	37.1263	4.5011
ENSG00000084073	5924	124.3920	15.0809
ENSG00000084623	19684	855.8250	103.7571
ENSG00000084628	2	0.0502	0.0061
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	4632	68.0749	8.2531
ENSG00000085433	5451	90.1215	10.9260
ENSG00000085465	615	15.4307	1.8708
ENSG00000085491	9862	112.9610	13.6950
ENSG00000085552	425	4.8140	0.5836
ENSG00000085831	47	0.3757	0.0455
ENSG00000085832	21582	214.3590	25.9881
ENSG00000085840	1311	31.1384	3.7751
ENSG00000085998	636	7.4903	0.9081
ENSG00000085999	148	3.4657	0.4202
ENSG00000086015	794	6.7055	0.8129
ENSG00000086619	5203	68.6111	8.3182
ENSG00000088035	450	6.8275	0.8277
ENSG00000088280	41	0.6243	0.0757
ENSG00000090020	2472	31.0273	3.7616
ENSG00000090104	9477	172.6430	20.9306
ENSG00000090273	4368	114.6730	13.9026
ENSG00000090432	5499	169.2890	20.5240
ENSG00000090621	30876	341.4450	41.3956
ENSG00000090686	3986	31.4806	3.8166
