gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1023	19.9649	3.0090
ENSG00000000460	338	3.9865	0.6008
ENSG00000000938	1318	28.0545	4.2282
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	382	3.3649	0.5071
ENSG00000001461	1195	9.5319	1.4366
ENSG00000004455	2246	29.6463	4.4681
ENSG00000004487	8071	177.1940	26.7056
ENSG00000006555	321	3.9726	0.5987
ENSG00000007341	1030	9.5265	1.4358
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2663	38.8007	5.8478
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	92	1.2666	0.1909
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	8977	142.7090	21.5083
ENSG00000008130	3544	46.3107	6.9797
ENSG00000009307	101038	1316.7500	198.4521
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	70	1.2364	0.1863
ENSG00000009780	777	20.2576	3.0531
ENSG00000009790	4257	41.1847	6.2071
ENSG00000010072	2079	26.3972	3.9784
ENSG00000010165	1102	21.5027	3.2408
ENSG00000010803	6009	101.3420	15.2737
ENSG00000010932	10	0.2098	0.0316
ENSG00000011007	9265	128.9000	19.4270
ENSG00000011009	1720	58.7436	8.8535
ENSG00000011021	6195	67.4919	10.1720
ENSG00000014914	121	1.9837	0.2990
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	120	1.8365	0.2768
ENSG00000020633	21664	352.8270	53.1759
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	154	8.9076	1.3425
ENSG00000023902	15222	183.0170	27.5831
ENSG00000023909	895	12.4862	1.8818
ENSG00000024526	256	3.2556	0.4907
ENSG00000025800	16539	161.3690	24.3206
ENSG00000026751	3029	49.3427	7.4366
ENSG00000027644	10	0.1433	0.0216
ENSG00000027869	506	15.1218	2.2791
ENSG00000028137	3917	78.0082	11.7569
ENSG00000031698	8513	166.4340	25.0838
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	8	0.2880	0.0434
ENSG00000035687	2040	41.7332	6.2898
ENSG00000036549	4582	38.1529	5.7502
ENSG00000037637	7445	62.1539	9.3675
ENSG00000040487	570	15.9285	2.4006
ENSG00000041988	1571	28.9386	4.3614
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	627	15.3028	2.3063
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14100	103.8810	15.6563
ENSG00000048707	6723	24.7816	3.7349
ENSG00000049089	624	11.2744	1.6992
ENSG00000049239	2404	19.7764	2.9806
ENSG00000049245	21733	590.5840	89.0091
ENSG00000049246	655	6.9185	1.0427
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	178	5.8411	0.8803
ENSG00000050628	12	0.0932	0.0141
ENSG00000052723	5169	65.7771	9.9135
ENSG00000053371	328	13.7979	2.0795
ENSG00000053372	741	19.6878	2.9672
ENSG00000054116	2324	52.6118	7.9293
ENSG00000054118	9524	150.8260	22.7315
ENSG00000054267	28161	190.7430	28.7475
ENSG00000054277	1264	27.2474	4.1066
ENSG00000054282	3323	47.5051	7.1597
ENSG00000054392	34	0.5936	0.0895
ENSG00000054523	1078	4.5704	0.6888
