gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1130	22.0453	3.0187
ENSG00000000460	742	8.7616	1.1997
ENSG00000000938	2857	60.7977	8.3252
ENSG00000000971	44	0.4052	0.0555
ENSG00000001460	828	7.2948	0.9989
ENSG00000001461	1864	14.8643	2.0354
ENSG00000004455	7590	100.1610	13.7152
ENSG00000004487	5999	131.7200	18.0367
ENSG00000006555	47	0.5822	0.0797
ENSG00000007341	1421	13.1370	1.7989
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1291	18.8075	2.5753
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	829	11.3898	1.5596
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2436	38.7183	5.3018
ENSG00000008130	7797	101.8990	13.9533
ENSG00000009307	59321	773.0820	105.8599
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	51	0.8986	0.1230
ENSG00000009780	639	16.6672	2.2823
ENSG00000009790	2393	23.1485	3.1698
ENSG00000010072	2648	33.6222	4.6040
ENSG00000010165	684	13.3419	1.8269
ENSG00000010803	7728	130.3310	17.8466
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7559	105.1640	14.4003
ENSG00000011009	3909	133.5120	18.2821
ENSG00000011021	3790	41.2889	5.6538
ENSG00000014914	170	2.7750	0.3800
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	289	4.4080	0.6036
ENSG00000020633	47896	780.0630	106.8159
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	558	32.2117	4.4109
ENSG00000023902	32987	396.6010	54.3075
ENSG00000023909	1031	14.3882	1.9702
ENSG00000024526	755	9.5960	1.3140
ENSG00000025800	10384	101.3110	13.8728
ENSG00000026751	252	4.1051	0.5621
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	290	8.6529	1.1848
ENSG00000028137	7832	155.9650	21.3567
ENSG00000031698	4166	81.4559	11.1540
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2569	52.5573	7.1968
ENSG00000036549	4575	38.0920	5.2160
ENSG00000037637	5210	43.4930	5.9556
ENSG00000040487	1958	54.6690	7.4860
ENSG00000041988	1091	20.1024	2.7527
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	995	24.2905	3.3261
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13395	98.6854	13.5132
ENSG00000048707	10712	39.4852	5.4068
ENSG00000049089	1126	20.3421	2.7855
ENSG00000049239	10293	84.6724	11.5944
ENSG00000049245	12560	341.2920	46.7340
ENSG00000049246	372	3.9245	0.5374
ENSG00000049247	46	1.9349	0.2650
ENSG00000049249	552	18.1169	2.4808
ENSG00000050628	6	0.0466	0.0064
ENSG00000052723	4695	59.7421	8.1806
ENSG00000053371	2321	97.7574	13.3861
ENSG00000053372	656	17.4242	2.3859
ENSG00000054116	4325	97.9013	13.4059
ENSG00000054118	8915	141.1820	19.3323
ENSG00000054267	14858	100.6340	13.7801
ENSG00000054277	827	17.8279	2.4412
ENSG00000054282	3234	46.2319	6.3307
ENSG00000054392	185	3.2304	0.4424
ENSG00000054523	5507	23.3437	3.1965
ENSG00000055070	12318	194.6250	26.6504
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2989	31.8727	4.3644
ENSG00000057468	22	0.5144	0.0704
ENSG00000057757	4289	147.1530	20.1501
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	372	2.2762	0.3117
ENSG00000058668	12461	96.1395	13.1646
ENSG00000058673	16678	128.9560	17.6582
ENSG00000058799	3528	117.0440	16.0271
ENSG00000058804	2277	33.2571	4.5540
ENSG00000059588	5505	53.3243	7.3018
ENSG00000060642	952	21.1073	2.8903
ENSG00000060656	736	8.2376	1.1280
ENSG00000060688	4205	78.6365	10.7679
ENSG00000060718	0	0.0000	0.0000
