gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	750	14.6257	1.8587
ENSG00000000460	802	9.4706	1.2035
ENSG00000000938	22910	487.5890	61.9640
ENSG00000000971	36	0.3315	0.0421
ENSG00000001460	378	3.3323	0.4235
ENSG00000001461	1450	11.5624	1.4694
ENSG00000004455	7399	97.6451	12.4090
ENSG00000004487	5157	113.2340	14.3901
ENSG00000006555	11	0.1363	0.0173
ENSG00000007341	1865	17.2439	2.1914
ENSG00000007908	4	0.0711	0.0090
ENSG00000007923	3209	46.7672	5.9433
ENSG00000007933	8	0.1733	0.0220
ENSG00000007968	5452	74.9366	9.5231
ENSG00000008118	3	0.0833	0.0106
ENSG00000008128	4673	74.2864	9.4405
ENSG00000008130	11880	155.2580	19.7306
ENSG00000009307	33855	441.2000	56.0688
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	668	11.7928	1.4986
ENSG00000009780	700	18.2493	2.3192
ENSG00000009790	6288	60.8264	7.7300
ENSG00000010072	1354	17.1996	2.1858
ENSG00000010165	1765	34.4403	4.3768
ENSG00000010803	1938	32.6820	4.1533
ENSG00000010932	37	0.7661	0.0974
ENSG00000011007	4776	66.4374	8.4430
ENSG00000011009	2520	86.0783	10.9390
ENSG00000011021	6647	72.4176	9.2030
ENSG00000014914	30771	502.6790	63.8817
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0052
ENSG00000018625	1	0.0119	0.0015
ENSG00000020129	961	14.6530	1.8621
ENSG00000020633	6887	112.1720	14.2551
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	901	52.0393	6.6133
ENSG00000023902	65990	793.4070	100.8282
ENSG00000023909	530	7.3937	0.9396
ENSG00000024526	406	5.1616	0.6559
ENSG00000025800	7790	76.0044	9.6588
ENSG00000026751	208	3.3860	0.4303
ENSG00000027644	15	0.2168	0.0276
ENSG00000027869	238	7.1135	0.9040
ENSG00000028137	10504	209.1800	26.5831
ENSG00000031698	7575	148.1120	18.8224
ENSG00000033122	23	0.1430	0.0182
ENSG00000034971	6	0.2160	0.0275
ENSG00000035687	2989	61.1593	7.7723
ENSG00000036549	1471	12.2461	1.5563
ENSG00000037637	2822	23.5562	2.9936
ENSG00000040487	2728	76.1713	9.6801
ENSG00000041988	2828	52.0911	6.6199
ENSG00000042781	20	0.0736	0.0093
ENSG00000043514	1910	46.6425	5.9274
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3272	24.1084	3.0638
ENSG00000048707	2470	9.1037	1.1569
ENSG00000049089	8939	161.5030	20.5242
ENSG00000049239	6532	53.7315	6.8283
ENSG00000049245	12196	331.4180	42.1175
ENSG00000049246	1122	11.8487	1.5058
ENSG00000049247	258	10.8329	1.3767
ENSG00000049249	212	6.9702	0.8858
ENSG00000050628	52	0.4038	0.0513
ENSG00000052723	1530	19.4657	2.4738
ENSG00000053371	4304	181.2490	23.0335
ENSG00000053372	1956	51.9724	6.6048
ENSG00000054116	6257	141.6420	18.0003
ENSG00000054118	10450	165.4890	21.0308
ENSG00000054267	7971	53.9919	6.8614
ENSG00000054277	13211	284.7120	36.1820
ENSG00000054282	1857	26.5481	3.3738
ENSG00000054392	102	1.7747	0.2255
ENSG00000054523	8279	35.0952	4.4600
ENSG00000055070	8058	127.3150	16.1795
ENSG00000055732	50	0.5629	0.0715
ENSG00000057252	6601	70.3907	8.9454
ENSG00000057468	8	0.1926	0.0245
ENSG00000057757	4948	169.7490	21.5722
ENSG00000058085	8	0.0917	0.0117
ENSG00000058453	702	4.2909	0.5453
ENSG00000058668	10784	83.1986	10.5731
ENSG00000058673	8482	65.5816	8.3343
ENSG00000058799	3543	117.5110	14.9336
ENSG00000058804	2461	35.9482	4.5684
ENSG00000059588	8478	82.1204	10.4361
ENSG00000060642	669	14.8258	1.8841
ENSG00000060656	582	6.5094	0.8272
ENSG00000060688	2080	38.8973	4.9432
ENSG00000060718	17	0.1543	0.0196
ENSG00000064703	2391	29.7951	3.7864
ENSG00000064886	179	4.0738	0.5177
ENSG00000065135	6249	146.1810	18.5770
ENSG00000065183	591	10.6502	1.3535
ENSG00000065243	1542	16.4867	2.0952
ENSG00000065526	7999	45.1297	5.7352
ENSG00000065600	9411	242.2230	30.7824
ENSG00000065978	95200	3699.5000	470.1417
ENSG00000066027	7332	142.3410	18.0891
ENSG00000066056	91	1.0226	0.1300
ENSG00000066135	10791	156.4820	19.8861
ENSG00000066136	4702	58.9060	7.4859
ENSG00000066185	325	11.1216	1.4134
ENSG00000066279	1421	9.7896	1.2441
ENSG00000066294	4010	32.4929	4.1293
ENSG00000066322	7020	214.1110	27.2098
ENSG00000066557	785	20.4022	2.5928
ENSG00000067208	361	3.2741	0.4161
ENSG00000067334	3725	46.5206	5.9120
ENSG00000067533	577	5.4931	0.6981
ENSG00000067606	1038	10.1992	1.2961
ENSG00000067704	3974	71.6115	9.1006
ENSG00000069248	2049	30.3955	3.8627
ENSG00000069275	12452	142.6690	18.1307
ENSG00000069424	35561	328.2160	41.7105
ENSG00000069702	274	2.3715	0.3014
ENSG00000069712	40	0.6481	0.0824
ENSG00000069812	93	1.2883	0.1637
ENSG00000070759	2392	51.8419	6.5882
ENSG00000070785	1308	32.2478	4.0981
ENSG00000070831	18348	396.5750	50.3978
ENSG00000070886	1	0.0161	0.0020
ENSG00000072694	103	1.1042	0.1403
ENSG00000073754	19	0.5798	0.0737
ENSG00000073756	170	2.4164	0.3071
ENSG00000074800	131005	2398.1800	304.7669
ENSG00000074964	1688	16.1329	2.0502
ENSG00000075151	1889	16.8115	2.1365
ENSG00000075391	629	3.9929	0.5074
ENSG00000075945	657	9.8255	1.2487
ENSG00000076258	253	7.5336	0.9574
ENSG00000076321	1407	24.7997	3.1516
ENSG00000076356	1858	10.1091	1.2847
ENSG00000076864	1952	23.0780	2.9328
ENSG00000077152	2254	158.7440	20.1736
ENSG00000077157	2627	13.6798	1.7385
ENSG00000077254	2874	31.1557	3.9593
ENSG00000077522	152	2.0980	0.2666
ENSG00000077549	12945	278.9880	35.4545
ENSG00000077585	764	25.1435	3.1953
ENSG00000078369	39000	476.6990	60.5802
ENSG00000078618	9436	106.9240	13.5881
ENSG00000078808	10550	168.4530	21.4074
ENSG00000078900	207	2.8000	0.3558
ENSG00000079277	5430	50.5311	6.4216
ENSG00000079335	816	10.6766	1.3568
ENSG00000079739	2857	51.4645	6.5402
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	503	5.5409	0.7041
ENSG00000081019	3250	35.7412	4.5421
ENSG00000081026	663	6.0797	0.7726
ENSG00000081237	11188	98.6367	12.5350
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1340	23.2899	2.9598
ENSG00000081721	3708	157.8460	20.0595
ENSG00000081870	2646	71.9351	9.1417
ENSG00000081985	107	1.8972	0.2411
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	952	7.9109	1.0053
ENSG00000083444	3772	53.1061	6.7489
ENSG00000084070	26749	608.1260	77.2822
ENSG00000084072	6864	63.7852	8.1060
ENSG00000084073	2030	42.6299	5.4175
ENSG00000084623	11782	512.2530	65.0985
ENSG00000084628	2	0.0502	0.0064
ENSG00000084636	144	1.1335	0.1440
ENSG00000084652	6444	94.7094	12.0359
ENSG00000085433	1921	31.7661	4.0369
ENSG00000085465	2101	52.7416	6.7026
ENSG00000085491	1107	12.6747	1.6107
ENSG00000085552	602	6.8210	0.8668
ENSG00000085831	112	0.9002	0.1144
ENSG00000085832	3637	36.1255	4.5909
ENSG00000085840	3933	93.4283	11.8731
ENSG00000085998	1403	16.5317	2.1009
ENSG00000085999	2340	54.6413	6.9440
ENSG00000086015	2909	24.5774	3.1234
ENSG00000086619	643	8.4745	1.0770
ENSG00000088035	288	4.3654	0.5548
