gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	751	14.6532	1.7359
ENSG00000000460	916	10.8122	1.2809
ENSG00000000938	19498	414.9660	49.1599
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	359	3.1604	0.3744
ENSG00000001461	2268	18.0900	2.1431
ENSG00000004455	5099	67.2900	7.9717
ENSG00000004487	5478	120.2790	14.2491
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	818	7.5665	0.8964
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2170	31.6209	3.7460
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2104	28.9212	3.4262
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1538	24.4430	2.8957
ENSG00000008130	8993	117.5280	13.9233
ENSG00000009307	47745	622.2210	73.7128
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	22	0.3881	0.0460
ENSG00000009780	594	15.4830	1.8342
ENSG00000009790	5619	54.3583	6.4397
ENSG00000010072	1113	14.1339	1.6744
ENSG00000010165	453	8.8504	1.0485
ENSG00000010803	12269	206.9160	24.5128
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3418	47.5552	5.6337
ENSG00000011009	3956	135.1220	16.0075
ENSG00000011021	4988	54.3383	6.4373
ENSG00000014914	6685	109.2010	12.9368
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	534	8.1405	0.9644
ENSG00000020633	1082	17.6221	2.0876
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	518	29.8799	3.5398
ENSG00000023902	28877	347.1910	41.1307
ENSG00000023909	159	2.2227	0.2633
ENSG00000024526	304	3.8587	0.4571
ENSG00000025800	10138	98.9174	11.7185
ENSG00000026751	247	4.0237	0.4767
ENSG00000027644	78	1.1515	0.1364
ENSG00000027869	731	21.8276	2.5859
ENSG00000028137	40835	813.2400	96.3423
ENSG00000031698	9172	179.3300	21.2447
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2923	59.7935	7.0836
ENSG00000036549	4016	33.4381	3.9613
ENSG00000037637	3510	29.2999	3.4711
ENSG00000040487	1944	54.2882	6.4314
ENSG00000041988	788	14.5223	1.7204
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	911	22.2481	2.6357
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6392	47.0952	5.5792
ENSG00000048707	2924	10.7786	1.2769
ENSG00000049089	689	12.4568	1.4757
ENSG00000049239	3051	25.1003	2.9736
ENSG00000049245	11977	325.4590	38.5563
ENSG00000049246	174	1.8370	0.2176
ENSG00000049247	34	1.4302	0.1694
ENSG00000049249	26	0.8520	0.1009
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3668	46.6709	5.5290
ENSG00000053371	3596	151.4210	17.9384
ENSG00000053372	1732	46.0326	5.4533
ENSG00000054116	2663	60.2931	7.1428
ENSG00000054118	8014	126.9080	15.0344
ENSG00000054267	6118	41.4402	4.9093
ENSG00000054277	1185	25.5434	3.0260
ENSG00000054282	1970	28.1641	3.3365
