gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1336	26.0676	2.9643
ENSG00000000460	1316	15.5381	1.7669
ENSG00000000938	30596	651.1540	74.0457
ENSG00000000971	97	0.8933	0.1016
ENSG00000001460	521	4.5860	0.5215
ENSG00000001461	1848	14.7395	1.6761
ENSG00000004455	52444	692.1180	78.7039
ENSG00000004487	6319	138.7270	15.7752
ENSG00000006555	24	0.2969	0.0338
ENSG00000007341	1777	16.4332	1.8687
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2472	36.0155	4.0955
ENSG00000007933	6	0.1299	0.0148
ENSG00000007968	2273	31.2375	3.5522
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3345	53.1751	6.0468
ENSG00000008130	12420	162.3060	18.4566
ENSG00000009307	88616	1154.8600	131.3244
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1	0.0176	0.0020
ENSG00000009780	1141	29.7677	3.3850
ENSG00000009790	6327	61.2020	6.9596
ENSG00000010072	1186	15.0562	1.7121
ENSG00000010165	1209	23.5863	2.6821
ENSG00000010803	5264	88.7740	10.0949
ENSG00000010932	3	0.0630	0.0072
ENSG00000011007	4163	57.9143	6.5857
ENSG00000011009	5243	179.0560	20.3613
ENSG00000011021	3960	43.1384	4.9055
ENSG00000014914	10085	164.7590	18.7355
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0667	0.0076
ENSG00000020129	1585	24.1782	2.7494
ENSG00000020633	16806	273.7210	31.1260
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	817	47.1455	5.3611
ENSG00000023902	10503	126.2740	14.3592
ENSG00000023909	682	9.5229	1.0829
ENSG00000024526	1187	15.0835	1.7152
ENSG00000025800	9493	92.6216	10.5324
ENSG00000026751	674	10.9870	1.2494
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	803	23.9697	2.7257
ENSG00000028137	18813	374.6580	42.6041
ENSG00000031698	9900	193.5660	22.0113
ENSG00000033122	23	0.1448	0.0165
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5862	119.9200	13.6367
ENSG00000036549	3630	30.2200	3.4365
ENSG00000037637	3858	32.2102	3.6628
ENSG00000040487	5441	151.9230	17.2759
ENSG00000041988	1076	19.8136	2.2531
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1004	24.5181	2.7881
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10033	73.9194	8.4057
ENSG00000048707	4063	14.9765	1.7030
ENSG00000049089	6401	115.6530	13.1515
ENSG00000049239	8384	68.9727	7.8432
ENSG00000049245	16014	435.1610	49.4842
ENSG00000049246	1979	20.8982	2.3764
ENSG00000049247	77	3.2563	0.3703
ENSG00000049249	159	5.2106	0.5925
ENSG00000050628	3	0.0233	0.0027
ENSG00000052723	6203	78.9270	8.9752
ENSG00000053371	15486	652.1440	74.1583
ENSG00000053372	3872	102.8980	11.7010
ENSG00000054116	3129	70.8322	8.0546
ENSG00000054118	11275	178.5570	20.3045
ENSG00000054267	13524	91.6037	10.4167
ENSG00000054277	7137	153.8200	17.4915
ENSG00000054282	3266	46.6846	5.3087
ENSG00000054392	438	7.6474	0.8696
ENSG00000054523	3397	14.4009	1.6376
ENSG00000055070	11399	180.1040	20.4805
ENSG00000055732	11	0.1246	0.0142
ENSG00000057252	10085	107.5500	12.2300
ENSG00000057468	30	0.6889	0.0783
ENSG00000057757	4090	140.3290	15.9574
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1120	6.8480	0.7787
ENSG00000058668	12328	95.1127	10.8157
ENSG00000058673	14372	111.1200	12.6360
ENSG00000058799	2318	76.9027	8.7450
ENSG00000058804	4123	60.2249	6.8485
ENSG00000059588	6633	64.2469	7.3058
ENSG00000060642	939	20.8238	2.3680
ENSG00000060656	93	1.0461	0.1190
ENSG00000060688	3904	73.0032	8.3015
ENSG00000060718	1	0.0091	0.0010
ENSG00000064703	3811	47.4860	5.3999
ENSG00000064886	187	4.2531	0.4836
ENSG00000065135	15078	352.7250	40.1099
ENSG00000065183	1331	24.0019	2.7294
ENSG00000065243	6434	68.8008	7.8237
ENSG00000065526	18555	104.6830	11.9040
ENSG00000065600	4659	119.9080	13.6352
ENSG00000065978	86300	3353.6200	381.3562
ENSG00000066027	9632	186.9950	21.2641
ENSG00000066056	151	1.6946	0.1927
