gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1952	38.0796	3.0500
ENSG00000000460	1169	13.8020	1.1055
ENSG00000000938	39226	834.8430	66.8670
ENSG00000000971	26	0.2392	0.0192
ENSG00000001460	733	6.4532	0.5169
ENSG00000001461	4002	31.9208	2.5567
ENSG00000004455	59968	791.4100	63.3883
ENSG00000004487	17992	395.0340	31.6404
ENSG00000006555	26	0.3278	0.0263
ENSG00000007341	1578	14.5927	1.1688
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	5954	86.7569	6.9488
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1640	22.5404	1.8054
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4092	65.0517	5.2103
ENSG00000008130	17830	233.0070	18.6628
ENSG00000009307	144056	1877.3600	150.3682
ENSG00000009709	2	0.0238	0.0019
ENSG00000009724	1507	26.5810	2.1290
ENSG00000009780	1162	30.2994	2.4268
ENSG00000009790	5038	48.7407	3.9039
ENSG00000010072	2502	31.7706	2.5447
ENSG00000010165	1922	37.5048	3.0040
ENSG00000010803	10984	185.2530	14.8379
ENSG00000010932	45	0.9404	0.0753
ENSG00000011007	3986	55.4558	4.4417
ENSG00000011009	6364	217.3570	17.4093
ENSG00000011021	10596	115.4430	9.2465
ENSG00000014914	2637	43.0765	3.4502
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0597	0.0048
ENSG00000020129	2638	40.2400	3.2230
ENSG00000020633	54541	888.2970	71.1485
ENSG00000021852	0	0.0088	0.0007
ENSG00000023572	798	46.0816	3.6909
ENSG00000023902	30653	368.5420	29.5185
ENSG00000023909	523	7.2938	0.5842
ENSG00000024526	209	2.6592	0.2130
ENSG00000025800	22120	215.8210	17.2862
ENSG00000026751	472	7.6857	0.6156
ENSG00000027644	7	0.0992	0.0079
ENSG00000027869	468	13.9717	1.1191
ENSG00000028137	30876	614.8970	49.2504
ENSG00000031698	13533	264.5910	21.1925
ENSG00000033122	62	0.3883	0.0311
ENSG00000034971	4	0.1440	0.0115
ENSG00000035687	7955	162.7410	13.0348
ENSG00000036549	6257	52.0950	4.1726
ENSG00000037637	10592	88.4233	7.0823
ENSG00000040487	14657	409.2740	32.7810
ENSG00000041988	3424	63.0670	5.0514
ENSG00000042781	4	0.0143	0.0011
ENSG00000043514	3086	75.3569	6.0357
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18957	139.6660	11.1866
ENSG00000048707	17425	64.2323	5.1447
ENSG00000049089	8000	144.5390	11.5769
ENSG00000049239	11744	96.6069	7.7378
ENSG00000049245	11809	320.8980	25.7024
ENSG00000049246	2388	25.2076	2.0190
ENSG00000049247	511	21.5126	1.7231
ENSG00000049249	31	1.0241	0.0820
ENSG00000050628	4	0.0311	0.0025
ENSG00000052723	6762	86.0419	6.8916
ENSG00000053371	29268	1232.5200	98.7188
ENSG00000053372	6714	178.4250	14.2910
ENSG00000054116	6280	142.1740	11.3875
ENSG00000054118	22844	361.7610	28.9754
ENSG00000054267	12680	85.8821	6.8788
ENSG00000054277	3130	67.4474	5.4022
ENSG00000054282	2572	36.7694	2.9451
ENSG00000054392	527	9.1930	0.7363
ENSG00000054523	5277	22.3673	1.7915
ENSG00000055070	24503	387.1340	31.0076
ENSG00000055732	36	0.4119	0.0330
ENSG00000057252	9344	99.6477	7.9813
ENSG00000057468	49	1.1261	0.0902
ENSG00000057757	8225	282.1880	22.6019
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3149	19.2574	1.5424
ENSG00000058668	32130	247.8940	19.8552
ENSG00000058673	26123	201.9840	16.1780
ENSG00000058799	3237	107.3630	8.5993
ENSG00000058804	5110	74.6319	5.9777
ENSG00000059588	16634	161.1160	12.9046
ENSG00000060642	1261	27.9583	2.2393
ENSG00000060656	2212	24.7663	1.9837
ENSG00000060688	6029	112.7330	9.0294
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4422	55.1037	4.4135
ENSG00000064886	342	7.7769	0.6229
ENSG00000065135	10486	245.3170	19.6488
ENSG00000065183	1992	35.9192	2.8770
ENSG00000065243	6272	67.0646	5.3716
ENSG00000065526	52999	299.0040	23.9488
ENSG00000065600	16605	427.3790	34.2310
ENSG00000065978	97198	3777.1400	302.5311
ENSG00000066027	9707	188.4700	15.0955
ENSG00000066056	2656	29.7546	2.3832
ENSG00000066135	16408	237.9400	19.0579
ENSG00000066136	4018	50.3300	4.0312
ENSG00000066185	153	5.2200	0.4181
ENSG00000066279	1330	9.1602	0.7337
ENSG00000066294	33609	272.3560	21.8145
ENSG00000066322	9747	297.2830	23.8110
ENSG00000066557	1494	38.8499	3.1117
ENSG00000067208	3371	30.5671	2.4483
ENSG00000067334	5446	68.0142	5.4476
ENSG00000067533	1010	9.6052	0.7693
ENSG00000067606	1774	17.4261	1.3958
ENSG00000067704	23997	432.4350	34.6361
ENSG00000069248	5135	76.1622	6.1002
ENSG00000069275	22128	253.5310	20.3067
ENSG00000069424	41464	382.6930	30.6520
ENSG00000069702	436	3.7781	0.3026
ENSG00000069712	222	3.5949	0.2879
ENSG00000069812	4	0.0555	0.0044
ENSG00000070759	4072	88.2656	7.0697
ENSG00000070785	2811	69.2879	5.5496
ENSG00000070831	42346	915.2640	73.3084
ENSG00000070886	26	0.3578	0.0287
ENSG00000072694	2124	22.7733	1.8240
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	18	0.2562	0.0205
ENSG00000074800	319833	5854.8900	468.9494
ENSG00000074964	4181	39.9633	3.2009
ENSG00000075151	15825	140.8110	11.2783
ENSG00000075391	1071	6.7954	0.5443
ENSG00000075945	1371	20.5098	1.6427
ENSG00000076258	94	2.8121	0.2252
ENSG00000076321	2362	41.6389	3.3351
ENSG00000076356	167	0.9111	0.0730
ENSG00000076864	83	0.9800	0.0785
ENSG00000077152	1710	120.4160	9.6448
ENSG00000077157	6303	32.8267	2.6293
ENSG00000077254	6052	65.6083	5.2549
ENSG00000077522	95	1.3104	0.1050
ENSG00000077549	50407	1086.3500	87.0115
ENSG00000077585	1520	50.0254	4.0068
ENSG00000078369	121184	1481.2300	118.6397
ENSG00000078618	19926	225.7850	18.0843
ENSG00000078808	28192	450.1610	36.0558
ENSG00000078900	1050	14.1782	1.1356
ENSG00000079277	6672	62.0825	4.9725
ENSG00000079335	2584	33.8296	2.7096
ENSG00000079739	9957	179.3430	14.3645
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1070	11.7823	0.9437
ENSG00000081019	5664	62.2912	4.9892
ENSG00000081026	167	1.5270	0.1223
ENSG00000081237	68121	600.5690	48.1028
ENSG00000081248	4	0.0451	0.0036
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	3482	60.5238	4.8477
ENSG00000081721	4511	192.0060	15.3788
ENSG00000081870	1972	53.5933	4.2926
ENSG00000081985	5619	99.5504	7.9735
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2864	23.8092	1.9070
ENSG00000083444	13203	185.8860	14.8886
ENSG00000084070	35286	802.1960	64.2522
ENSG00000084072	6068	56.3893	4.5165
ENSG00000084073	4609	96.7646	7.7504
ENSG00000084623	32738	1423.4100	114.0082
ENSG00000084628	13	0.3264	0.0261
ENSG00000084636	12	0.0942	0.0075
ENSG00000084652	6795	99.8626	7.9985
ENSG00000085433	4892	80.8884	6.4788
ENSG00000085465	732	18.3735	1.4716
ENSG00000085491	9266	106.1320	8.5007
ENSG00000085552	135	1.5269	0.1223
ENSG00000085831	89	0.7100	0.0569
ENSG00000085832	10554	104.8280	8.3963
ENSG00000085840	5179	123.0310	9.8542
ENSG00000085998	3421	40.3027	3.2281
ENSG00000085999	1971	46.0118	3.6853
ENSG00000086015	7859	66.4073	5.3189
ENSG00000086619	1223	16.1290	1.2919
ENSG00000088035	945	14.3340	1.1481
ENSG00000088280	8	0.1226	0.0098
ENSG00000090020	6164	77.3732	6.1972
ENSG00000090104	1227	22.3554	1.7906
ENSG00000090273	12256	321.7470	25.7704
ENSG00000090432	6342	195.2480	15.6385
ENSG00000090621	46547	514.7450	41.2287
ENSG00000090686	13165	103.9660	8.3272
ENSG00000091483	12541	439.1090	35.1706
ENSG00000092607	79	1.5560	0.1246
ENSG00000092621	1134	15.1220	1.2112
ENSG00000092847	25331	147.4340	11.8088
ENSG00000092850	190	7.2113	0.5776
ENSG00000092853	3269	45.3066	3.6288
ENSG00000092969	2	0.0291	0.0023
ENSG00000092978	1679	14.2477	1.1412
ENSG00000094963	4	0.0523	0.0042
ENSG00000094975	4303	49.9051	3.9972
ENSG00000097021	4106	63.0010	5.0461
ENSG00000097033	21284	239.0700	19.1484
ENSG00000097046	1390	28.9617	2.3197
ENSG00000097096	261	3.0397	0.2435
ENSG00000099260	8	0.0958	0.0077
ENSG00000107404	5872	126.3430	10.1195
ENSG00000116128	2518	29.4121	2.3558
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	15377	259.6910	20.8000
ENSG00000116138	5716	50.0679	4.0102
ENSG00000116141	4	0.0420	0.0034
ENSG00000116147	43	0.6091	0.0488
ENSG00000116151	1849	26.5018	2.1227
ENSG00000116157	23016	1020.8100	81.7625
ENSG00000116161	8523	141.7270	11.3517
ENSG00000116171	23543	212.6070	17.0289
ENSG00000116183	13	0.0893	0.0071
ENSG00000116191	3837	38.7732	3.1056
ENSG00000116194	142	3.0969	0.2481
ENSG00000116198	2601	24.7636	1.9835
ENSG00000116199	11633	144.4670	11.5712
ENSG00000116205	2408	30.9967	2.4827
ENSG00000116209	38761	699.4950	56.0263
ENSG00000116212	1955	60.8304	4.8722
ENSG00000116213	3391	33.4450	2.6788
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	6	0.2233	0.0179
ENSG00000116221	14932	508.1130	40.6975
ENSG00000116237	8240	125.8350	10.0788
ENSG00000116251	38197	584.6480	46.8276
ENSG00000116254	181	1.3748	0.1101
ENSG00000116260	60276	485.5220	38.8881
ENSG00000116266	5555	70.6684	5.6602
ENSG00000116273	1630	33.2095	2.6599
ENSG00000116285	74	1.3325	0.1067
ENSG00000116288	25153	787.0200	63.0366
ENSG00000116299	161	1.2996	0.1041
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	10684	117.3590	9.3999
ENSG00000116350	16849	397.6250	31.8479
ENSG00000116353	1810	34.2323	2.7419
ENSG00000116396	1574	12.6384	1.0123
ENSG00000116406	4181	41.6370	3.3349
ENSG00000116455	4532	121.1710	9.7052
ENSG00000116459	32133	712.3720	57.0577
ENSG00000116473	9503	124.3160	9.9571
ENSG00000116478	22664	423.9940	33.9599
ENSG00000116489	27405	497.6610	39.8604
ENSG00000116497	4745	38.7262	3.1018
ENSG00000116514	7043	202.3710	16.2090
ENSG00000116521	15673	481.3660	38.5552
ENSG00000116525	2074	39.1591	3.1365
ENSG00000116539	20009	112.8660	9.0400
ENSG00000116544	916	17.2701	1.3832
ENSG00000116560	47290	477.6130	38.2546
ENSG00000116574	10415	178.6690	14.3105
ENSG00000116580	9536	58.8234	4.7115
ENSG00000116584	31125	314.8650	25.2192
ENSG00000116586	14242	742.8220	59.4966
ENSG00000116604	70397	824.9640	66.0758
ENSG00000116641	1423	9.8130	0.7860
ENSG00000116649	27258	1077.1000	86.2704
ENSG00000116652	22	1.3924	0.1115
ENSG00000116661	47	1.5024	0.1203
ENSG00000116663	6394	264.8040	21.2096
ENSG00000116667	213	1.4593	0.1169
ENSG00000116668	268	4.9531	0.3967
ENSG00000116670	7220	159.1340	12.7459
ENSG00000116675	39	0.4196	0.0336
ENSG00000116678	1162	7.6045	0.6091
ENSG00000116679	4134	39.1040	3.1321
ENSG00000116685	15688	358.6090	28.7229
ENSG00000116688	17521	263.9780	21.1434
ENSG00000116690	311	4.6166	0.3698
ENSG00000116691	9554	253.9980	20.3441
