gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1082	21.1194	2.8669
ENSG00000000460	1414	16.6859	2.2650
ENSG00000000938	4139	88.0860	11.9573
ENSG00000000971	39	0.3592	0.0488
ENSG00000001460	282	2.4813	0.3368
ENSG00000001461	1093	8.7182	1.1835
ENSG00000004455	3470	45.7938	6.2163
ENSG00000004487	17456	383.2640	52.0263
ENSG00000006555	54	0.6682	0.0907
ENSG00000007341	1195	11.0462	1.4995
ENSG00000007908	13	0.2325	0.0316
ENSG00000007923	1689	24.6114	3.3409
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2958	40.6504	5.5181
ENSG00000008118	8	0.2242	0.0304
ENSG00000008128	10100	160.5600	21.7953
ENSG00000008130	5003	65.3861	8.8759
ENSG00000009307	97932	1276.2600	173.2471
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4036	71.2098	9.6664
ENSG00000009780	717	18.6992	2.5383
ENSG00000009790	2008	19.4280	2.6373
ENSG00000010072	2330	29.5918	4.0169
ENSG00000010165	647	12.6349	1.7151
ENSG00000010803	9364	157.9300	21.4383
ENSG00000010932	18	0.3881	0.0527
ENSG00000011007	6358	88.4508	12.0068
ENSG00000011009	2458	83.9481	11.3956
ENSG00000011021	7812	85.1068	11.5529
ENSG00000014914	366	5.9832	0.8122
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0058	0.0008
ENSG00000018625	4	0.0476	0.0065
ENSG00000020129	155	2.3661	0.3212
ENSG00000020633	7988	130.1000	17.6604
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	441	25.4627	3.4564
ENSG00000023902	16126	193.8810	26.3184
ENSG00000023909	127	1.7748	0.2409
ENSG00000024526	358	4.5511	0.6178
ENSG00000025800	22221	216.8080	29.4307
ENSG00000026751	426	6.9435	0.9426
ENSG00000027644	11	0.1545	0.0210
ENSG00000027869	1041	31.0736	4.2181
ENSG00000028137	7075	140.8970	19.1261
ENSG00000031698	5776	112.9400	15.3310
ENSG00000033122	425	2.6530	0.3601
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2742	56.0889	7.6138
ENSG00000036549	2885	24.0171	3.2602
