gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	396	7.7300	0.8800
ENSG00000000460	323	3.8182	0.4346
ENSG00000000938	16006	340.6470	38.7777
ENSG00000000971	20	0.1842	0.0210
ENSG00000001460	161	1.4209	0.1618
ENSG00000001461	506	4.0329	0.4591
ENSG00000004455	4233	55.8691	6.3599
ENSG00000004487	4822	105.8600	12.0506
ENSG00000006555	14	0.1734	0.0197
ENSG00000007341	1335	12.3435	1.4051
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	765	11.1424	1.2684
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1129	15.5181	1.7665
ENSG00000008118	79	2.2242	0.2532
ENSG00000008128	5602	89.0487	10.1369
ENSG00000008130	5560	72.6661	8.2720
ENSG00000009307	80950	1054.9600	120.0915
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	857	15.1127	1.7204
ENSG00000009780	726	18.9332	2.1553
ENSG00000009790	2000	19.3466	2.2023
ENSG00000010072	2918	37.0572	4.2184
ENSG00000010165	747	14.5701	1.6586
ENSG00000010803	3190	53.7965	6.1239
ENSG00000010932	17	0.3626	0.0413
ENSG00000011007	5553	77.2558	8.7945
ENSG00000011009	2560	87.4303	9.9527
ENSG00000011021	3363	36.6409	4.1710
ENSG00000014914	7588	123.9650	14.1116
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0099	0.0011
ENSG00000018625	5	0.0595	0.0068
ENSG00000020129	397	6.0523	0.6890
ENSG00000020633	488	7.9503	0.9050
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	891	51.4303	5.8546
ENSG00000023902	22835	274.5530	31.2538
ENSG00000023909	262	3.6621	0.4169
ENSG00000024526	140	1.7776	0.2024
ENSG00000025800	12055	117.6210	13.3894
ENSG00000026751	149	2.4264	0.2762
ENSG00000027644	8	0.1225	0.0139
ENSG00000027869	728	21.7261	2.4732
ENSG00000028137	44112	878.4980	100.0041
ENSG00000031698	5391	105.4090	11.9993
ENSG00000033122	186	1.1645	0.1326
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1910	39.0780	4.4485
ENSG00000036549	2848	23.7094	2.6990
ENSG00000037637	3942	32.9063	3.7459
ENSG00000040487	953	26.6042	3.0285
ENSG00000041988	1623	29.8956	3.4032
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	905	22.1120	2.5171
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11689	86.1169	9.8032
ENSG00000048707	5553	20.4711	2.3303
ENSG00000049089	2288	41.3344	4.7053
ENSG00000049239	2391	19.6682	2.2389
ENSG00000049245	15428	419.2480	47.7253
ENSG00000049246	12	0.1267	0.0144
ENSG00000049247	28	1.1935	0.1358
ENSG00000049249	38	1.2618	0.1437
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2834	36.0614	4.1051
ENSG00000053371	3391	142.7980	16.2554
ENSG00000053372	1729	45.9383	5.2294
ENSG00000054116	2632	59.5883	6.7833
ENSG00000054118	8890	140.7850	16.0263
ENSG00000054267	13078	88.5790	10.0834
ENSG00000054277	819	17.6546	2.0097
ENSG00000054282	1153	16.4759	1.8755
ENSG00000054392	199	3.4683	0.3948
ENSG00000054523	6147	26.0549	2.9660
ENSG00000055070	23224	366.9320	41.7699
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	9086	96.8978	11.0304
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4662	159.9400	18.2068
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	242	1.4820	0.1687
