gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	681	13.2823	5.1810
ENSG00000000460	413	4.8695	1.8995
ENSG00000000938	683	14.5341	5.6693
ENSG00000000971	52	0.4786	0.1867
ENSG00000001460	132	1.1621	0.4533
ENSG00000001461	689	5.4922	2.1423
ENSG00000004455	1904	25.1329	9.8036
ENSG00000004487	3526	77.4148	30.1972
ENSG00000006555	18	0.2230	0.0870
ENSG00000007341	523	4.8341	1.8856
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	885	12.9025	5.0328
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	257	3.5303	1.3771
ENSG00000008118	8	0.2242	0.0875
ENSG00000008128	1028	16.3366	6.3724
ENSG00000008130	1358	17.7472	6.9226
ENSG00000009307	36242	472.3090	184.2334
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0138
ENSG00000009780	158	4.1314	1.6116
ENSG00000009790	788	7.6204	2.9725
ENSG00000010072	1418	18.0068	7.0239
ENSG00000010165	309	6.0278	2.3513
ENSG00000010803	2888	48.7153	19.0024
ENSG00000010932	1	0.0210	0.0082
ENSG00000011007	3037	42.2571	16.4832
ENSG00000011009	937	31.9991	12.4818
ENSG00000011021	1676	18.2625	7.1236
ENSG00000014914	43	0.7025	0.2740
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	231	3.5235	1.3744
ENSG00000020633	16301	265.4850	103.5579
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	113	6.5065	2.5379
ENSG00000023902	3845	46.2336	18.0343
ENSG00000023909	795	11.1020	4.3305
ENSG00000024526	147	1.8674	0.7284
ENSG00000025800	4320	42.1530	16.4426
ENSG00000026751	354	5.7641	2.2484
ENSG00000027644	4	0.0588	0.0229
ENSG00000027869	1108	33.0824	12.9045
ENSG00000028137	696	13.8585	5.4058
ENSG00000031698	2362	46.1783	18.0128
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	4	0.1440	0.0562
ENSG00000035687	1256	25.6972	10.0237
ENSG00000036549	2362	19.6629	7.6699
ENSG00000037637	2143	17.8927	6.9794
ENSG00000040487	118	3.2841	1.2810
ENSG00000041988	740	13.6311	5.3171
ENSG00000042781	3	0.0109	0.0043
ENSG00000043514	731	17.8502	6.9629
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5124	37.7528	14.7263
ENSG00000048707	1324	4.8807	1.9038
ENSG00000049089	171	3.0920	1.2061
ENSG00000049239	2315	19.0424	7.4279
ENSG00000049245	5223	141.9380	55.3657
ENSG00000049246	1143	12.0671	4.7070
ENSG00000049247	41	1.7095	0.6668
ENSG00000049249	279	9.1638	3.5745
ENSG00000050628	15	0.1165	0.0455
ENSG00000052723	3332	42.3943	16.5368
ENSG00000053371	797	33.5542	13.0885
ENSG00000053372	606	16.1067	6.2827
ENSG00000054116	1011	22.8983	8.9319
ENSG00000054118	2677	42.3972	16.5379
ENSG00000054267	6935	46.9726	18.3226
ENSG00000054277	358	7.7195	3.0112
ENSG00000054282	1119	15.9956	6.2394
ENSG00000054392	130	2.2737	0.8869
ENSG00000054523	825	3.4973	1.3642
ENSG00000055070	4735	74.8054	29.1793
ENSG00000055732	2	0.0226	0.0088
ENSG00000057252	1128	12.0310	4.6929
ENSG00000057468	36	0.8187	0.3193
ENSG00000057757	2975	102.0580	39.8098
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	152	0.9312	0.3632
ENSG00000058668	2923	22.5498	8.7960
ENSG00000058673	11142	86.1521	33.6053
ENSG00000058799	703	23.3322	9.1012
ENSG00000058804	704	10.2878	4.0130
ENSG00000059588	3781	36.6278	14.2874
ENSG00000060642	579	12.8391	5.0082
ENSG00000060656	6	0.0672	0.0262
ENSG00000060688	1264	23.6298	9.2173
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1923	23.9598	9.3460
ENSG00000064886	49	1.1153	0.4351
ENSG00000065135	4210	98.4947	38.4198
ENSG00000065183	377	6.7956	2.6508
ENSG00000065243	2934	31.3782	12.2397
ENSG00000065526	5171	29.1745	11.3801
ENSG00000065600	1252	32.2272	12.5708
ENSG00000065978	21289	827.2750	322.6952
ENSG00000066027	2925	56.7939	22.1536
ENSG00000066056	591	6.6173	2.5812
ENSG00000066135	801	11.6089	4.5283
ENSG00000066136	1810	22.6745	8.8446
ENSG00000066185	48	1.6237	0.6334
ENSG00000066279	366	2.5191	0.9826
ENSG00000066294	3407	27.6069	10.7686
ENSG00000066322	2195	66.9549	26.1171
ENSG00000066557	1862	48.4234	18.8885
ENSG00000067208	141	1.2794	0.4991
ENSG00000067334	4567	57.0426	22.2506
ENSG00000067533	805	7.6560	2.9864
ENSG00000067606	10	0.0955	0.0372
ENSG00000067704	1466	26.4231	10.3069
ENSG00000069248	2321	34.4242	13.4279
ENSG00000069275	7816	89.5564	34.9332
ENSG00000069424	3385	31.2386	12.1852
ENSG00000069702	57	0.4938	0.1926
ENSG00000069712	53	0.8598	0.3354
ENSG00000069812	7	0.0971	0.0379
ENSG00000070759	749	16.2309	6.3312
ENSG00000070785	223	5.5002	2.1454
ENSG00000070831	10304	222.6990	86.8684
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	17	0.1822	0.0711
ENSG00000073754	3	0.0916	0.0357
ENSG00000073756	1372	19.5267	7.6167
ENSG00000074800	22260	407.4970	158.9525
ENSG00000074964	17	0.1620	0.0632
ENSG00000075151	2939	26.1471	10.1992
ENSG00000075391	2	0.0127	0.0050
ENSG00000075945	1769	26.4583	10.3206
ENSG00000076258	41	1.2217	0.4765
ENSG00000076321	815	14.3764	5.6078
ENSG00000076356	2	0.0109	0.0042
ENSG00000076864	11	0.1307	0.0510
ENSG00000077152	210	14.8169	5.7796
ENSG00000077157	585	3.0467	1.1884
ENSG00000077254	2420	26.2368	10.2342
ENSG00000077522	1	0.0078	0.0030
ENSG00000077549	3401	73.3009	28.5925
ENSG00000077585	212	6.9807	2.7230
ENSG00000078369	11376	139.0510	54.2397
ENSG00000078618	5107	57.8705	22.5736
ENSG00000078808	4233	67.5980	26.3680
ENSG00000078900	32	0.4320	0.1685
ENSG00000079277	1084	10.0842	3.9336
ENSG00000079335	1652	21.6265	8.4358
ENSG00000079739	594	10.7034	4.1751
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	16	0.1761	0.0687
ENSG00000081019	4032	44.3486	17.2990
ENSG00000081026	2	0.0183	0.0072
ENSG00000081237	17806	156.9820	61.2339
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	222	3.8603	1.5057
ENSG00000081721	1494	63.6067	24.8110
ENSG00000081870	900	24.4520	9.5380
ENSG00000081985	15	0.2601	0.1015
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2336	19.4186	7.5746
ENSG00000083444	438	6.1727	2.4078
ENSG00000084070	7185	163.3430	63.7150
ENSG00000084072	1409	13.0969	5.1087
ENSG00000084073	1980	41.5795	16.2189
ENSG00000084623	8006	348.0660	135.7701
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	4	0.0323	0.0126
ENSG00000084652	1446	21.2548	8.2908
ENSG00000085433	697	11.5168	4.4923
ENSG00000085465	360	9.0328	3.5235
ENSG00000085491	1599	18.3143	7.1439
ENSG00000085552	12	0.1360	0.0530
ENSG00000085831	92	0.7389	0.2882
ENSG00000085832	5767	57.2792	22.3429
ENSG00000085840	570	13.5439	5.2831
ENSG00000085998	560	6.5964	2.5731
ENSG00000085999	92	2.1441	0.8364
ENSG00000086015	232	1.9603	0.7647
ENSG00000086619	1683	22.1869	8.6544
ENSG00000088035	534	8.1027	3.1606
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	759	9.5300	3.7174
ENSG00000090104	3305	60.1999	23.4821
ENSG00000090273	2209	57.9951	22.6222
ENSG00000090432	1500	46.1905	18.0176
ENSG00000090621	14967	165.5200	64.5643
ENSG00000090686	2765	21.8324	8.5162
ENSG00000091483	620	21.7124	8.4694
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	76	1.0139	0.3955
ENSG00000092847	2990	17.4038	6.7887
ENSG00000092850	1	0.0531	0.0207
ENSG00000092853	262	3.6352	1.4180
ENSG00000092969	13	0.1893	0.0738
ENSG00000092978	576	4.8902	1.9075
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	3720	43.1474	16.8305
ENSG00000097021	230	3.5282	1.3763
ENSG00000097033	9675	108.6740	42.3903
ENSG00000097046	547	11.3957	4.4451
ENSG00000097096	2	0.0233	0.0091
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	686	14.7599	5.7574
ENSG00000116128	417	4.8679	1.8988
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	19	0.3209	0.1252
ENSG00000116138	1144	10.0188	3.9080
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	15	0.2150	0.0839
ENSG00000116157	1373	60.8811	23.7480
ENSG00000116161	2848	47.3550	18.4717
ENSG00000116171	2473	22.3294	8.7100
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	102	1.0307	0.4021
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	794	7.5614	2.9495
ENSG00000116199	1273	15.8101	6.1670
ENSG00000116205	216	2.7808	1.0847
ENSG00000116209	9347	168.6810	65.7973
ENSG00000116212	434	13.4915	5.2627
ENSG00000116213	853	8.4131	3.2817
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	2583	87.8938	34.2848
ENSG00000116237	575	8.7770	3.4237
ENSG00000116251	11890	181.9970	70.9916
ENSG00000116254	63	0.4747	0.1852
ENSG00000116260	1876	15.1112	5.8944
ENSG00000116266	3491	44.4178	17.3261
ENSG00000116273	190	3.8707	1.5098
ENSG00000116285	93	1.6663	0.6500
ENSG00000116288	3441	107.6550	41.9928
ENSG00000116299	32	0.2581	0.1007
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	2824	31.0195	12.0998
ENSG00000116350	3774	89.0689	34.7431
ENSG00000116353	131	2.4757	0.9657
ENSG00000116396	3	0.0241	0.0094
ENSG00000116406	875	8.7096	3.3974
ENSG00000116455	433	11.5829	4.5181
ENSG00000116459	6488	143.8430	56.1088
ENSG00000116473	5312	69.4982	27.1091
ENSG00000116478	3723	69.6513	27.1688
ENSG00000116489	7619	138.3660	53.9725
ENSG00000116497	1745	14.2447	5.5564
ENSG00000116514	3830	110.0460	42.9255
ENSG00000116521	3280	100.7360	39.2940
ENSG00000116525	261	4.9270	1.9219
ENSG00000116539	2960	16.6941	6.5119
ENSG00000116544	15	0.2829	0.1103
ENSG00000116560	28104	283.8400	110.7174
ENSG00000116574	80	1.3724	0.5353
ENSG00000116580	2107	12.9987	5.0704
ENSG00000116584	4565	46.1798	18.0134
ENSG00000116586	710	37.0160	14.4388
ENSG00000116604	9514	111.4960	43.4912
ENSG00000116641	851	5.8695	2.2895
ENSG00000116649	2163	85.4689	33.3388
ENSG00000116652	5	0.3305	0.1289
ENSG00000116661	0	0.0000	0.0000
ENSG00000116663	224	9.2882	3.6231
ENSG00000116667	867	5.9279	2.3123
ENSG00000116668	349	6.4576	2.5189
ENSG00000116670	729	16.0773	6.2713
ENSG00000116675	245	2.6567	1.0363
ENSG00000116678	958	6.2708	2.4461
ENSG00000116679	5038	47.6518	18.5875
ENSG00000116685	1120	25.6084	9.9890
ENSG00000116688	1978	29.7939	11.6217
ENSG00000116690	7	0.1040	0.0406
ENSG00000116691	710	18.8713	7.3611
ENSG00000116698	7639	68.8826	26.8691
ENSG00000116701	404	10.3607	4.0414
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	1208	12.6645	4.9401
ENSG00000116711	111	2.8890	1.1270
ENSG00000116717	1278	46.3446	18.0776
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	2	0.0332	0.0130
ENSG00000116731	6911	47.5130	18.5334
ENSG00000116741	4002	143.8870	56.1259
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	3975	32.7570	12.7775
