gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1055	20.5796	1.5921
ENSG00000000460	1700	20.0637	1.5522
ENSG00000000938	2397	51.0045	3.9458
ENSG00000000971	2558	23.5597	1.8226
ENSG00000001460	531	4.6751	0.3617
ENSG00000001461	5532	44.1213	3.4133
ENSG00000004455	27916	368.4140	28.5014
ENSG00000004487	20516	450.4290	34.8463
ENSG00000006555	15	0.1873	0.0145
ENSG00000007341	3530	32.6412	2.5252
ENSG00000007908	8	0.1356	0.0105
ENSG00000007923	4857	70.7795	5.4757
ENSG00000007933	39	0.8446	0.0653
ENSG00000007968	4698	64.5688	4.9952
ENSG00000008118	3	0.0807	0.0062
ENSG00000008128	8454	134.3970	10.3973
ENSG00000008130	8258	107.9190	8.3489
ENSG00000009307	145152	1891.6500	146.3427
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1285	22.6662	1.7535
ENSG00000009780	841	21.9252	1.6962
ENSG00000009790	5050	48.8544	3.7795
ENSG00000010072	4894	62.1505	4.8081
ENSG00000010165	2319	45.2488	3.5006
ENSG00000010803	17477	294.7500	22.8026
ENSG00000010932	23	0.4913	0.0380
ENSG00000011007	11040	153.5920	11.8822
ENSG00000011009	4678	159.7790	12.3609
ENSG00000011021	11310	123.2210	9.5327
ENSG00000014914	46	0.7445	0.0576
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0222	0.0017
ENSG00000018625	3	0.0357	0.0028
ENSG00000020129	5672	86.5129	6.6929
ENSG00000020633	4304	70.1053	5.4235
ENSG00000021852	2	0.0550	0.0043
ENSG00000023572	423	24.4119	1.8885
ENSG00000023902	19686	236.6830	18.3104
ENSG00000023909	1286	17.9486	1.3886
ENSG00000024526	403	5.1162	0.3958
ENSG00000025800	29969	292.3970	22.6206
ENSG00000026751	48	0.7878	0.0609
ENSG00000027644	32	0.4707	0.0364
ENSG00000027869	1473	43.9889	3.4031
ENSG00000028137	5257	104.6920	8.0992
ENSG00000031698	8411	164.4460	12.7220
ENSG00000033122	175	1.0954	0.0847
ENSG00000034971	4	0.1378	0.0107
ENSG00000035687	3818	78.1047	6.0424
ENSG00000036549	7762	64.6261	4.9996
ENSG00000037637	12047	100.5740	7.7807
ENSG00000040487	1430	39.9363	3.0896
ENSG00000041988	4343	79.9899	6.1882
ENSG00000042781	7	0.0255	0.0020
ENSG00000043514	1933	47.2156	3.6527
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	33053	243.5120	18.8387
ENSG00000048707	18054	66.5512	5.1486
ENSG00000049089	3826	69.1260	5.3478
ENSG00000049239	10805	88.8893	6.8767
ENSG00000049245	11137	302.6290	23.4122
ENSG00000049246	859	9.0674	0.7015
ENSG00000049247	131	5.4958	0.4252
ENSG00000049249	64	2.1138	0.1635
ENSG00000050628	15	0.1165	0.0090
ENSG00000052723	7027	89.4111	6.9171
ENSG00000053371	7596	319.8710	24.7460
ENSG00000053372	4525	120.2680	9.3043
ENSG00000054116	6123	138.6090	10.7231
ENSG00000054118	15709	248.7740	19.2458
ENSG00000054267	27478	186.1180	14.3986
ENSG00000054277	2276	49.0520	3.7948
ENSG00000054282	5005	71.5386	5.5344
ENSG00000054392	1821	31.7893	2.4593
ENSG00000054523	1013	4.2934	0.3321
ENSG00000055070	35055	553.8520	42.8474
ENSG00000055732	2	0.0226	0.0018
ENSG00000057252	3758	40.0782	3.1006
ENSG00000057468	20	0.4654	0.0360
ENSG00000057757	14763	506.4900	39.1834
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2162	13.2225	1.0229
ENSG00000058668	21958	169.4150	13.1064
ENSG00000058673	42172	326.0750	25.2260
ENSG00000058799	2391	79.3251	6.1368
ENSG00000058804	4151	60.6271	4.6903
ENSG00000059588	40133	388.7300	30.0732
ENSG00000060642	1917	42.5035	3.2882
ENSG00000060656	136	1.5218	0.1177
ENSG00000060688	5701	106.5960	8.2465
ENSG00000060718	20	0.1815	0.0140
ENSG00000064703	6947	86.5619	6.6967
ENSG00000064886	83	1.8995	0.1469
ENSG00000065135	14204	332.2730	25.7055
ENSG00000065183	2611	47.0868	3.6428
ENSG00000065243	9835	105.1600	8.1354
ENSG00000065526	102819	580.0650	44.8753
ENSG00000065600	4783	123.1060	9.5238
ENSG00000065978	88923	3455.5600	267.3308
ENSG00000066027	11305	219.4820	16.9797
ENSG00000066056	8781	98.3835	7.6112
ENSG00000066135	15396	223.2550	17.2716
ENSG00000066136	3578	44.8166	3.4671
ENSG00000066185	459	15.6733	1.2125
ENSG00000066279	4231	29.1447	2.2547
ENSG00000066294	9571	77.5609	6.0003
ENSG00000066322	8080	246.4480	19.0658
ENSG00000066557	2845	73.9823	5.7235
ENSG00000067208	1009	9.1505	0.7079
ENSG00000067334	14545	181.6610	14.0538
ENSG00000067533	1993	18.9608	1.4669
ENSG00000067606	2448	24.0405	1.8598
ENSG00000067704	11668	210.2650	16.2666
ENSG00000069248	7377	109.4010	8.4635
ENSG00000069275	25398	290.9910	22.5118
ENSG00000069424	59476	548.9420	42.4675
ENSG00000069702	42	0.3605	0.0279
ENSG00000069712	379	6.1434	0.4753
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2961	64.1801	4.9651
ENSG00000070785	3035	74.8091	5.7874
ENSG00000070831	43519	940.6200	72.7688
ENSG00000070886	5	0.0694	0.0054
ENSG00000072694	13	0.1394	0.0108
ENSG00000073754	43	1.3013	0.1007
ENSG00000073756	13342	189.9140	14.6922
ENSG00000074800	248906	4556.5000	352.5023
ENSG00000074964	40	0.3813	0.0295
ENSG00000075151	22881	203.5910	15.7503
ENSG00000075391	1396	8.8615	0.6855
ENSG00000075945	1988	29.7296	2.3000
ENSG00000076258	513	15.2765	1.1818
ENSG00000076321	3044	53.6756	4.1525
ENSG00000076356	773	4.2062	0.3254
ENSG00000076864	1080	12.7716	0.9880
ENSG00000077152	1058	74.4779	5.7618
ENSG00000077157	8754	45.5963	3.5274
ENSG00000077254	7578	82.1577	6.3559
ENSG00000077522	6	0.0830	0.0064
ENSG00000077549	24110	519.6060	40.1980
ENSG00000077585	489	16.0873	1.2446
ENSG00000078369	62136	759.4900	58.7561
ENSG00000078618	30989	351.1320	27.1644
ENSG00000078808	20232	323.0560	24.9924
ENSG00000078900	700	9.4531	0.7313
ENSG00000079277	7302	67.9462	5.2565
ENSG00000079335	6776	88.7104	6.8629
ENSG00000079739	8908	160.4470	12.4126
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	946	10.4127	0.8056
ENSG00000081019	7949	87.4332	6.7641
ENSG00000081026	134	1.2262	0.0949
ENSG00000081237	37434	330.0290	25.5319
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2682	46.6204	3.6067
ENSG00000081721	3885	165.3520	12.7921
ENSG00000081870	2292	62.3008	4.8198
ENSG00000081985	149	2.6319	0.2036
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	12	0.1644	0.0127
ENSG00000082512	3599	29.9192	2.3146
ENSG00000083444	6097	85.8369	6.6406
ENSG00000084070	19802	450.1850	34.8275
ENSG00000084072	4491	41.7287	3.2282
ENSG00000084073	2949	61.9275	4.7909
ENSG00000084623	47951	2084.8400	161.2882
ENSG00000084628	7	0.1764	0.0137
ENSG00000084636	62	0.4839	0.0374
ENSG00000084652	6772	99.5313	7.7000
ENSG00000085433	2444	40.4026	3.1257
ENSG00000085465	1483	37.2115	2.8788
ENSG00000085491	1020	11.6848	0.9040
ENSG00000085552	107	1.2177	0.0942
ENSG00000085831	234	1.8742	0.1450
ENSG00000085832	13337	132.4640	10.2478
ENSG00000085840	7765	184.4680	14.2709
ENSG00000085998	5957	70.1811	5.4294
ENSG00000085999	3225	75.2998	5.8254
ENSG00000086015	6946	58.6950	4.5408
ENSG00000086619	1969	25.9596	2.0083
ENSG00000088035	1249	18.9383	1.4651
ENSG00000088280	21	0.3295	0.0255
ENSG00000090020	7035	88.3011	6.8312
ENSG00000090104	17956	327.1140	25.3064
ENSG00000090273	13334	350.0450	27.0804
ENSG00000090432	6640	204.4390	15.8159
ENSG00000090621	41050	453.9550	35.1191
ENSG00000090686	21065	166.3550	12.8696
ENSG00000091483	7160	250.7160	19.3960
ENSG00000092607	97	1.9149	0.1481
ENSG00000092621	12455	166.1560	12.8543
ENSG00000092847	24417	142.1140	10.9943
ENSG00000092850	107	4.0399	0.3125
ENSG00000092853	3138	43.4910	3.3646
