gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	927	18.0845	1.7421
ENSG00000000460	1162	13.7166	1.3213
ENSG00000000938	4720	100.4450	9.6757
ENSG00000000971	1619	14.9059	1.4359
ENSG00000001460	285	2.5089	0.2417
ENSG00000001461	2889	23.0379	2.2192
ENSG00000004455	7822	103.2320	9.9443
ENSG00000004487	19644	431.3000	41.5467
ENSG00000006555	25	0.3093	0.0298
ENSG00000007341	1982	18.3294	1.7657
ENSG00000007908	10	0.1778	0.0171
ENSG00000007923	1913	27.8782	2.6855
ENSG00000007933	23	0.4978	0.0480
ENSG00000007968	3170	43.5734	4.1974
ENSG00000008118	30	0.8401	0.0809
ENSG00000008128	8021	127.5030	12.2822
ENSG00000008130	5452	71.2546	6.8639
ENSG00000009307	154619	2015.0200	194.1050
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1618	28.5378	2.7490
ENSG00000009780	879	22.9162	2.2075
ENSG00000009790	5613	54.2987	5.2305
ENSG00000010072	5769	73.2569	7.0568
ENSG00000010165	1297	25.3180	2.4389
ENSG00000010803	8828	148.8810	14.3415
ENSG00000010932	22	0.4684	0.0451
ENSG00000011007	15208	211.5770	20.3810
ENSG00000011009	3764	128.5460	12.3828
ENSG00000011021	3958	43.1187	4.1536
ENSG00000014914	128	2.0886	0.2012
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0715	0.0069
ENSG00000020129	2311	35.2453	3.3951
ENSG00000020633	15525	252.8430	24.3561
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	506	29.1940	2.8122
ENSG00000023902	15066	181.1390	17.4490
ENSG00000023909	927	12.9317	1.2457
ENSG00000024526	366	4.6523	0.4482
ENSG00000025800	24493	238.9760	23.0203
ENSG00000026751	491	8.0002	0.7707
ENSG00000027644	5	0.0800	0.0077
ENSG00000027869	140	4.1887	0.4035
ENSG00000028137	2159	42.9912	4.1413
ENSG00000031698	5259	102.8250	9.9050
ENSG00000033122	204	1.2711	0.1224
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1641	33.5756	3.2343
ENSG00000036549	5400	44.9606	4.3310
ENSG00000037637	5521	46.0896	4.4398
ENSG00000040487	691	19.2882	1.8580
ENSG00000041988	3197	58.8907	5.6729
ENSG00000042781	10	0.0364	0.0035
ENSG00000043514	1220	29.7841	2.8691
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20429	150.5070	14.4982
ENSG00000048707	11133	41.0378	3.9531
ENSG00000049089	1797	32.4743	3.1282
ENSG00000049239	2746	22.5887	2.1759
ENSG00000049245	13050	354.6220	34.1604
ENSG00000049246	104	1.0964	0.1056
ENSG00000049247	31	1.2928	0.1245
ENSG00000049249	166	5.4545	0.5254
ENSG00000050628	2	0.0155	0.0015
ENSG00000052723	7217	91.8339	8.8463
ENSG00000053371	5100	214.7750	20.6891
ENSG00000053372	2120	56.3359	5.4268
ENSG00000054116	2910	65.8657	6.3448
ENSG00000054118	8082	127.9890	12.3291
ENSG00000054267	31562	213.7800	20.5932
ENSG00000054277	1086	23.4158	2.2556
ENSG00000054282	4348	62.1443	5.9863
ENSG00000054392	1497	26.1304	2.5171
ENSG00000054523	4682	19.8485	1.9120
ENSG00000055070	43438	686.2930	66.1099
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5427	57.8780	5.5753
ENSG00000057468	25	0.5811	0.0560
ENSG00000057757	9612	329.7720	31.7666
ENSG00000058085	8	0.0917	0.0088
ENSG00000058453	1593	9.7427	0.9385
ENSG00000058668	7686	59.3007	5.7124
ENSG00000058673	53348	412.4870	39.7345
ENSG00000058799	1559	51.7112	4.9813
ENSG00000058804	1301	18.9949	1.8298
ENSG00000059588	18795	182.0550	17.5371
ENSG00000060642	2048	45.4151	4.3748
ENSG00000060656	2	0.0196	0.0019
ENSG00000060688	3960	74.0454	7.1327
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6355	79.1829	7.6276
ENSG00000064886	154	3.5038	0.3375
ENSG00000065135	8747	204.6300	19.7119
ENSG00000065183	557	10.0529	0.9684
ENSG00000065243	5907	63.1681	6.0849
ENSG00000065526	41300	233.0010	22.4448
ENSG00000065600	3843	98.9152	9.5284
ENSG00000065978	116780	4538.0900	437.1500
ENSG00000066027	13096	254.2660	24.4932
ENSG00000066056	2381	26.6733	2.5694
ENSG00000066135	7025	101.8750	9.8135
ENSG00000066136	2500	31.3150	3.0165
ENSG00000066185	126	4.2916	0.4134
ENSG00000066279	1714	11.8110	1.1377
ENSG00000066294	16974	137.5490	13.2500
ENSG00000066322	4921	150.1050	14.4595
ENSG00000066557	4150	107.9320	10.3969
ENSG00000067208	632	5.7305	0.5520
ENSG00000067334	12077	150.8350	14.5298
ENSG00000067533	2272	21.6184	2.0825
ENSG00000067606	133	1.3017	0.1254
ENSG00000067704	5325	95.9495	9.2427
ENSG00000069248	3319	49.2304	4.7423
ENSG00000069275	15794	180.9550	17.4312
ENSG00000069424	34360	317.1270	30.5486
ENSG00000069702	297	2.5742	0.2480
ENSG00000069712	73	1.1793	0.1136
ENSG00000069812	8	0.1110	0.0107
ENSG00000070759	1888	40.9327	3.9430
ENSG00000070785	1230	30.3260	2.9213
ENSG00000070831	84917	1835.3800	176.8001
ENSG00000070886	4	0.0560	0.0054
ENSG00000072694	118	1.2636	0.1217
ENSG00000073754	50	1.5269	0.1471
ENSG00000073756	14365	204.4750	19.6969
ENSG00000074800	178232	3262.7200	314.2947
ENSG00000074964	161	1.5396	0.1483
ENSG00000075151	9534	84.8346	8.1720
ENSG00000075391	127	0.8060	0.0776
ENSG00000075945	1786	26.7186	2.5738
ENSG00000076258	189	5.6254	0.5419
ENSG00000076321	2532	44.6354	4.2997
ENSG00000076356	875	4.7639	0.4589
ENSG00000076864	476	5.6256	0.5419
ENSG00000077152	666	46.9324	4.5210
ENSG00000077157	4335	22.5800	2.1751
ENSG00000077254	5302	57.4760	5.5366
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	19228	414.4000	39.9188
ENSG00000077585	230	7.5814	0.7303
ENSG00000078369	34182	417.8020	40.2465
ENSG00000078618	27669	313.5210	30.2011
ENSG00000078808	14692	234.6030	22.5991
ENSG00000078900	119	1.6074	0.1548
ENSG00000079277	2915	27.1290	2.6133
ENSG00000079335	8038	105.2240	10.1361
ENSG00000079739	3275	58.9880	5.6823
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	666	7.3283	0.7059
ENSG00000081019	7397	81.3589	7.8372
ENSG00000081026	47	0.4339	0.0418
ENSG00000081237	30313	267.2480	25.7437
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	618	10.7418	1.0347
ENSG00000081721	5158	219.5490	21.1490
ENSG00000081870	1935	52.6028	5.0672
ENSG00000081985	59	1.0418	0.1004
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	13	0.1783	0.0172
ENSG00000082512	7229	60.0954	5.7889
ENSG00000083444	2643	37.2056	3.5840
ENSG00000084070	13656	310.4530	29.9056
ENSG00000084072	2728	25.3510	2.4420
