gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	307	5.9898	0.8441
ENSG00000000460	664	7.8319	1.1037
ENSG00000000938	7274	154.8180	21.8178
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	205	1.8017	0.2539
ENSG00000001461	1333	10.6331	1.4985
ENSG00000004455	3780	49.8918	7.0310
ENSG00000004487	4997	109.7030	15.4599
ENSG00000006555	4	0.0495	0.0070
ENSG00000007341	671	6.2051	0.8745
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1554	22.6433	3.1910
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3372	46.3445	6.5311
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2705	43.0061	6.0607
ENSG00000008130	5400	70.5729	9.9455
ENSG00000009307	49015	638.7740	90.0194
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	10	0.1764	0.0249
ENSG00000009780	397	10.3428	1.4576
ENSG00000009790	4256	41.1728	5.8023
ENSG00000010072	1321	16.7816	2.3649
ENSG00000010165	228	4.4569	0.6281
ENSG00000010803	8680	146.3990	20.6314
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5451	75.8310	10.6865
ENSG00000011009	2606	88.9954	12.5417
ENSG00000011021	4233	46.1175	6.4991
ENSG00000014914	4048	66.1215	9.3182
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0058
ENSG00000018625	1	0.0119	0.0017
ENSG00000020129	758	11.5686	1.6303
ENSG00000020633	791	12.8903	1.8166
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	454	26.2340	3.6970
ENSG00000023902	15924	191.4580	26.9814
ENSG00000023909	191	2.6632	0.3753
ENSG00000024526	84	1.0689	0.1506
ENSG00000025800	10244	99.9465	14.0850
ENSG00000026751	161	2.6249	0.3699
ENSG00000027644	58	0.8539	0.1203
ENSG00000027869	118	3.5291	0.4973
ENSG00000028137	12115	241.2620	33.9999
ENSG00000031698	4375	85.5412	12.0549
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2356	48.2076	6.7937
ENSG00000036549	2688	22.3824	3.1543
ENSG00000037637	2331	19.4586	2.7422
ENSG00000040487	722	20.1724	2.8428
ENSG00000041988	770	14.1783	1.9981
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	529	12.9264	1.8216
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6684	49.2464	6.9401
ENSG00000048707	3464	12.7692	1.7995
ENSG00000049089	1167	21.0836	2.9712
ENSG00000049239	2679	22.0386	3.1058
ENSG00000049245	12585	341.9970	48.1961
