gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	830	16.1917	1.3444
ENSG00000000460	1615	19.0614	1.5826
ENSG00000000938	13692	291.3980	24.1941
ENSG00000000971	974	8.9654	0.7444
ENSG00000001460	163	1.4401	0.1196
ENSG00000001461	2215	17.6635	1.4666
ENSG00000004455	23474	309.7930	25.7214
ENSG00000004487	25706	564.3800	46.8591
ENSG00000006555	29	0.3628	0.0301
ENSG00000007341	2625	24.2738	2.0154
ENSG00000007908	78	1.3866	0.1151
ENSG00000007923	7793	113.5560	9.4283
ENSG00000007933	70	1.5241	0.1265
ENSG00000007968	4299	59.0850	4.9057
ENSG00000008118	43	1.2040	0.1000
ENSG00000008128	7330	116.5150	9.6739
ENSG00000008130	10432	136.3340	11.3195
ENSG00000009307	119487	1557.1700	129.2884
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2877	50.7579	4.2143
ENSG00000009780	795	20.7250	1.7207
ENSG00000009790	5420	52.4353	4.3536
ENSG00000010072	2808	35.6546	2.9603
ENSG00000010165	1984	38.7211	3.2149
ENSG00000010803	12965	218.6630	18.1551
ENSG00000010932	30	0.6253	0.0519
ENSG00000011007	30068	418.3140	34.7316
ENSG00000011009	8155	278.5270	23.1255
ENSG00000011021	3763	41.0016	3.4043
ENSG00000014914	123	2.0113	0.1670
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0066	0.0005
ENSG00000018625	54	0.6431	0.0534
ENSG00000020129	7514	114.6070	9.5155
ENSG00000020633	13190	214.8220	17.8362
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	729	42.1178	3.4969
ENSG00000023902	9399	113.0070	9.3827
ENSG00000023909	456	6.3670	0.5286
ENSG00000024526	327	4.1580	0.3452
ENSG00000025800	16508	161.0660	13.3730
ENSG00000026751	372	6.0630	0.5034
ENSG00000027644	114	1.6763	0.1392
ENSG00000027869	1469	43.8503	3.6408
ENSG00000028137	7510	149.5570	12.4173
ENSG00000031698	10849	212.1240	17.6122
ENSG00000033122	116	0.7236	0.0601
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5421	110.8940	9.2073
