gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1366	26.6517	2.5353
ENSG00000000460	1485	17.5291	1.6675
ENSG00000000938	943	20.0749	1.9097
ENSG00000000971	343	3.1558	0.3002
ENSG00000001460	116	1.0235	0.0974
ENSG00000001461	1359	10.8399	1.0312
ENSG00000004455	8343	110.1010	10.4737
ENSG00000004487	14815	325.2740	30.9430
ENSG00000006555	60	0.7491	0.0713
ENSG00000007341	933	8.6284	0.8208
ENSG00000007908	1	0.0178	0.0017
ENSG00000007923	4799	69.9273	6.6521
ENSG00000007933	2	0.0433	0.0041
ENSG00000007968	5732	78.7786	7.4941
ENSG00000008118	4	0.1121	0.0107
ENSG00000008128	3529	56.0943	5.3362
ENSG00000008130	5713	74.6611	7.1024
ENSG00000009307	101652	1324.7400	126.0213
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	92	1.6248	0.1546
ENSG00000009780	973	25.3720	2.4136
ENSG00000009790	2326	22.5012	2.1405
ENSG00000010072	3417	43.3962	4.1282
ENSG00000010165	1221	23.8368	2.2676
ENSG00000010803	9025	152.2060	14.4792
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	15124	210.4050	20.0156
ENSG00000011009	4633	158.2230	15.0515
ENSG00000011021	5466	59.5491	5.6648
ENSG00000014914	135	2.2100	0.2102
ENSG00000016490	230	5.1539	0.4903
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0045
ENSG00000020129	2332	35.5672	3.3835
ENSG00000020633	52797	859.8870	81.8000
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	494	28.5142	2.7125
ENSG00000023902	26337	316.6510	30.1226
ENSG00000023909	1871	26.1143	2.4842
ENSG00000024526	1013	12.8718	1.2245
ENSG00000025800	15895	155.0840	14.7530
ENSG00000026751	1099	17.8964	1.7025
ENSG00000027644	7	0.1102	0.0105
ENSG00000027869	1990	59.4252	5.6531
ENSG00000028137	6537	130.1840	12.3842
ENSG00000031698	10042	196.3460	18.6782
ENSG00000033122	4	0.0250	0.0024
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5164	105.6510	10.0505
ENSG00000036549	6868	57.1831	5.4398
ENSG00000037637	4568	38.1332	3.6276
ENSG00000040487	1092	30.4873	2.9002
ENSG00000041988	1185	21.8249	2.0762
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1655	40.4087	3.8440
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	28422	209.3940	19.9194
ENSG00000048707	8569	31.5874	3.0049
ENSG00000049089	324	5.8538	0.5569
ENSG00000049239	4909	40.3807	3.8414
ENSG00000049245	14240	386.9440	36.8096
ENSG00000049246	522	5.5082	0.5240
ENSG00000049247	68	2.8598	0.2721
ENSG00000049249	519	17.0346	1.6205
ENSG00000050628	15	0.1165	0.0111
ENSG00000052723	9062	115.3100	10.9694
ENSG00000053371	5636	237.3390	22.5778
ENSG00000053372	3625	96.3366	9.1644
ENSG00000054116	3186	72.1183	6.8605
ENSG00000054118	12751	201.9310	19.2095
ENSG00000054267	27261	184.6470	17.5653
ENSG00000054277	1346	29.0023	2.7590
ENSG00000054282	1538	21.9813	2.0911
ENSG00000054392	854	14.9160	1.4189
ENSG00000054523	4154	17.6072	1.6750
ENSG00000055070	15755	248.9210	23.6796
ENSG00000055732	8	0.0906	0.0086
ENSG00000057252	5189	55.3303	5.2635
ENSG00000057468	48	1.0983	0.1045
ENSG00000057757	9905	339.8330	32.3279
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1764	10.7869	1.0261
ENSG00000058668	14276	110.1430	10.4778
ENSG00000058673	27961	216.1940	20.5663
ENSG00000058799	2987	99.0924	9.4266
ENSG00000058804	6036	88.1564	8.3862
ENSG00000059588	14121	136.7750	13.0112
ENSG00000060642	487	10.7957	1.0270
ENSG00000060656	14	0.1567	0.0149
ENSG00000060688	4659	87.1224	8.2879
ENSG00000060718	2836	25.7320	2.4479
ENSG00000064703	5134	63.9733	6.0857
ENSG00000064886	191	4.3563	0.4144
ENSG00000065135	24016	561.8140	53.4447
ENSG00000065183	1525	27.4960	2.6157
ENSG00000065243	13904	148.6760	14.1434
ENSG00000065526	44650	251.9000	23.9630
ENSG00000065600	1896	48.8075	4.6430
ENSG00000065978	119804	4655.6000	442.8821
ENSG00000066027	16306	316.5880	30.1166
ENSG00000066056	2327	26.0669	2.4797
ENSG00000066135	2223	32.2340	3.0664
ENSG00000066136	5687	71.2409	6.7771
ENSG00000066185	120	4.1075	0.3907
ENSG00000066279	5301	36.5214	3.4742
ENSG00000066294	4315	34.9648	3.3262
ENSG00000066322	7470	227.8260	21.6728
ENSG00000066557	5850	152.1410	14.4730
ENSG00000067208	494	4.4810	0.4263
ENSG00000067334	23613	294.9160	28.0550
ENSG00000067533	3764	35.8117	3.4067
ENSG00000067606	575	5.6513	0.5376
ENSG00000067704	16292	293.5820	27.9281
ENSG00000069248	8353	123.8850	11.7850
ENSG00000069275	28889	330.9930	31.4870
ENSG00000069424	29779	274.8470	26.1459
ENSG00000069702	874	7.5723	0.7204
ENSG00000069712	113	1.8256	0.1737
ENSG00000069812	10	0.1387	0.0132
ENSG00000070759	2579	55.9124	5.3189
ENSG00000070785	1825	44.9885	4.2797
ENSG00000070831	36114	780.5580	74.2536
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	148	1.5906	0.1513
