gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	3892	75.9389	7.0888
ENSG00000000460	3021	35.6641	3.3292
ENSG00000000938	12076	257.0010	23.9906
ENSG00000000971	3631	33.4370	3.1213
ENSG00000001460	1241	10.9281	1.0201
ENSG00000001461	8088	64.5038	6.0213
ENSG00000004455	38647	510.0300	47.6105
ENSG00000004487	16589	364.2210	33.9995
ENSG00000006555	123	1.5247	0.1423
ENSG00000007341	3975	36.7537	3.4309
ENSG00000007908	5	0.0924	0.0086
ENSG00000007923	7482	109.0220	10.1771
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	862	11.8538	1.1065
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5048	80.2535	7.4915
ENSG00000008130	8503	111.1260	10.3735
ENSG00000009307	97590	1271.8000	118.7208
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1052	18.5672	1.7332
ENSG00000009780	877	22.8647	2.1344
ENSG00000009790	14803	143.2030	13.3678
ENSG00000010072	1219	15.4846	1.4455
ENSG00000010165	7055	137.6830	12.8525
ENSG00000010803	13383	225.7140	21.0701
ENSG00000010932	9	0.1880	0.0176
ENSG00000011007	7412	103.1110	9.6253
ENSG00000011009	5034	171.9360	16.0500
ENSG00000011021	6149	66.9904	6.2535
ENSG00000014914	50	0.8170	0.0763
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0200	0.0019
ENSG00000018625	3	0.0357	0.0033
ENSG00000020129	7609	116.0560	10.8336
ENSG00000020633	1018	16.5874	1.5484
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	635	36.6782	3.4239
ENSG00000023902	11268	135.4720	12.6461
ENSG00000023909	756	10.5497	0.9848
ENSG00000024526	159	2.0186	0.1884
ENSG00000025800	13716	133.8230	12.4921
ENSG00000026751	90	1.4650	0.1368
ENSG00000027644	50	0.7334	0.0685
ENSG00000027869	618	18.4479	1.7221
ENSG00000028137	7112	141.6390	13.2218
ENSG00000031698	13436	262.6990	24.5226
ENSG00000033122	125	0.7780	0.0726
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5426	111.0160	10.3632
ENSG00000036549	6861	57.1263	5.3327
ENSG00000037637	11246	93.8807	8.7636
ENSG00000040487	1608	44.9073	4.1920
ENSG00000041988	4382	80.7016	7.5334
ENSG00000042781	40	0.1454	0.0136
ENSG00000043514	1932	47.1736	4.4036
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	24354	179.4220	16.7488
ENSG00000048707	26828	98.8926	9.2315
ENSG00000049089	2033	36.7326	3.4289
ENSG00000049239	14783	121.6090	11.3520
ENSG00000049245	8390	227.9830	21.2818
ENSG00000049246	2364	24.9600	2.3300
ENSG00000049247	447	18.7925	1.7542
ENSG00000049249	30	0.9851	0.0920
ENSG00000050628	1149	8.9296	0.8336
ENSG00000052723	4110	52.2954	4.8817
ENSG00000053371	6638	279.5410	26.0947
ENSG00000053372	5194	138.0300	12.8849
