gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	779	15.2003	1.6742
ENSG00000000460	688	8.1191	0.8943
ENSG00000000938	39147	833.1470	91.7652
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	370	3.2630	0.3594
ENSG00000001461	1252	9.9838	1.0996
ENSG00000004455	9976	131.6600	14.5014
ENSG00000004487	6333	139.0390	15.3141
ENSG00000006555	51	0.6317	0.0696
ENSG00000007341	1121	10.3670	1.1419
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2982	43.4521	4.7859
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1261	17.3370	1.9095
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1524	24.2206	2.6677
ENSG00000008130	8453	110.4730	12.1679
ENSG00000009307	40590	528.9780	58.2632
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	684	17.8265	1.9635
ENSG00000009790	7976	77.1583	8.4984
ENSG00000010072	1121	14.2321	1.5676
ENSG00000010165	1302	25.4088	2.7986
ENSG00000010803	5662	95.4920	10.5178
ENSG00000010932	8	0.1679	0.0185
ENSG00000011007	5058	70.3665	7.7504
ENSG00000011009	4513	154.1170	16.9749
ENSG00000011021	1679	18.2934	2.0149
ENSG00000014914	16147	263.7790	29.0533
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1762	26.8759	2.9602
ENSG00000020633	2665	43.4000	4.7802
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1109	64.0308	7.0525
ENSG00000023902	20119	241.8880	26.6422
ENSG00000023909	328	4.5821	0.5047
ENSG00000024526	315	4.0002	0.4406
ENSG00000025800	7145	69.7117	7.6783
ENSG00000026751	606	9.8775	1.0879
ENSG00000027644	56	0.8234	0.0907
ENSG00000027869	529	15.7918	1.7394
ENSG00000028137	37058	738.0180	81.2874
ENSG00000031698	10260	200.5910	22.0937
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4654	95.2114	10.4868
ENSG00000036549	2271	18.9065	2.0824
ENSG00000037637	3160	26.3793	2.9055
ENSG00000040487	1333	37.2204	4.0996
ENSG00000041988	697	12.8450	1.4148
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	996	24.3357	2.6804
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4374	32.2219	3.5490
ENSG00000048707	3456	12.7396	1.4032
ENSG00000049089	1246	22.5160	2.4800
ENSG00000049239	3645	29.9877	3.3029
ENSG00000049245	14109	383.3920	42.2279
ENSG00000049246	99	1.0452	0.1151
ENSG00000049247	35	1.4750	0.1625
ENSG00000049249	69	2.2522	0.2481
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3081	39.2112	4.3188
ENSG00000053371	6810	286.7690	31.5855
ENSG00000053372	2726	72.4518	7.9800
ENSG00000054116	4461	100.9870	11.1230
ENSG00000054118	7185	113.7780	12.5318
ENSG00000054267	5208	35.2753	3.8853
ENSG00000054277	4291	92.4756	10.1855
ENSG00000054282	3778	54.0076	5.9485
ENSG00000054392	201	3.5061	0.3862
ENSG00000054523	2253	9.5494	1.0518
ENSG00000055070	12977	205.0230	22.5818
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3679	39.2367	4.3216
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4312	147.9250	16.2929
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	397	2.4260	0.2672
ENSG00000058668	10681	82.4067	9.0765
ENSG00000058673	8365	64.6801	7.1240
ENSG00000058799	3349	111.0880	12.2356
ENSG00000058804	1926	28.1295	3.0983
ENSG00000059588	2651	25.6738	2.8278
ENSG00000060642	998	22.1215	2.4365
ENSG00000060656	10	0.1119	0.0123
ENSG00000060688	2106	39.3775	4.3372
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2144	26.7131	2.9422
ENSG00000064886	217	4.9448	0.5446
ENSG00000065135	10380	242.8340	26.7464
ENSG00000065183	716	12.9089	1.4218
ENSG00000065243	2315	24.7495	2.7260
ENSG00000065526	16644	93.8999	10.3424
ENSG00000065600	2283	58.7509	6.4710
ENSG00000065978	84033	3265.5300	359.6751
ENSG00000066027	8335	161.8190	17.8232
ENSG00000066056	1636	18.3318	2.0191
ENSG00000066135	925	13.4072	1.4767
ENSG00000066136	5073	63.5554	7.0002
ENSG00000066185	275	9.4128	1.0367
ENSG00000066279	254	1.7474	0.1925
ENSG00000066294	3841	31.1300	3.4287
ENSG00000066322	12669	386.4150	42.5609
ENSG00000066557	1117	29.0576	3.2005
ENSG00000067208	1313	11.9016	1.3109
