gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1196	23.3335	3.2489
ENSG00000000460	718	8.4797	1.1807
ENSG00000000938	3730	79.3907	11.0541
ENSG00000000971	108	0.9979	0.1389
ENSG00000001460	244	2.1458	0.2988
ENSG00000001461	2267	18.0812	2.5176
ENSG00000004455	8638	113.9970	15.8725
ENSG00000004487	11794	258.9420	36.0542
ENSG00000006555	108	1.3346	0.1858
ENSG00000007341	1405	12.9932	1.8091
ENSG00000007908	2	0.0356	0.0050
ENSG00000007923	1686	24.5627	3.4200
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	948	13.0246	1.8135
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3983	63.3181	8.8162
ENSG00000008130	5152	67.3323	9.3751
ENSG00000009307	100195	1305.7500	181.8085
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	26	0.4500	0.0627
ENSG00000009780	862	22.4875	3.1311
ENSG00000009790	4417	42.7322	5.9499
ENSG00000010072	2068	26.2645	3.6570
ENSG00000010165	429	8.3781	1.1665
ENSG00000010803	5881	99.1808	13.8096
ENSG00000010932	14	0.2938	0.0409
ENSG00000011007	8191	113.9500	15.8661
ENSG00000011009	2623	89.5724	12.4718
ENSG00000011021	4185	45.5912	6.3480
ENSG00000014914	25	0.4006	0.0558
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0822	0.0114
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1371	20.9138	2.9120
ENSG00000020633	15775	256.9210	35.7728
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	223	12.8984	1.7959
ENSG00000023902	15504	186.4070	25.9547
ENSG00000023909	821	11.4615	1.5959
ENSG00000024526	49	0.6225	0.0867
ENSG00000025800	14525	141.7150	19.7319
ENSG00000026751	967	15.7604	2.1944
ENSG00000027644	4	0.0588	0.0082
ENSG00000027869	964	28.7779	4.0069
ENSG00000028137	3387	67.4599	9.3929
ENSG00000031698	4388	85.7883	11.9449
ENSG00000033122	6	0.0375	0.0052
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2395	49.0074	6.8236
ENSG00000036549	6085	50.6655	7.0545
ENSG00000037637	4967	41.4614	5.7729
ENSG00000040487	550	15.3444	2.1365
ENSG00000041988	1058	19.4791	2.7122
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1118	27.3097	3.8025
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15083	111.1240	15.4725
ENSG00000048707	5381	19.8358	2.7619
ENSG00000049089	1628	29.4199	4.0963
ENSG00000049239	8998	74.0202	10.3063
ENSG00000049245	14117	383.6240	53.4145
ENSG00000049246	513	5.4153	0.7540
ENSG00000049247	501	21.0684	2.9335
ENSG00000049249	11	0.3770	0.0525
ENSG00000050628	12	0.0932	0.0130
ENSG00000052723	5961	75.8473	10.5607
ENSG00000053371	4319	181.8690	25.3229
ENSG00000053372	1321	35.0989	4.8870
ENSG00000054116	1654	37.4446	5.2137
ENSG00000054118	7108	112.5690	15.6738
ENSG00000054267	26009	176.1660	24.5287
ENSG00000054277	1275	27.4805	3.8263
ENSG00000054282	3634	51.9464	7.2328
ENSG00000054392	970	16.9264	2.3568
ENSG00000054523	3250	13.7775	1.9183
ENSG00000055070	10604	167.5380	23.3274
ENSG00000055732	9	0.1048	0.0146
ENSG00000057252	3665	39.0850	5.4421
ENSG00000057468	79	1.8077	0.2517
ENSG00000057757	4742	162.7030	22.6542
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1411	8.6285	1.2014
ENSG00000058668	17121	132.0920	18.3920
ENSG00000058673	23058	178.2860	24.8239
ENSG00000058799	1746	57.9129	8.0636
ENSG00000058804	2066	30.1780	4.2019
ENSG00000059588	19758	191.3790	26.6470
ENSG00000060642	1257	27.8755	3.8813
ENSG00000060656	2	0.0224	0.0031
ENSG00000060688	1984	37.0917	5.1645
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6608	82.3419	11.4650
ENSG00000064886	187	4.2501	0.5918
ENSG00000065135	11597	271.3050	37.7756
ENSG00000065183	1015	18.2991	2.5479
ENSG00000065243	8145	87.0932	12.1266
ENSG00000065526	38212	215.5800	30.0167
ENSG00000065600	1696	43.6500	6.0777
