gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1254	24.4628	3.1164
ENSG00000000460	1056	12.4619	1.5876
ENSG00000000938	20030	426.2970	54.3079
ENSG00000000971	58	0.5335	0.0680
ENSG00000001460	259	2.2837	0.2909
ENSG00000001461	3018	24.0722	3.0667
ENSG00000004455	6486	85.5963	10.9045
ENSG00000004487	6910	151.7180	19.3280
ENSG00000006555	260	3.2203	0.4103
ENSG00000007341	1499	13.8574	1.7654
ENSG00000007908	2	0.0356	0.0045
ENSG00000007923	2499	36.4133	4.6389
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1518	20.8675	2.6584
ENSG00000008118	1	0.0280	0.0036
ENSG00000008128	3336	53.0244	6.7550
ENSG00000008130	7370	96.3122	12.2697
ENSG00000009307	77064	1004.3100	127.9436
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	35	0.6137	0.0782
ENSG00000009780	1072	27.9499	3.5607
ENSG00000009790	15709	151.9650	19.3595
ENSG00000010072	1847	23.4521	2.9877
ENSG00000010165	792	15.4614	1.9697
ENSG00000010803	6672	112.5210	14.3346
ENSG00000010932	20	0.4197	0.0535
ENSG00000011007	8516	118.4700	15.0924
ENSG00000011009	3370	115.1000	14.6631
ENSG00000011021	4023	43.8286	5.5835
ENSG00000014914	4070	66.4816	8.4694
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2272	34.6612	4.4157
ENSG00000020633	12558	204.5270	26.0557
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	347	20.0400	2.5530
ENSG00000023902	13953	167.7610	21.3719
ENSG00000023909	603	8.4166	1.0722
ENSG00000024526	261	3.3145	0.4223
ENSG00000025800	8570	83.6171	10.6524
ENSG00000026751	1278	20.8117	2.6513
ENSG00000027644	51	0.7483	0.0953
ENSG00000027869	1100	32.8487	4.1847
ENSG00000028137	19932	396.9550	50.5700
ENSG00000031698	7061	138.0460	17.5863
ENSG00000033122	144	0.9011	0.1148
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5658	115.7600	14.7472
ENSG00000036549	6609	55.0273	7.0102
ENSG00000037637	3826	31.9364	4.0685
ENSG00000040487	372	10.3812	1.3225
ENSG00000041988	654	12.0496	1.5350
ENSG00000042781	1	0.0040	0.0005
ENSG00000043514	918	22.4074	2.8546
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22177	163.3900	20.8150
ENSG00000048707	6701	24.7006	3.1467
ENSG00000049089	863	15.5852	1.9855
ENSG00000049239	5277	43.4137	5.5307
ENSG00000049245	15008	407.8170	51.9536
ENSG00000049246	361	3.8115	0.4856
ENSG00000049247	144	6.0516	0.7710
ENSG00000049249	64	2.1007	0.2676
ENSG00000050628	9	0.0699	0.0089
ENSG00000052723	6089	77.4773	9.8702
ENSG00000053371	3251	136.8880	17.4388
ENSG00000053372	1193	31.6953	4.0378
ENSG00000054116	2054	46.4899	5.9226
ENSG00000054118	5651	89.4970	11.4014
ENSG00000054267	17276	117.0170	14.9074
ENSG00000054277	2624	56.5560	7.2049
ENSG00000054282	3448	49.2910	6.2794
ENSG00000054392	340	5.9327	0.7558
ENSG00000054523	1763	7.4751	0.9523
ENSG00000055070	10617	167.7380	21.3689
ENSG00000055732	28	0.3136	0.0399
ENSG00000057252	3554	37.8978	4.8280
ENSG00000057468	16	0.3735	0.0476
ENSG00000057757	4422	151.7190	19.3281
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1148	7.0204	0.8944
ENSG00000058668	13343	102.9480	13.1151
ENSG00000058673	20548	158.8730	20.2395
ENSG00000058799	2054	68.1283	8.6792
ENSG00000058804	2051	29.9550	3.8161
ENSG00000059588	9423	91.2688	11.6272
ENSG00000060642	978	21.6946	2.7638
ENSG00000060656	7	0.0778	0.0099
ENSG00000060688	2138	39.9808	5.0933
ENSG00000060718	0	0.0000	0.0000
