gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	689	13.4443	1.4769
ENSG00000000460	1046	12.3451	1.3562
ENSG00000000938	33472	712.3830	78.2591
ENSG00000000971	17	0.1566	0.0172
ENSG00000001460	228	2.0066	0.2204
ENSG00000001461	1182	9.4250	1.0354
ENSG00000004455	11129	146.8740	16.1349
ENSG00000004487	8058	176.9070	19.4342
ENSG00000006555	45	0.5552	0.0610
ENSG00000007341	1452	13.4265	1.4750
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2859	41.6654	4.5772
ENSG00000007933	4	0.0866	0.0095
ENSG00000007968	1855	25.4915	2.8004
ENSG00000008118	18	0.5045	0.0554
ENSG00000008128	2481	39.4404	4.3327
ENSG00000008130	8746	114.3000	12.5564
ENSG00000009307	79388	1034.6000	113.6560
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0078
ENSG00000009780	1040	27.1280	2.9802
ENSG00000009790	7739	74.8692	8.2248
ENSG00000010072	1396	17.7249	1.9472
ENSG00000010165	932	18.1957	1.9989
ENSG00000010803	6805	114.7720	12.6083
ENSG00000010932	4	0.0839	0.0092
ENSG00000011007	5840	81.2502	8.9258
ENSG00000011009	3725	127.2330	13.9772
ENSG00000011021	3476	37.8745	4.1607
ENSG00000014914	10474	171.1080	18.7971
ENSG00000016490	1	0.0275	0.0030
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2125	32.4206	3.5616
ENSG00000020633	2126	34.6185	3.8030
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	584	33.7013	3.7023
ENSG00000023902	14945	179.6870	19.7396
ENSG00000023909	502	7.0091	0.7700
ENSG00000024526	697	8.8601	0.9733
ENSG00000025800	7833	76.4260	8.3958
ENSG00000026751	375	6.1088	0.6711
ENSG00000027644	17	0.2550	0.0280
ENSG00000027869	230	6.8651	0.7542
ENSG00000028137	24573	489.3620	53.7591
ENSG00000031698	9416	184.0900	20.2233
ENSG00000033122	10	0.0624	0.0069
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	7618	155.8540	17.1214
ENSG00000036549	5109	42.5337	4.6726
ENSG00000037637	2822	23.5551	2.5877
ENSG00000040487	784	21.9017	2.4060
ENSG00000041988	582	10.7210	1.1778
ENSG00000042781	2	0.0063	0.0007
ENSG00000043514	1335	32.6057	3.5819
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11481	84.5837	9.2920
ENSG00000048707	3611	13.3103	1.4622
ENSG00000049089	1555	28.0944	3.0863
ENSG00000049239	6319	51.9797	5.7102
ENSG00000049245	23345	634.3800	69.6901
ENSG00000049246	610	6.4424	0.7077
ENSG00000049247	41	1.7420	0.1914
ENSG00000049249	58	1.8910	0.2077
ENSG00000050628	34	0.2641	0.0290
ENSG00000052723	4866	61.9145	6.8016
ENSG00000053371	4507	189.7810	20.8485
ENSG00000053372	2551	67.7966	7.4478
ENSG00000054116	2764	62.5675	6.8734
ENSG00000054118	5295	83.8543	9.2118
ENSG00000054267	11200	75.8610	8.3337
ENSG00000054277	4435	95.5770	10.4996
ENSG00000054282	4322	61.7812	6.7870
ENSG00000054392	333	5.8129	0.6386
ENSG00000054523	3352	14.2082	1.5608
ENSG00000055070	11528	182.1290	20.0079
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6706	71.5107	7.8558
ENSG00000057468	53	1.2122	0.1332
ENSG00000057757	5054	173.4140	19.0505
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	286	1.7486	0.1921
ENSG00000058668	8366	64.5480	7.0909
ENSG00000058673	17666	136.5910	15.0053
ENSG00000058799	2661	88.2835	9.6984
ENSG00000058804	3303	48.2352	5.2989
ENSG00000059588	7061	68.3958	7.5137
ENSG00000060642	772	17.1192	1.8806
ENSG00000060656	22	0.2463	0.0271
ENSG00000060688	2824	52.7983	5.8002
ENSG00000060718	0	0.0011	0.0001
ENSG00000064703	4589	57.1867	6.2823
ENSG00000064886	104	2.3605	0.2593
ENSG00000065135	18686	437.1380	48.0220
ENSG00000065183	1389	25.0531	2.7522
ENSG00000065243	6506	69.5660	7.6422
ENSG00000065526	19388	109.3780	12.0158
ENSG00000065600	2463	63.4019	6.9650
ENSG00000065978	87491	3399.8900	373.4967
ENSG00000066027	10827	210.2030	23.0919
ENSG00000066056	2239	25.0828	2.7555
ENSG00000066135	945	13.7106	1.5062
ENSG00000066136	5724	71.7035	7.8770
ENSG00000066185	163	5.5526	0.6100
ENSG00000066279	2025	13.9481	1.5323
ENSG00000066294	7959	64.4944	7.0851
ENSG00000066322	9421	287.3490	31.5668
ENSG00000066557	2707	70.3936	7.7331
ENSG00000067208	2318	21.0160	2.3087
ENSG00000067334	20189	252.1570	27.7008
ENSG00000067533	1496	14.2327	1.5635
ENSG00000067606	113	1.1117	0.1221
ENSG00000067704	12209	220.0010	24.1683
ENSG00000069248	4163	61.7338	6.7818
ENSG00000069275	13092	150.0020	16.4785
ENSG00000069424	29917	276.1250	30.3339
ENSG00000069702	336	2.9097	0.3197
ENSG00000069712	219	3.5479	0.3898
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1826	39.5876	4.3489
ENSG00000070785	1771	43.6448	4.7946
ENSG00000070831	37825	817.5480	89.8120
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	3736	40.0466	4.3993
ENSG00000073754	6	0.1832	0.0201
ENSG00000073756	11567	164.6530	18.0881
ENSG00000074800	178314	3264.2200	358.5926
ENSG00000074964	3254	31.1039	3.4169
ENSG00000075151	10760	95.7369	10.5172
ENSG00000075391	1116	7.0826	0.7781
ENSG00000075945	1189	17.7820	1.9535
ENSG00000076258	243	7.2535	0.7968
ENSG00000076321	1147	20.2172	2.2210
ENSG00000076356	453	2.4675	0.2711
ENSG00000076864	532	6.2910	0.6911
ENSG00000077152	1229	86.5662	9.5098
ENSG00000077157	1603	8.3470	0.9170
ENSG00000077254	7048	76.4114	8.3942
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	30979	667.6540	73.3454
ENSG00000077585	755	24.8530	2.7302
ENSG00000078369	40904	499.9660	54.9240
ENSG00000078618	22079	250.1810	27.4837
ENSG00000078808	11347	181.1900	19.9047
ENSG00000078900	2	0.0270	0.0030
ENSG00000079277	7090	65.9736	7.2476
ENSG00000079335	3096	40.5327	4.4527
ENSG00000079739	1470	26.4748	2.9084
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	120	1.3257	0.1456
ENSG00000081019	3445	37.8866	4.1620
ENSG00000081026	29	0.2659	0.0292
ENSG00000081237	73761	650.2990	71.4389
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	6	0.0725	0.0080
ENSG00000081692	843	14.6586	1.6103
ENSG00000081721	3077	130.9650	14.3872
ENSG00000081870	2797	76.0337	8.3527
ENSG00000081985	12	0.2126	0.0234
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	7	0.0999	0.0110
ENSG00000082512	4783	39.7628	4.3682
ENSG00000083444	8264	116.3520	12.7819
ENSG00000084070	34434	782.8180	85.9967
ENSG00000084072	3401	31.6023	3.4717
ENSG00000084073	3473	72.9258	8.0113
ENSG00000084623	30071	1307.4400	143.6291
ENSG00000084628	5	0.1255	0.0138
ENSG00000084636	4	0.0341	0.0038
ENSG00000084652	2925	42.9914	4.7228
ENSG00000085433	2784	46.0287	5.0565
ENSG00000085465	199	4.9896	0.5481
ENSG00000085491	10423	119.3830	13.1149
ENSG00000085552	103	1.1669	0.1282
ENSG00000085831	43	0.3460	0.0380
ENSG00000085832	15727	156.2110	17.1607
ENSG00000085840	2268	53.8806	5.9191
ENSG00000085998	1735	20.4436	2.2458
ENSG00000085999	742	17.3166	1.9023
ENSG00000086015	1886	15.9349	1.7505
