gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1265	24.6764	2.5133
ENSG00000000460	1374	16.2227	1.6523
ENSG00000000938	9578	203.8410	20.7611
ENSG00000000971	34	0.3119	0.0318
ENSG00000001460	353	3.1083	0.3166
ENSG00000001461	3760	29.9894	3.0544
ENSG00000004455	8644	114.0810	11.6190
ENSG00000004487	16826	369.4130	37.6245
ENSG00000006555	116	1.4418	0.1468
ENSG00000007341	2664	24.6375	2.5093
ENSG00000007908	7	0.1209	0.0123
ENSG00000007923	3936	57.3474	5.8408
ENSG00000007933	0	0.0032	0.0003
ENSG00000007968	2664	36.6078	3.7285
ENSG00000008118	12	0.3487	0.0355
ENSG00000008128	6433	102.2640	10.4156
ENSG00000008130	9264	121.0650	12.3304
ENSG00000009307	100186	1305.6400	132.9785
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1559	27.5072	2.8016
ENSG00000009780	909	23.7159	2.4155
ENSG00000009790	6303	60.9702	6.2098
ENSG00000010072	5008	63.5930	6.4769
ENSG00000010165	1498	29.2378	2.9779
ENSG00000010803	14511	244.7330	24.9259
ENSG00000010932	22	0.4591	0.0468
ENSG00000011007	11857	164.9610	16.8012
ENSG00000011009	3084	105.3240	10.7272
ENSG00000011021	5275	57.4723	5.8535
ENSG00000014914	389	6.3592	0.6477
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0055	0.0006
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3423	52.2068	5.3172
ENSG00000020633	10572	172.1800	17.5365
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	298	17.1963	1.7514
ENSG00000023902	12386	148.9190	15.1673
ENSG00000023909	514	7.1747	0.7307
ENSG00000024526	76	0.9654	0.0983
ENSG00000025800	15861	154.7560	15.7618
ENSG00000026751	284	4.6262	0.4712
ENSG00000027644	198	2.9071	0.2961
ENSG00000027869	1210	36.1282	3.6796
ENSG00000028137	5442	108.3700	11.0374
