gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2666	52.0099	4.7864
ENSG00000000460	4275	50.4649	4.6443
ENSG00000000938	24458	520.5360	47.9047
ENSG00000000971	186	1.7150	0.1578
ENSG00000001460	1240	10.9260	1.0055
ENSG00000001461	8005	63.8463	5.8758
ENSG00000004455	20712	273.3440	25.1557
ENSG00000004487	16740	367.5310	33.8238
ENSG00000006555	38	0.4707	0.0433
ENSG00000007341	3504	32.3970	2.9815
ENSG00000007908	5	0.0870	0.0080
ENSG00000007923	8143	118.6590	10.9202
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	6858	94.2615	8.6748
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6303	100.1950	9.2209
ENSG00000008130	11939	156.0260	14.3590
ENSG00000009307	73459	957.3330	88.1029
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1021	18.0188	1.6583
ENSG00000009780	927	24.1787	2.2251
ENSG00000009790	16390	158.5530	14.5916
ENSG00000010072	2135	27.1068	2.4946
ENSG00000010165	7944	155.0280	14.2672
ENSG00000010803	12976	218.8370	20.1395
ENSG00000010932	15	0.3095	0.0285
ENSG00000011007	8542	118.8300	10.9359
ENSG00000011009	4894	167.1500	15.3827
ENSG00000011021	7570	82.4701	7.5897
ENSG00000014914	318	5.2002	0.4786
ENSG00000016490	2	0.0449	0.0041
ENSG00000016602	6	0.1280	0.0118
ENSG00000018625	2	0.0184	0.0017
ENSG00000020129	5584	85.1804	7.8391
ENSG00000020633	12577	204.8300	18.8504
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	824	47.5989	4.3805
ENSG00000023902	16488	198.2380	18.2438
ENSG00000023909	1741	24.3026	2.2366
ENSG00000024526	565	7.1784	0.6606
ENSG00000025800	15257	148.8600	13.6995
ENSG00000026751	462	7.5274	0.6927
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	188	5.6254	0.5177
ENSG00000028137	22513	448.3470	41.2612
ENSG00000031698	10330	201.9670	18.5869
ENSG00000033122	82	0.5118	0.0471
ENSG00000034971	4	0.1440	0.0133
ENSG00000035687	5856	119.7950	11.0247
ENSG00000036549	5148	42.8646	3.9448
ENSG00000037637	8488	70.8552	6.5208
ENSG00000040487	2709	75.6381	6.9609
ENSG00000041988	5436	100.1260	9.2146
ENSG00000042781	8	0.0291	0.0027
ENSG00000043514	1598	39.0348	3.5924
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14336	105.6210	9.7203
ENSG00000048707	16481	60.7529	5.5911
ENSG00000049089	1746	31.5466	2.9032
ENSG00000049239	18413	151.4710	13.9398
ENSG00000049245	11542	313.6520	28.8652
ENSG00000049246	164	1.7335	0.1595
ENSG00000049247	35	1.4790	0.1361
ENSG00000049249	89	2.9269	0.2693
ENSG00000050628	5	0.0350	0.0032
ENSG00000052723	3660	46.5672	4.2856
ENSG00000053371	6490	273.3170	25.1532
ENSG00000053372	4430	117.7310	10.8347
ENSG00000054116	7095	160.6080	14.7806
ENSG00000054118	25548	404.5890	37.2342
ENSG00000054267	13374	90.5825	8.3363
ENSG00000054277	3191	68.7779	6.3296
ENSG00000054282	7163	102.3880	9.4227
ENSG00000054392	2062	36.0028	3.3133
ENSG00000054523	11869	50.3139	4.6304
ENSG00000055070	21663	342.2580	31.4979
ENSG00000055732	4	0.0453	0.0042
ENSG00000057252	5093	54.3118	4.9983
ENSG00000057468	27	0.6206	0.0571
ENSG00000057757	7915	271.5650	24.9920
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2183	13.3475	1.2284
ENSG00000058668	42230	325.8150	29.9846
ENSG00000058673	24539	189.7360	17.4613
ENSG00000058799	3794	125.8360	11.5807
ENSG00000058804	4314	63.0021	5.7981
ENSG00000059588	20212	195.7730	18.0169
ENSG00000060642	4668	103.5220	9.5271
ENSG00000060656	10	0.1175	0.0108
ENSG00000060688	4479	83.7524	7.7077
ENSG00000060718	1	0.0133	0.0012
ENSG00000064703	2987	37.2160	3.4250
ENSG00000064886	153	3.4819	0.3204
ENSG00000065135	9889	231.3290	21.2891
ENSG00000065183	2956	53.3135	4.9064
ENSG00000065243	4445	47.5291	4.3741
ENSG00000065526	45542	256.9330	23.6454
ENSG00000065600	5743	147.8140	13.6033
ENSG00000065978	63360	2462.1700	226.5920
ENSG00000066027	8768	170.2250	15.6657
ENSG00000066056	5746	64.3771	5.9246
ENSG00000066135	14485	210.0540	19.3312
ENSG00000066136	7337	91.9175	8.4591
ENSG00000066185	215	7.3581	0.6772
ENSG00000066279	2336	16.0897	1.4807
ENSG00000066294	36149	292.9450	26.9596
ENSG00000066322	11595	353.6450	32.5458
ENSG00000066557	1551	40.3291	3.7115
ENSG00000067208	1334	12.0985	1.1134
ENSG00000067334	5798	72.4120	6.6640
ENSG00000067533	1315	12.5095	1.1512
ENSG00000067606	354	3.4773	0.3200
ENSG00000067704	9283	167.2790	15.3946
ENSG00000069248	4425	65.6338	6.0403
ENSG00000069275	22052	252.6570	23.2519
ENSG00000069424	73642	679.6900	62.5515
ENSG00000069702	132	1.1407	0.1050
ENSG00000069712	366	5.9375	0.5464
ENSG00000069812	84	1.1652	0.1072
ENSG00000070759	3110	67.4104	6.2038
ENSG00000070785	1894	46.6885	4.2967
ENSG00000070831	33596	726.1330	66.8257
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	648	6.9488	0.6395
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	5401	76.8789	7.0751
ENSG00000074800	209243	3830.4200	352.5123
ENSG00000074964	1294	12.3637	1.1378
ENSG00000075151	22775	202.6480	18.6496
ENSG00000075391	269	1.7073	0.1571
ENSG00000075945	2429	36.3317	3.3436
ENSG00000076258	624	18.5956	1.7113
ENSG00000076321	1831	32.2896	2.9716
ENSG00000076356	695	3.7823	0.3481
ENSG00000076864	862	10.1941	0.9382
ENSG00000077152	1934	136.1920	12.5336
ENSG00000077157	7574	39.4496	3.6305
ENSG00000077254	7584	82.2180	7.5665
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	36771	792.4840	72.9320
ENSG00000077585	540	17.7547	1.6340
ENSG00000078369	62568	764.7650	70.3810
ENSG00000078618	25887	293.3260	26.9947
ENSG00000078808	17472	278.9940	25.6757
ENSG00000078900	239	3.2310	0.2973
ENSG00000079277	6808	63.3489	5.8300
ENSG00000079335	3374	44.1733	4.0652
ENSG00000079739	5432	97.8307	9.0033
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1100	12.1049	1.1140
ENSG00000081019	5361	58.9589	5.4260
ENSG00000081026	76	0.6969	0.0641
ENSG00000081237	31280	275.7770	25.3796
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1947	33.8410	3.1144
ENSG00000081721	3228	137.4210	12.6468
ENSG00000081870	3171	86.1925	7.9322
ENSG00000081985	79	1.4047	0.1293
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	6822	56.7106	5.2191
ENSG00000083444	8065	113.5480	10.4498
ENSG00000084070	31445	714.8700	65.7892
ENSG00000084072	4167	38.7238	3.5637
ENSG00000084073	2146	45.0487	4.1458
ENSG00000084623	24128	1049.0600	96.5447
ENSG00000084628	10	0.2511	0.0231
ENSG00000084636	7	0.0552	0.0051
ENSG00000084652	15714	230.9460	21.2539
ENSG00000085433	1878	31.0569	2.8582
ENSG00000085465	276	6.9287	0.6376
ENSG00000085491	4783	54.7873	5.0420
ENSG00000085552	56	0.6381	0.0587
ENSG00000085831	145	1.1650	0.1072
ENSG00000085832	12098	120.1610	11.0584
ENSG00000085840	5341	126.8960	11.6782
ENSG00000085998	4280	50.4196	4.6401
ENSG00000085999	3610	84.3026	7.7583
ENSG00000086015	5446	46.0163	4.2349
ENSG00000086619	1694	22.3393	2.0559
ENSG00000088035	1650	25.0241	2.3029
ENSG00000088280	33	0.5059	0.0466
ENSG00000090020	5358	67.2534	6.1893
ENSG00000090104	1146	20.8720	1.9208
ENSG00000090273	11841	310.8410	28.6066
ENSG00000090432	2701	83.1560	7.6528
ENSG00000090621	37700	416.9120	38.3682
ENSG00000090686	14688	115.9920	10.6747
ENSG00000091483	4970	174.0070	16.0138
ENSG00000092607	3	0.0497	0.0046
ENSG00000092621	72	0.9602	0.0884
ENSG00000092847	29405	171.1440	15.7503
ENSG00000092850	102	3.8539	0.3547
ENSG00000092853	3186	44.1632	4.0643
ENSG00000092969	13	0.1893	0.0174
ENSG00000092978	1203	10.2086	0.9395
ENSG00000094963	2	0.0240	0.0022
ENSG00000094975	7057	81.8370	7.5314
ENSG00000097021	2001	30.7068	2.8259
ENSG00000097033	12953	145.4900	13.3894
ENSG00000097046	1649	34.3645	3.1626
ENSG00000097096	15	0.1744	0.0160
ENSG00000099260	22	0.2845	0.0262
ENSG00000107404	3192	68.6750	6.3201
ENSG00000116128	106	1.2378	0.1139
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	6557	110.7410	10.1915
ENSG00000116138	4309	37.7369	3.4729
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	39	0.5462	0.0503
ENSG00000116151	807	11.5664	1.0645
ENSG00000116157	7682	340.7270	31.3569
ENSG00000116161	6866	114.1810	10.5080
ENSG00000116171	5875	53.0566	4.8828
ENSG00000116183	2	0.0137	0.0013
ENSG00000116191	3460	34.9647	3.2178
ENSG00000116194	149	3.2632	0.3003
ENSG00000116198	8804	83.8404	7.7158
ENSG00000116199	9909	123.0670	11.3258
ENSG00000116205	3362	43.2842	3.9834
ENSG00000116209	18477	333.4480	30.6870
ENSG00000116212	1697	52.7860	4.8579
ENSG00000116213	5025	49.5579	4.5608
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	1	0.0372	0.0034
ENSG00000116221	11014	374.7990	34.4926
ENSG00000116237	4758	72.6693	6.6877
ENSG00000116251	36902	564.8330	51.9814
ENSG00000116254	1452	11.0144	1.0136
ENSG00000116260	21914	176.5200	16.2451
ENSG00000116266	5468	69.5707	6.4026
ENSG00000116273	1445	29.4518	2.7104
ENSG00000116285	43	0.7723	0.0711
ENSG00000116288	16390	512.8170	47.1943
ENSG00000116299	52	0.4158	0.0383
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	25127	275.9970	25.3999
ENSG00000116350	12944	305.4790	28.1131
ENSG00000116353	1946	36.8154	3.3881
ENSG00000116396	943	7.5698	0.6966
ENSG00000116406	6430	64.0277	5.8924
ENSG00000116455	4064	108.6580	9.9997
ENSG00000116459	16457	364.8360	33.5757
ENSG00000116473	9031	118.1450	10.8728
ENSG00000116478	17735	331.7760	30.5332
ENSG00000116489	10092	183.2720	16.8664
ENSG00000116497	13933	113.7100	10.4647
ENSG00000116514	4873	140.0250	12.8864
ENSG00000116521	8686	266.7550	24.5494
ENSG00000116525	982	18.5444	1.7066
ENSG00000116539	16978	95.7668	8.8134
ENSG00000116544	131	2.4715	0.2274
ENSG00000116560	71590	723.0390	66.5409
ENSG00000116574	1901	32.6176	3.0018
ENSG00000116580	14275	88.0603	8.1041
ENSG00000116584	53609	542.3120	49.9087
ENSG00000116586	8503	443.4600	40.8114
ENSG00000116604	42027	492.5090	45.3254
