gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1583	30.8923	3.8615
ENSG00000000460	911	10.7502	1.3438
ENSG00000000938	2328	49.5454	6.1931
ENSG00000000971	126	1.1593	0.1449
ENSG00000001460	597	5.2625	0.6578
ENSG00000001461	2600	20.7332	2.5916
ENSG00000004455	6938	91.5622	11.4452
ENSG00000004487	12121	266.1170	33.2643
ENSG00000006555	2	0.0306	0.0038
ENSG00000007341	1105	10.2204	1.2775
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2721	39.6443	4.9555
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1377	18.9287	2.3661
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4485	71.2993	8.9123
ENSG00000008130	4145	54.1702	6.7712
ENSG00000009307	129927	1693.2200	211.6513
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	651	11.4787	1.4348
ENSG00000009780	753	19.6276	2.4534
ENSG00000009790	3409	32.9821	4.1227
ENSG00000010072	2743	34.8307	4.3538
ENSG00000010165	1960	38.2600	4.7825
ENSG00000010803	8414	141.9130	17.7390
ENSG00000010932	24	0.5129	0.0641
ENSG00000011007	10558	146.8820	18.3602
ENSG00000011009	3806	129.9960	16.2494
ENSG00000011021	6192	67.4641	8.4330
ENSG00000014914	75	1.2204	0.1526
ENSG00000016490	4	0.0898	0.0112
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1101	16.7942	2.0993
ENSG00000020633	15074	245.5090	30.6884
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	154	8.8992	1.1124
ENSG00000023902	16605	199.6400	24.9548
ENSG00000023909	55	0.7667	0.0958
ENSG00000024526	55	0.6975	0.0872
ENSG00000025800	18267	178.2270	22.2782
ENSG00000026751	128	2.0821	0.2603
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	630	18.8002	2.3500
ENSG00000028137	9519	189.5740	23.6966
ENSG00000031698	4262	83.3201	10.4149
ENSG00000033122	62	0.3861	0.0483
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1908	39.0423	4.8803
ENSG00000036549	4071	33.8934	4.2367
ENSG00000037637	8650	72.2126	9.0265
ENSG00000040487	933	26.0410	3.2551
ENSG00000041988	2704	49.7947	6.2243
ENSG00000042781	4	0.0146	0.0018
ENSG00000043514	1449	35.3797	4.4224
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11386	83.8860	10.4857
ENSG00000048707	10154	37.4295	4.6787
ENSG00000049089	1613	29.1436	3.6429
ENSG00000049239	4387	36.0906	4.5113
ENSG00000049245	9950	270.3780	33.7970
ENSG00000049246	100	1.0569	0.1321
ENSG00000049247	308	12.9473	1.6184
ENSG00000049249	70	2.2885	0.2861
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	5382	68.4869	8.5608
ENSG00000053371	4507	189.7830	23.7227
ENSG00000053372	2315	61.5291	7.6911
ENSG00000054116	5207	117.8800	14.7349
ENSG00000054118	13806	218.6370	27.3295
ENSG00000054267	15400	104.3080	13.0383
ENSG00000054277	555	11.9684	1.4960
ENSG00000054282	3276	46.8201	5.8525
ENSG00000054392	792	13.8301	1.7288
ENSG00000054523	2152	9.1203	1.1400
ENSG00000055070	30231	477.6310	59.7035
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2503	26.6960	3.3370
ENSG00000057468	20	0.4535	0.0567
ENSG00000057757	7677	263.4090	32.9259
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	469	2.8658	0.3582
ENSG00000058668	13066	100.8110	12.6013
ENSG00000058673	19390	149.9190	18.7397
ENSG00000058799	2071	68.7085	8.5885
ENSG00000058804	1688	24.6491	3.0811
ENSG00000059588	9560	92.6034	11.5753
ENSG00000060642	1524	33.7904	4.2238
ENSG00000060656	8	0.0894	0.0112
ENSG00000060688	4693	87.7539	10.9692
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2753	34.2989	4.2873
ENSG00000064886	42	0.9566	0.1196
ENSG00000065135	5769	134.9470	16.8682
ENSG00000065183	1142	20.5891	2.5736
ENSG00000065243	5977	63.9115	7.9889
ENSG00000065526	38145	215.1980	26.8996
ENSG00000065600	4969	127.8960	15.9869
ENSG00000065978	88146	3425.3700	428.1676
ENSG00000066027	5840	113.3890	14.1735
ENSG00000066056	4102	45.9633	5.7454
ENSG00000066135	12276	178.0160	22.2518
ENSG00000066136	4090	51.2302	6.4037
ENSG00000066185	52	1.7927	0.2241
ENSG00000066279	344	2.3681	0.2960
