gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	217	4.2388	1.1172
ENSG00000000460	453	5.3527	1.4108
ENSG00000000938	7394	157.3540	41.4737
ENSG00000000971	24	0.2210	0.0583
ENSG00000001460	163	1.4394	0.3794
ENSG00000001461	768	6.1221	1.6136
ENSG00000004455	4247	56.0517	14.7735
ENSG00000004487	4664	102.4020	26.9901
ENSG00000006555	58	0.7154	0.1886
ENSG00000007341	824	7.6159	2.0073
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	900	13.1140	3.4564
ENSG00000007933	12	0.2599	0.0685
ENSG00000007968	3812	52.3949	13.8097
ENSG00000008118	32	0.8845	0.2331
ENSG00000008128	1830	29.0928	7.6680
ENSG00000008130	4024	52.5816	13.8589
ENSG00000009307	23252	303.0190	79.8665
ENSG00000009709	78	0.9267	0.2442
ENSG00000009724	49	0.8659	0.2282
ENSG00000009780	343	8.9332	2.3545
ENSG00000009790	983	9.5118	2.5070
ENSG00000010072	1140	14.4821	3.8170
ENSG00000010165	204	3.9722	1.0469
ENSG00000010803	3207	54.0926	14.2571
ENSG00000010932	15	0.3148	0.0830
ENSG00000011007	3675	51.1250	13.4750
ENSG00000011009	1970	67.2883	17.7351
ENSG00000011021	1351	14.7207	3.8799
ENSG00000014914	25	0.4082	0.1076
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1120	17.0872	4.5037
ENSG00000020633	8046	131.0410	34.5383
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	97	5.5858	1.4723
ENSG00000023902	2429	29.2071	7.6981
ENSG00000023909	715	9.9780	2.6299
ENSG00000024526	338	4.2915	1.1311
ENSG00000025800	3706	36.1575	9.5300
ENSG00000026751	223	3.6318	0.9573
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	399	11.9164	3.1408
ENSG00000028137	5591	111.3370	29.3449
ENSG00000031698	2373	46.3991	12.2294
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1664	34.0344	8.9704
ENSG00000036549	1439	11.9846	3.1588
ENSG00000037637	1884	15.7252	4.1447
ENSG00000040487	403	11.2647	2.9691
ENSG00000041988	365	6.7195	1.7711
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	312	7.6307	2.0112
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6878	50.6749	13.3563
ENSG00000048707	3166	11.6723	3.0764
ENSG00000049089	287	5.1942	1.3690
ENSG00000049239	9491	78.0738	20.5778
ENSG00000049245	5397	146.6570	38.6542
ENSG00000049246	141	1.4907	0.3929
ENSG00000049247	25	1.0348	0.2727
ENSG00000049249	145	4.7776	1.2592
ENSG00000050628	1	0.0078	0.0020
ENSG00000052723	2150	27.3633	7.2121
ENSG00000053371	1970	82.9775	21.8703
ENSG00000053372	1451	38.5563	10.1623
ENSG00000054116	760	17.2077	4.5354
ENSG00000054118	2362	37.4060	9.8591
ENSG00000054267	4990	33.7954	8.9074
ENSG00000054277	1110	23.9132	6.3028
ENSG00000054282	873	12.4854	3.2908
ENSG00000054392	129	2.2595	0.5956
ENSG00000054523	4489	19.0280	5.0152
ENSG00000055070	5146	81.3025	21.4288
ENSG00000055732	26	0.2944	0.0776
ENSG00000057252	1421	15.1587	3.9954
ENSG00000057468	8	0.1837	0.0484
ENSG00000057757	1348	46.2470	12.1893
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	390	2.3871	0.6292
ENSG00000058668	9456	72.9526	19.2281
ENSG00000058673	7314	56.5514	14.9052
ENSG00000058799	793	26.2941	6.9303
ENSG00000058804	2472	36.1083	9.5170
ENSG00000059588	3150	30.5072	8.0407
ENSG00000060642	228	5.0639	1.3347
ENSG00000060656	23	0.2575	0.0679
ENSG00000060688	1374	25.6923	6.7717
ENSG00000060718	16	0.1452	0.0383
ENSG00000064703	1133	14.1151	3.7203
ENSG00000064886	143	3.2519	0.8571
ENSG00000065135	6809	159.2980	41.9859
ENSG00000065183	415	7.4833	1.9723
ENSG00000065243	2672	28.5666	7.5293
ENSG00000065526	20006	112.8660	29.7481
ENSG00000065600	359	9.2419	2.4359
ENSG00000065978	28692	1114.9700	293.8728
ENSG00000066027	4814	93.4706	24.6360
ENSG00000066056	122	1.3705	0.3612
