gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	699	13.6454	1.6859
ENSG00000000460	380	4.4891	0.5546
ENSG00000000938	15039	320.0620	39.5437
ENSG00000000971	6	0.0553	0.0068
ENSG00000001460	102	0.8971	0.1108
ENSG00000001461	458	3.6497	0.4509
ENSG00000004455	3578	47.2259	5.8348
ENSG00000004487	6573	144.3180	17.8305
ENSG00000006555	31	0.3840	0.0474
ENSG00000007341	890	8.2331	1.0172
ENSG00000007908	2	0.0356	0.0044
ENSG00000007923	1299	18.9337	2.3393
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1447	19.8919	2.4576
ENSG00000008118	8	0.2242	0.0277
ENSG00000008128	4812	76.4992	9.4515
ENSG00000008130	5048	65.9702	8.1506
ENSG00000009307	95686	1246.9900	154.0654
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	7	0.1244	0.0154
ENSG00000009780	812	21.1836	2.6172
ENSG00000009790	4186	40.4944	5.0031
ENSG00000010072	2969	37.6998	4.6578
ENSG00000010165	323	6.2946	0.7777
ENSG00000010803	5450	91.9211	11.3568
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	11254	156.5650	19.3435
ENSG00000011009	2162	73.8415	9.1231
ENSG00000011021	6136	66.8552	8.2599
ENSG00000014914	2827	46.1904	5.7068
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0357	0.0044
ENSG00000020129	579	8.8385	1.0920
ENSG00000020633	3458	56.3140	6.9576
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	389	22.4442	2.7730
ENSG00000023902	19128	229.9750	28.4133
ENSG00000023909	433	6.0398	0.7462
ENSG00000024526	134	1.7056	0.2107
ENSG00000025800	10502	102.4680	12.6599
ENSG00000026751	290	4.7215	0.5833
ENSG00000027644	26	0.3782	0.0467
ENSG00000027869	211	6.3026	0.7787
ENSG00000028137	34583	688.7130	85.0903
ENSG00000031698	6528	127.6420	15.7701
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2267	46.3857	5.7309
ENSG00000036549	4803	39.9871	4.9404
ENSG00000037637	4189	34.9709	4.3207
ENSG00000040487	468	13.0674	1.6145
ENSG00000041988	560	10.3148	1.2744
ENSG00000042781	2	0.0073	0.0009
ENSG00000043514	706	17.2429	2.1304
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12348	90.9718	11.2396
ENSG00000048707	3506	12.9241	1.5968
ENSG00000049089	1134	20.4804	2.5303
ENSG00000049239	2184	17.9640	2.2195
ENSG00000049245	19509	530.1290	65.4974
ENSG00000049246	144	1.5151	0.1872
ENSG00000049247	26	1.1139	0.1376
ENSG00000049249	27	0.9024	0.1115
ENSG00000050628	2	0.0155	0.0019
ENSG00000052723	4125	52.4852	6.4845
ENSG00000053371	3048	128.3540	15.8581
ENSG00000053372	993	26.3855	3.2599
ENSG00000054116	1290	29.2140	3.6094
ENSG00000054118	8572	135.7400	16.7707
ENSG00000054267	19067	129.1440	15.9557
ENSG00000054277	1716	36.9931	4.5705
ENSG00000054282	2127	30.4071	3.7568
ENSG00000054392	154	2.6888	0.3322
ENSG00000054523	2429	10.2974	1.2722
ENSG00000055070	13585	214.6360	26.5183
ENSG00000055732	1	0.0113	0.0014
ENSG00000057252	12453	132.7980	16.4071
ENSG00000057468	2	0.0459	0.0057
ENSG00000057757	4555	156.2680	19.3068
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	267	1.6357	0.2021
ENSG00000058668	1547	11.9349	1.4746
ENSG00000058673	20581	159.1280	19.6603
ENSG00000058799	1603	53.1760	6.5699
ENSG00000058804	1325	19.3542	2.3912
ENSG00000059588	6572	63.6527	7.8643
ENSG00000060642	485	10.7564	1.3289
ENSG00000060656	16	0.1755	0.0217
ENSG00000060688	2928	54.7557	6.7650
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5980	74.5197	9.2069
ENSG00000064886	57	1.2983	0.1604
ENSG00000065135	12924	302.3280	37.3526
ENSG00000065183	673	12.1318	1.4989
ENSG00000065243	9380	100.3010	12.3921
ENSG00000065526	37301	210.4370	25.9994
ENSG00000065600	1618	41.6445	5.1452
ENSG00000065978	88108	3423.8800	423.0192
ENSG00000066027	9135	177.3500	21.9115
ENSG00000066056	1655	18.5394	2.2905
ENSG00000066135	1115	16.1703	1.9978
ENSG00000066136	2923	36.6208	4.5245
ENSG00000066185	59	2.0123	0.2486
ENSG00000066279	769	5.2992	0.6547
ENSG00000066294	4529	36.7026	4.5346
ENSG00000066322	6392	194.9480	24.0857
ENSG00000066557	4357	113.3020	13.9984
ENSG00000067208	1105	10.0227	1.2383
ENSG00000067334	23504	293.5600	36.2693
ENSG00000067533	1422	13.5289	1.6715
ENSG00000067606	59	0.5756	0.0711
ENSG00000067704	6105	110.0160	13.5925
ENSG00000069248	4905	72.7388	8.9869
ENSG00000069275	8861	101.5270	12.5437
ENSG00000069424	21056	194.3420	24.0110
ENSG00000069702	344	2.9805	0.3682
ENSG00000069712	76	1.2386	0.1530
ENSG00000069812	67	0.9294	0.1148
ENSG00000070759	1391	30.1506	3.7251
ENSG00000070785	490	12.0848	1.4931
ENSG00000070831	38912	841.0460	103.9111
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2527	27.0955	3.3476
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	8573	122.0250	15.0762
ENSG00000074800	134699	2465.8100	304.6503
ENSG00000074964	3013	28.7934	3.5574
ENSG00000075151	7282	64.7936	8.0052
ENSG00000075391	454	2.8840	0.3563
ENSG00000075945	1128	16.8710	2.0844
ENSG00000076258	81	2.4247	0.2996
ENSG00000076321	2096	36.9596	4.5664
ENSG00000076356	341	1.8541	0.2291
ENSG00000076864	12	0.1477	0.0182
ENSG00000077152	188	13.2244	1.6339
ENSG00000077157	1592	8.2918	1.0245
ENSG00000077254	3805	41.2460	5.0959
ENSG00000077522	2	0.0277	0.0034
ENSG00000077549	16543	356.5370	44.0501
ENSG00000077585	893	29.3997	3.6323
ENSG00000078369	30576	373.7260	46.1738
ENSG00000078618	11105	125.8260	15.5458
ENSG00000078808	9905	158.1670	19.5415
ENSG00000078900	8	0.1080	0.0133
ENSG00000079277	5075	47.2284	5.8351
ENSG00000079335	6265	82.0154	10.1330
ENSG00000079739	532	9.5857	1.1843
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	73	0.8011	0.0990
ENSG00000081019	5891	64.7888	8.0046
ENSG00000081026	14	0.1284	0.0159
ENSG00000081237	61749	544.3980	67.2603
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	381	6.6211	0.8180
ENSG00000081721	4258	181.2450	22.3928
ENSG00000081870	1611	43.7901	5.4103
ENSG00000081985	22	0.3898	0.0482
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4700	39.0701	4.8271
ENSG00000083444	3469	48.8401	6.0342
ENSG00000084070	18353	417.2380	51.5496
ENSG00000084072	1614	15.0017	1.8535
ENSG00000084073	2432	51.0538	6.3077
ENSG00000084623	23358	1015.5800	125.4751
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	2752	40.4433	4.9968
ENSG00000085433	3743	61.8871	7.6461
ENSG00000085465	324	8.1212	1.0034
ENSG00000085491	6118	70.0742	8.6577
ENSG00000085552	55	0.6246	0.0772
ENSG00000085831	7	0.0561	0.0069
ENSG00000085832	13805	137.1130	16.9403
ENSG00000085840	1123	26.6858	3.2970
ENSG00000085998	816	9.6104	1.1874
ENSG00000085999	128	2.9832	0.3686
ENSG00000086015	1363	11.5205	1.4234
ENSG00000086619	2323	30.6294	3.7843
ENSG00000088035	611	9.2667	1.1449
ENSG00000088280	32	0.4904	0.0606
ENSG00000090020	1529	19.1879	2.3707
ENSG00000090104	28205	513.8130	63.4816
ENSG00000090273	3896	102.2710	12.6356
ENSG00000090432	4665	143.6160	17.7437
ENSG00000090621	38276	423.2870	52.2971
ENSG00000090686	4206	33.2132	4.1035
ENSG00000091483	2737	95.8263	11.8393
ENSG00000092607	24	0.4729	0.0584
ENSG00000092621	283	3.7775	0.4667
ENSG00000092847	5440	31.6627	3.9119
ENSG00000092850	34	1.3069	0.1615
ENSG00000092853	820	11.3668	1.4044
ENSG00000092969	15	0.2194	0.0271
ENSG00000092978	1338	11.3519	1.4025
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	9005	104.4280	12.9021
ENSG00000097021	1337	20.5121	2.5343
ENSG00000097033	21733	244.1180	30.1607
ENSG00000097046	1056	22.0000	2.7181
ENSG00000097096	24	0.2787	0.0344
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1906	41.0109	5.0669
ENSG00000116128	395	4.6109	0.5697
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	97	1.6381	0.2024
ENSG00000116138	1568	13.7302	1.6964
ENSG00000116141	12	0.1260	0.0156
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	156	2.2306	0.2756
ENSG00000116157	4549	201.7660	24.9282
ENSG00000116161	4842	80.5186	9.9481
ENSG00000116171	8739	78.9213	9.7507
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	396	4.0007	0.4943
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	744	7.0814	0.8749
ENSG00000116199	2425	30.1169	3.7209
ENSG00000116205	255	3.2803	0.4053
ENSG00000116209	25063	452.3000	55.8816
ENSG00000116212	1044	32.4616	4.0106
ENSG00000116213	1928	19.0133	2.3491
