gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1971	38.4495	3.7162
ENSG00000000460	4137	48.8322	4.7198
ENSG00000000938	7474	159.0620	15.3737
ENSG00000000971	775	7.1330	0.6894
ENSG00000001460	1031	9.0862	0.8782
ENSG00000001461	3595	28.6699	2.7710
ENSG00000004455	18049	238.1980	23.0224
ENSG00000004487	12437	273.0560	26.3915
ENSG00000006555	50	0.6183	0.0598
ENSG00000007341	2311	21.3691	2.0654
ENSG00000007908	21	0.3821	0.0369
ENSG00000007923	3371	49.1278	4.7483
ENSG00000007933	52	1.1262	0.1088
ENSG00000007968	3545	48.7224	4.7091
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2585	41.0969	3.9721
ENSG00000008130	7553	98.7043	9.5400
ENSG00000009307	75687	986.3680	95.3348
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	58	1.0289	0.0994
ENSG00000009780	940	24.5042	2.3684
ENSG00000009790	8854	85.6520	8.2785
ENSG00000010072	2245	28.5135	2.7559
ENSG00000010165	2789	54.4369	5.2615
ENSG00000010803	11561	194.9820	18.8455
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	8663	120.5200	11.6485
ENSG00000011009	3438	117.4350	11.3503
ENSG00000011021	3355	36.5543	3.5331
ENSG00000014914	203	3.3163	0.3205
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4115	62.7661	6.0665
ENSG00000020633	28454	463.4170	44.7903
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	656	37.8637	3.6596
ENSG00000023902	25532	306.9710	29.6695
ENSG00000023909	2774	38.7075	3.7412
ENSG00000024526	1300	16.5149	1.5962
ENSG00000025800	14211	138.6560	13.4014
ENSG00000026751	1062	17.2945	1.6716
ENSG00000027644	26	0.3823	0.0369
ENSG00000027869	1626	48.5557	4.6930
ENSG00000028137	7794	155.2080	15.0012
ENSG00000031698	4798	93.8149	9.0674
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	9039	184.9170	17.8727
ENSG00000036549	7209	60.0209	5.8012
ENSG00000037637	4819	40.2333	3.8886
ENSG00000040487	2035	56.8250	5.4923
ENSG00000041988	1040	19.1611	1.8520
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1198	29.2478	2.8269
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	19640	144.6970	13.9853
ENSG00000048707	9332	34.3981	3.3247
ENSG00000049089	333	6.0154	0.5814
ENSG00000049239	17930	147.5020	14.2564
ENSG00000049245	15231	413.8930	40.0037
ENSG00000049246	657	6.9389	0.6707
ENSG00000049247	1	0.0421	0.0041
ENSG00000049249	36	1.1821	0.1143
ENSG00000050628	59	0.4584	0.0443
ENSG00000052723	5621	71.5199	6.9126
ENSG00000053371	9481	399.2390	38.5874
ENSG00000053372	3406	90.5128	8.7483
ENSG00000054116	3883	87.9067	8.4964
ENSG00000054118	8121	128.6090	12.4303
ENSG00000054267	15944	107.9940	10.4379
ENSG00000054277	5696	122.7650	11.8655
ENSG00000054282	8880	126.9250	12.2676
ENSG00000054392	331	5.7730	0.5580
ENSG00000054523	5991	25.3952	2.4545
ENSG00000055070	13093	206.8570	19.9932
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3835	40.8990	3.9530
ENSG00000057468	5	0.1240	0.0120
ENSG00000057757	6579	225.7300	21.8173
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1187	7.2607	0.7018
ENSG00000058668	41903	323.2930	31.2470
ENSG00000058673	36702	283.7770	27.4277
ENSG00000058799	2310	76.6254	7.4060
ENSG00000058804	7437	108.6180	10.4982
ENSG00000059588	19367	187.5890	18.1310
ENSG00000060642	695	15.4077	1.4892
ENSG00000060656	72	0.8054	0.0778
ENSG00000060688	3167	59.2261	5.7243
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4389	54.6887	5.2858
ENSG00000064886	254	5.7791	0.5586
ENSG00000065135	12730	297.7940	28.7825
ENSG00000065183	1764	31.8185	3.0753
ENSG00000065243	5923	63.3293	6.1209
ENSG00000065526	48376	272.9220	26.3786
ENSG00000065600	3087	79.4506	7.6791
ENSG00000065978	91465	3554.3200	343.5335
ENSG00000066027	34002	660.1470	63.8048
ENSG00000066056	276	3.0881	0.2985
ENSG00000066135	1816	26.3401	2.5458
ENSG00000066136	6575	82.3631	7.9606
ENSG00000066185	65	2.2210	0.2147
ENSG00000066279	3626	24.9773	2.4141
ENSG00000066294	19307	156.4630	15.1225
ENSG00000066322	8747	266.7820	25.7851
ENSG00000066557	2721	70.7666	6.8398
ENSG00000067208	938	8.5041	0.8219
ENSG00000067334	14290	178.4700	17.2496
ENSG00000067533	2838	26.9997	2.6096
ENSG00000067606	498	4.8914	0.4728
ENSG00000067704	16612	299.3580	28.9337
ENSG00000069248	7850	116.4200	11.2523
ENSG00000069275	33332	381.9030	36.9118
ENSG00000069424	38742	357.5780	34.5608
ENSG00000069702	520	4.5060	0.4355
ENSG00000069712	496	8.0415	0.7772
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	3226	69.9223	6.7582
ENSG00000070785	2078	51.2136	4.9499
ENSG00000070831	22453	485.2980	46.9052
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	7495	80.3538	7.7664
ENSG00000073754	615	18.7850	1.8156
ENSG00000073756	13944	198.4750	19.1830
ENSG00000074800	227849	4171.0200	403.1393
ENSG00000074964	156	1.4916	0.1442
ENSG00000075151	12048	107.2030	10.3614
ENSG00000075391	6	0.0381	0.0037
ENSG00000075945	5697	85.2116	8.2359
ENSG00000076258	190	5.6615	0.5472
ENSG00000076321	2249	39.6528	3.8325
ENSG00000076356	667	3.6311	0.3510
ENSG00000076864	814	9.6196	0.9298
ENSG00000077152	3506	246.9180	23.8652
ENSG00000077157	24259	126.3510	12.2121
ENSG00000077254	6714	72.7833	7.0347
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	19603	422.4680	40.8325
ENSG00000077585	127	4.1755	0.4036
ENSG00000078369	45473	555.8090	53.7203
ENSG00000078618	30327	343.6310	33.2128
ENSG00000078808	12762	203.7730	19.6951
ENSG00000078900	61	0.8252	0.0798
ENSG00000079277	6409	59.6337	5.7637
ENSG00000079335	3580	46.8721	4.5303
ENSG00000079739	3176	57.1979	5.5283
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	236	2.5952	0.2508
ENSG00000081019	7598	83.5734	8.0776
ENSG00000081026	47	0.4351	0.0420
ENSG00000081237	34265	302.0890	29.1976
ENSG00000081248	0	0.0029	0.0003
