gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	933	18.2099	1.5792
ENSG00000000460	2852	33.6643	2.9194
ENSG00000000938	1377	29.3005	2.5410
ENSG00000000971	199	1.8326	0.1589
ENSG00000001460	771	6.7952	0.5893
ENSG00000001461	3162	25.2182	2.1870
ENSG00000004455	13658	180.2470	15.6313
ENSG00000004487	20126	441.8660	38.3191
ENSG00000006555	49	0.6026	0.0523
ENSG00000007341	2725	25.1987	2.1853
ENSG00000007908	67	1.1984	0.1039
ENSG00000007923	4471	65.1556	5.6504
ENSG00000007933	0	0.0058	0.0005
ENSG00000007968	1434	19.7139	1.7096
ENSG00000008118	10	0.2687	0.0233
ENSG00000008128	4492	71.4078	6.1926
ENSG00000008130	5228	68.3271	5.9254
ENSG00000009307	91542	1192.9900	103.4577
ENSG00000009709	23	0.2737	0.0237
ENSG00000009724	1074	18.9475	1.6432
ENSG00000009780	990	25.8202	2.2392
ENSG00000009790	5248	50.7704	4.4029
ENSG00000010072	3069	38.9758	3.3800
ENSG00000010165	1819	35.4913	3.0778
ENSG00000010803	17430	293.9660	25.4931
ENSG00000010932	102	2.1388	0.1855
ENSG00000011007	10332	143.7430	12.4655
ENSG00000011009	3987	136.1590	11.8079
ENSG00000011021	4444	48.4124	4.1984
ENSG00000014914	209	3.4173	0.2964
ENSG00000016490	19	0.4269	0.0370
ENSG00000016602	11	0.2316	0.0201
ENSG00000018625	11	0.1342	0.0116
ENSG00000020129	6015	91.7435	7.9561
ENSG00000020633	3257	53.0436	4.6000
ENSG00000021852	9	0.2510	0.0218
ENSG00000023572	378	21.8468	1.8946
ENSG00000023902	13230	159.0600	13.7939
ENSG00000023909	214	2.9931	0.2596
ENSG00000024526	129	1.6372	0.1420
ENSG00000025800	17630	172.0140	14.9173
ENSG00000026751	236	3.8369	0.3327
ENSG00000027644	8	0.1176	0.0102
ENSG00000027869	551	16.4447	1.4261
ENSG00000028137	1919	38.2148	3.3140
ENSG00000031698	9324	182.3040	15.8096
ENSG00000033122	101	0.6281	0.0545
ENSG00000034971	12	0.4306	0.0373
ENSG00000035687	3384	69.2270	6.0034
ENSG00000036549	2713	22.5863	1.9587
ENSG00000037637	7054	58.8856	5.1066
ENSG00000040487	1165	32.5432	2.8222
ENSG00000041988	5390	99.2807	8.6097
ENSG00000042781	26	0.0955	0.0083
ENSG00000043514	1169	28.5451	2.4755
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7901	58.2095	5.0480
ENSG00000048707	6676	24.6099	2.1342
ENSG00000049089	5332	96.3312	8.3540
ENSG00000049239	8156	67.0950	5.8186
ENSG00000049245	14615	397.1350	34.4401
ENSG00000049246	649	6.8526	0.5943
ENSG00000049247	448	18.8418	1.6340
ENSG00000049249	112	3.6813	0.3193
ENSG00000050628	22	0.1709	0.0148
ENSG00000052723	3211	40.8566	3.5431
ENSG00000053371	7688	323.7680	28.0775
ENSG00000053372	3473	92.3005	8.0044
ENSG00000054116	5602	126.8130	10.9973
ENSG00000054118	7192	113.8950	9.8771
ENSG00000054267	15123	102.4320	8.8831
ENSG00000054277	1061	22.8632	1.9827
ENSG00000054282	8597	122.8880	10.6570
ENSG00000054392	1108	19.3387	1.6771
ENSG00000054523	1762	7.4708	0.6479
ENSG00000055070	32423	512.2600	44.4238
ENSG00000055732	19	0.2130	0.0185
ENSG00000057252	3306	35.2532	3.0572
ENSG00000057468	8	0.1748	0.0152
ENSG00000057757	7514	257.7960	22.3564
ENSG00000058085	2	0.0206	0.0018
ENSG00000058453	3031	18.5375	1.6076
ENSG00000058668	5039	38.8794	3.3717
ENSG00000058673	21296	164.6590	14.2794
ENSG00000058799	2914	96.6625	8.3827
ENSG00000058804	1720	25.1151	2.1780
ENSG00000059588	23105	223.8010	19.4083
ENSG00000060642	3931	87.1644	7.5590
ENSG00000060656	66	0.7394	0.0641
ENSG00000060688	2453	45.8694	3.9778
ENSG00000060718	14	0.1268	0.0110
ENSG00000064703	5577	69.4880	6.0261
ENSG00000064886	77	1.7463	0.1514
ENSG00000065135	7335	171.5950	14.8809
ENSG00000065183	1051	18.9522	1.6436
ENSG00000065243	4590	49.0767	4.2560
ENSG00000065526	25584	144.3330	12.5168
ENSG00000065600	2758	70.9798	6.1555
ENSG00000065978	101188	3932.1900	341.0044
ENSG00000066027	8901	172.8110	14.9864
ENSG00000066056	11196	125.4390	10.8783
ENSG00000066135	5601	81.2224	7.0437
ENSG00000066136	3614	45.2778	3.9265
ENSG00000066185	464	15.8569	1.3751
ENSG00000066279	692	4.7650	0.4132
ENSG00000066294	3360	27.2294	2.3614
ENSG00000066322	8801	268.4320	23.2788
ENSG00000066557	1524	39.6425	3.4379
