gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	147	2.8634	0.3315
ENSG00000000460	471	5.5650	0.6442
ENSG00000000938	6343	134.9920	15.6268
ENSG00000000971	64	0.5894	0.0682
ENSG00000001460	118	1.0395	0.1203
ENSG00000001461	790	6.3015	0.7295
ENSG00000004455	3347	44.1649	5.1126
ENSG00000004487	9061	198.9370	23.0292
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1105	10.2214	1.1832
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1431	20.8510	2.4137
ENSG00000007933	6	0.1299	0.0150
ENSG00000007968	1838	25.2577	2.9239
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3434	54.5897	6.3194
ENSG00000008130	5639	73.6916	8.5307
ENSG00000009307	38445	501.0180	57.9987
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	34	0.5999	0.0694
ENSG00000009780	373	9.7260	1.1259
ENSG00000009790	1953	18.8913	2.1869
ENSG00000010072	1144	14.5325	1.6823
ENSG00000010165	262	5.1093	0.5915
ENSG00000010803	11993	202.2580	23.4137
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	10032	139.5620	16.1559
ENSG00000011009	1957	66.8474	7.7384
ENSG00000011021	4052	44.1431	5.1101
ENSG00000014914	831	13.5689	1.5708
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	644	9.8163	1.1364
ENSG00000020633	914	14.8912	1.7238
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	293	16.9084	1.9573
ENSG00000023902	19656	236.3240	27.3572
ENSG00000023909	317	4.4237	0.5121
ENSG00000024526	33	0.4150	0.0480
ENSG00000025800	17716	172.8480	20.0091
ENSG00000026751	22	0.3577	0.0414
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	255	7.5999	0.8798
ENSG00000028137	5647	112.4510	13.0175
ENSG00000031698	4935	96.4943	11.1703
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1257	25.7155	2.9769
ENSG00000036549	1384	11.5190	1.3335
ENSG00000037637	6019	50.2498	5.8170
ENSG00000040487	717	20.0309	2.3188
ENSG00000041988	1575	29.0157	3.3589
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	311	7.5884	0.8784
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1755	12.9272	1.4965
ENSG00000048707	2112	7.7859	0.9013
ENSG00000049089	722	13.0434	1.5099
ENSG00000049239	5089	41.8674	4.8466
ENSG00000049245	9933	269.9070	31.2449
ENSG00000049246	210	2.2152	0.2564
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	12	0.3940	0.0456
ENSG00000050628	14	0.1088	0.0126
ENSG00000052723	1575	20.0441	2.3203
ENSG00000053371	3871	162.9940	18.8685
ENSG00000053372	959	25.4833	2.9500
ENSG00000054116	1697	38.4144	4.4469
ENSG00000054118	6902	109.3060	12.6534
ENSG00000054267	6989	47.3373	5.4798
ENSG00000054277	669	14.4181	1.6691
ENSG00000054282	2262	32.3381	3.7435
ENSG00000054392	387	6.7558	0.7821
ENSG00000054523	4041	17.1315	1.9832
ENSG00000055070	26433	417.6200	48.3443
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2726	29.0745	3.3657
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	9278	318.3360	36.8511
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1030	6.2975	0.7290
ENSG00000058668	5678	43.8085	5.0713
ENSG00000058673	12948	100.1160	11.5896
ENSG00000058799	1231	40.8483	4.7287
ENSG00000058804	743	10.8465	1.2556
ENSG00000059588	4753	46.0411	5.3298
ENSG00000060642	870	19.2936	2.2335
ENSG00000060656	16	0.1791	0.0207
ENSG00000060688	1564	29.2396	3.3848
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3120	38.8757	4.5003
ENSG00000064886	29	0.6634	0.0768
ENSG00000065135	3908	91.4217	10.5831
ENSG00000065183	132	2.3854	0.2761
ENSG00000065243	2656	28.3993	3.2876
ENSG00000065526	36052	203.3950	23.5453
ENSG00000065600	3369	86.7076	10.0374
ENSG00000065978	88039	3421.1900	396.0427
ENSG00000066027	9422	182.9300	21.1763
ENSG00000066056	1906	21.3509	2.4716
ENSG00000066135	1000	14.5079	1.6795
ENSG00000066136	2227	27.9008	3.2298
ENSG00000066185	150	5.1253	0.5933
ENSG00000066279	148	1.0196	0.1180
ENSG00000066294	1189	9.6344	1.1153
ENSG00000066322	4665	142.2880	16.4715
ENSG00000066557	1472	38.2784	4.4312
ENSG00000067208	260	2.3542	0.2725
ENSG00000067334	4120	51.4540	5.9564
ENSG00000067533	820	7.7989	0.9028
ENSG00000067606	1055	10.3634	1.1997
ENSG00000067704	1640	29.5502	3.4208
ENSG00000069248	1176	17.4382	2.0187
ENSG00000069275	5470	62.6766	7.2555
ENSG00000069424	26709	246.5180	28.5373
ENSG00000069702	11	0.0953	0.0110
ENSG00000069712	56	0.9085	0.1052
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2116	45.8740	5.3104
ENSG00000070785	365	8.9901	1.0407
ENSG00000070831	42173	911.5190	105.5189
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	160	1.7110	0.1981
ENSG00000073754	2	0.0611	0.0071
ENSG00000073756	2350	33.4521	3.8725
ENSG00000074800	114065	2088.0800	241.7194
ENSG00000074964	149	1.4224	0.1647
ENSG00000075151	5233	46.5621	5.3901
ENSG00000075391	46	0.2919	0.0338
ENSG00000075945	1058	15.8187	1.8312
ENSG00000076258	59	1.7481	0.2024
ENSG00000076321	865	15.2515	1.7655
ENSG00000076356	189	1.0259	0.1188
ENSG00000076864	115	1.3598	0.1574
ENSG00000077152	285	20.0667	2.3230
ENSG00000077157	1090	5.6765	0.6571
ENSG00000077254	1612	17.4756	2.0230
ENSG00000077522	1	0.0138	0.0016
ENSG00000077549	13389	288.5480	33.4028
ENSG00000077585	294	9.6709	1.1195
ENSG00000078369	25424	310.7550	35.9735
ENSG00000078618	6037	68.4108	7.9193
ENSG00000078808	5657	90.3245	10.4561
