gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1552	30.2833	3.4220
ENSG00000000460	2711	31.9981	3.6157
ENSG00000000938	23646	503.2550	56.8670
ENSG00000000971	494	4.5459	0.5137
ENSG00000001460	1083	9.5394	1.0779
ENSG00000001461	2578	20.5635	2.3236
ENSG00000004455	18885	249.2300	28.1626
ENSG00000004487	10752	236.0740	26.6759
ENSG00000006555	9	0.1077	0.0122
ENSG00000007341	2050	18.9598	2.1424
ENSG00000007908	2	0.0356	0.0040
ENSG00000007923	6114	89.0929	10.0674
ENSG00000007933	10	0.2166	0.0245
ENSG00000007968	1156	15.8924	1.7958
ENSG00000008118	4	0.1121	0.0127
ENSG00000008128	4704	74.7821	8.4503
ENSG00000008130	7950	103.8890	11.7393
ENSG00000009307	70545	919.3540	103.8856
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	17	0.2999	0.0339
ENSG00000009780	943	24.5960	2.7793
ENSG00000009790	6168	59.6649	6.7420
ENSG00000010072	882	11.2067	1.2663
ENSG00000010165	4007	78.2017	8.8367
ENSG00000010803	10696	180.3930	20.3841
ENSG00000010932	1	0.0210	0.0024
ENSG00000011007	7407	103.0490	11.6444
ENSG00000011009	4895	167.1710	18.8901
ENSG00000011021	4445	48.4284	5.4723
ENSG00000014914	1094	17.8639	2.0186
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	14	0.1697	0.0192
ENSG00000020129	6303	96.1434	10.8640
ENSG00000020633	798	13.0028	1.4693
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	619	35.7244	4.0368
ENSG00000023902	19322	232.3160	26.2513
ENSG00000023909	613	8.5502	0.9662
ENSG00000024526	1746	22.1802	2.5063
ENSG00000025800	11517	112.3670	12.6973
ENSG00000026751	64	1.0389	0.1174
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	73	2.1716	0.2454
ENSG00000028137	12427	247.4880	27.9657
ENSG00000031698	11070	216.4360	24.4570
ENSG00000033122	2	0.0125	0.0014
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5230	107.0000	12.0908
ENSG00000036549	3990	33.2221	3.7540
ENSG00000037637	3762	31.4094	3.5492
ENSG00000040487	748	20.8898	2.3605
ENSG00000041988	1292	23.8057	2.6900
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1588	38.7877	4.3830
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21957	161.7640	18.2791
ENSG00000048707	5757	21.2225	2.3981
ENSG00000049089	785	14.1850	1.6029
ENSG00000049239	2590	21.3072	2.4077
ENSG00000049245	16006	434.9400	49.1475
ENSG00000049246	492	5.1905	0.5865
ENSG00000049247	505	21.2311	2.3991
ENSG00000049249	17	0.5600	0.0633
ENSG00000050628	20	0.1554	0.0176
ENSG00000052723	5981	76.1023	8.5994
ENSG00000053371	5451	229.5280	25.9363
ENSG00000053372	4420	117.4700	13.2739
ENSG00000054116	3721	84.2445	9.5195
ENSG00000054118	13507	213.8950	24.1697
ENSG00000054267	10664	72.2316	8.1621
ENSG00000054277	5591	120.4910	13.6152
ENSG00000054282	7625	108.9840	12.3150
ENSG00000054392	360	6.2826	0.7099
ENSG00000054523	3822	16.2022	1.8308
ENSG00000055070	16161	255.3280	28.8516
ENSG00000055732	2	0.0220	0.0025
ENSG00000057252	6938	73.9915	8.3609
ENSG00000057468	75	1.7186	0.1942
ENSG00000057757	4636	159.0720	17.9748
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1240	7.5820	0.8568
ENSG00000058668	8398	64.7955	7.3218
ENSG00000058673	23983	185.4360	20.9540
ENSG00000058799	3329	110.4280	12.4782
ENSG00000058804	4934	72.0682	8.1436
ENSG00000059588	6787	65.7365	7.4281
ENSG00000060642	2315	51.3448	5.8019
ENSG00000060656	10	0.1119	0.0126
ENSG00000060688	4123	77.0977	8.7119
ENSG00000060718	9	0.0811	0.0092
ENSG00000064703	1325	16.5041	1.8649
ENSG00000064886	13	0.3029	0.0342
ENSG00000065135	13058	305.4750	34.5182
ENSG00000065183	1958	35.3107	3.9900
ENSG00000065243	4608	49.2773	5.5683
ENSG00000065526	21598	121.8490	13.7688
ENSG00000065600	2682	69.0360	7.8010
ENSG00000065978	99931	3883.3500	438.8117
ENSG00000066027	12640	245.4110	27.7311
ENSG00000066056	2725	30.5353	3.4504
ENSG00000066135	2840	41.1777	4.6530
ENSG00000066136	7671	96.0939	10.8584
ENSG00000066185	233	7.9749	0.9012
ENSG00000066279	3610	24.8663	2.8098
ENSG00000066294	7170	58.1068	6.5660
ENSG00000066322	13367	407.7110	46.0707
ENSG00000066557	2395	62.2850	7.0381
ENSG00000067208	2530	22.9420	2.5924
ENSG00000067334	17163	214.3570	24.2220
ENSG00000067533	1742	16.5724	1.8727
ENSG00000067606	63	0.6194	0.0700
ENSG00000067704	11896	214.3600	24.2224
ENSG00000069248	4288	63.5928	7.1859
ENSG00000069275	28937	331.5430	37.4639
ENSG00000069424	25487	235.2320	26.5808
ENSG00000069702	155	1.3453	0.1520
ENSG00000069712	521	8.4579	0.9557
