gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1473	28.7490	3.7391
ENSG00000000460	490	5.7842	0.7523
ENSG00000000938	6387	135.9360	17.6798
ENSG00000000971	3743	34.4737	4.4837
ENSG00000001460	258	2.2726	0.2956
ENSG00000001461	2128	16.9678	2.2068
ENSG00000004455	10743	141.7810	18.4400
ENSG00000004487	7467	163.9400	21.3220
ENSG00000006555	40	0.4955	0.0644
ENSG00000007341	1125	10.4022	1.3529
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1566	22.8178	2.9677
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	612	8.4154	1.0945
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2522	40.0844	5.2134
ENSG00000008130	3653	47.7338	6.2082
ENSG00000009307	63756	830.8800	108.0641
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0092
ENSG00000009780	589	15.3585	1.9975
ENSG00000009790	3278	31.7140	4.1247
ENSG00000010072	2043	25.9377	3.3735
ENSG00000010165	507	9.8855	1.2857
ENSG00000010803	4236	71.4333	9.2906
ENSG00000010932	8	0.1679	0.0218
ENSG00000011007	7150	99.4712	12.9372
ENSG00000011009	3297	112.6100	14.6461
ENSG00000011021	3381	36.8340	4.7906
ENSG00000014914	13	0.2124	0.0276
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2742	41.8304	5.4405
ENSG00000020633	14320	233.2320	30.3341
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	511	29.5189	3.8392
ENSG00000023902	16790	201.8640	26.2544
ENSG00000023909	712	9.9362	1.2923
ENSG00000024526	44	0.5589	0.0727
ENSG00000025800	14185	138.4030	18.0007
ENSG00000026751	90	1.4735	0.1916
ENSG00000027644	20	0.2878	0.0374
ENSG00000027869	839	25.0466	3.2575
ENSG00000028137	6973	138.8760	18.0622
ENSG00000031698	3808	74.4520	9.6832
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2573	52.6334	6.8455
ENSG00000036549	3756	31.2718	4.0672
ENSG00000037637	7204	60.1365	7.8213
ENSG00000040487	560	15.6262	2.0324
ENSG00000041988	858	15.8021	2.0552
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	636	15.5236	2.0190
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9526	70.1834	9.1280
ENSG00000048707	6539	24.1032	3.1349
ENSG00000049089	2367	42.7675	5.5623
ENSG00000049239	3997	32.8791	4.2763
ENSG00000049245	8749	237.7470	30.9214
ENSG00000049246	74	0.7801	0.1015
ENSG00000049247	776	32.6568	4.2473
ENSG00000049249	63	2.0670	0.2688
ENSG00000050628	2	0.0155	0.0020
ENSG00000052723	3376	42.9608	5.5875
ENSG00000053371	6158	259.3380	33.7294
ENSG00000053372	1136	30.1928	3.9269
ENSG00000054116	2256	51.0631	6.6413
ENSG00000054118	7371	116.7320	15.1821
ENSG00000054267	12164	82.3869	10.7152
ENSG00000054277	2224	47.9302	6.2338
ENSG00000054282	3787	54.1315	7.0403
ENSG00000054392	623	10.8794	1.4150
ENSG00000054523	2452	10.3954	1.3520
ENSG00000055070	19483	307.8240	40.0355
ENSG00000055732	12	0.1359	0.0177
ENSG00000057252	1533	16.3502	2.1265
ENSG00000057468	23	0.5282	0.0687
ENSG00000057757	5458	187.2620	24.3553
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	101	0.6188	0.0805
ENSG00000058668	15977	123.2680	16.0323
ENSG00000058673	21448	165.8340	21.5683
ENSG00000058799	1868	61.9584	8.0583
ENSG00000058804	1658	24.2164	3.1496
ENSG00000059588	12170	117.8770	15.3310
ENSG00000060642	400	8.8732	1.1540
ENSG00000060656	35	0.3916	0.0509
ENSG00000060688	1844	34.4894	4.4857
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3756	46.8021	6.0871
ENSG00000064886	47	1.0698	0.1391
ENSG00000065135	11020	257.7990	33.5293
ENSG00000065183	845	15.2385	1.9819
ENSG00000065243	7433	79.4753	10.3365
ENSG00000065526	40241	227.0270	29.5271
ENSG00000065600	2560	65.8957	8.5704
ENSG00000065978	76753	2982.6500	387.9228
ENSG00000066027	6578	127.7070	16.6096
ENSG00000066056	5491	61.5206	8.0014
ENSG00000066135	2160	31.3279	4.0745
ENSG00000066136	3284	41.1386	5.3505
ENSG00000066185	424	14.4875	1.8842
ENSG00000066279	475	3.2753	0.4260
ENSG00000066294	9953	80.6566	10.4902
ENSG00000066322	6838	208.5540	27.1245
ENSG00000066557	1612	41.9133	5.4512
ENSG00000067208	497	4.5064	0.5861
ENSG00000067334	7638	95.3977	12.4074
ENSG00000067533	1297	12.3424	1.6053
ENSG00000067606	1202	11.8036	1.5352
ENSG00000067704	6530	117.6780	15.3051
ENSG00000069248	2449	36.3172	4.7234
ENSG00000069275	5172	59.2614	7.7075
ENSG00000069424	35383	326.5750	42.4743
ENSG00000069702	362	3.1358	0.4078
ENSG00000069712	334	5.4149	0.7043
ENSG00000069812	8	0.1110	0.0144
ENSG00000070759	1502	32.5621	4.2350
ENSG00000070785	978	24.0953	3.1338
ENSG00000070831	36046	779.0890	101.3282
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	60	0.6432	0.0837
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	7961	113.3190	14.7382
ENSG00000074800	134972	2470.8100	321.3529
ENSG00000074964	4	0.0382	0.0050
ENSG00000075151	10611	94.4126	12.2793
ENSG00000075391	879	5.5779	0.7255
ENSG00000075945	1537	22.9926	2.9904
ENSG00000076258	293	8.7207	1.1342
ENSG00000076321	1354	23.8768	3.1054
ENSG00000076356	220	1.1973	0.1557
ENSG00000076864	877	10.3700	1.3487
ENSG00000077152	271	19.0507	2.4777
ENSG00000077157	3551	18.4955	2.4055
ENSG00000077254	2180	23.6373	3.0743
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	26424	569.4880	74.0675
ENSG00000077585	234	7.7086	1.0026
ENSG00000078369	47255	577.5990	75.1224
ENSG00000078618	14335	162.4330	21.1260
ENSG00000078808	17697	282.5780	36.7520
ENSG00000078900	20	0.2698	0.0351
ENSG00000079277	4177	38.8703	5.0555
ENSG00000079335	3757	49.1847	6.3969
ENSG00000079739	6817	122.7880	15.9697
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	73	0.7983	0.1038
ENSG00000081019	6725	73.9672	9.6202
ENSG00000081026	23	0.2116	0.0275
ENSG00000081237	45943	405.0480	52.6804
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	845	14.6788	1.9091
ENSG00000081721	2618	111.4510	14.4953
ENSG00000081870	1949	52.9909	6.8920
ENSG00000081985	58	1.0276	0.1337
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	5176	43.0319	5.5967
ENSG00000083444	5033	70.8541	9.2153
ENSG00000084070	13506	307.0450	39.9342
ENSG00000084072	2603	24.1846	3.1455
ENSG00000084073	2106	44.2116	5.7502
ENSG00000084623	22688	986.4500	128.2975
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	13	0.1021	0.0133
ENSG00000084652	3216	47.2681	6.1477
ENSG00000085433	2148	35.5212	4.6199
ENSG00000085465	204	5.1322	0.6675
ENSG00000085491	3092	35.4157	4.6062
ENSG00000085552	8	0.0860	0.0112
ENSG00000085831	64	0.5160	0.0671
ENSG00000085832	14832	147.3190	19.1603
ENSG00000085840	991	23.5489	3.0628
ENSG00000085998	3252	38.3102	4.9826
ENSG00000085999	181	4.2207	0.5489
ENSG00000086015	2659	22.4647	2.9218
ENSG00000086619	1052	13.8713	1.8041
ENSG00000088035	771	11.6961	1.5212
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	4020	50.4624	6.5631
ENSG00000090104	3686	67.1525	8.7339
ENSG00000090273	5044	132.4220	17.2228
ENSG00000090432	3929	120.9550	15.7314
ENSG00000090621	21416	236.8340	30.8026
ENSG00000090686	7669	60.5646	7.8770
ENSG00000091483	2849	99.7479	12.9732
ENSG00000092607	12	0.2365	0.0308
ENSG00000092621	1229	16.3949	2.1323
ENSG00000092847	8722	50.7620	6.6021
ENSG00000092850	87	3.3094	0.4304
ENSG00000092853	260	3.6003	0.4683
ENSG00000092969	7	0.1019	0.0133
ENSG00000092978	1127	9.5661	1.2442
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	6318	73.2768	9.5304
ENSG00000097021	4189	64.2707	8.3590
ENSG00000097033	13496	151.6000	19.7171
ENSG00000097046	276	5.7597	0.7491
ENSG00000097096	5	0.0606	0.0079
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	2271	48.8571	6.3544
ENSG00000116128	4060	47.4298	6.1687
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	1930	32.5875	4.2383
ENSG00000116138	1245	10.9073	1.4186
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	50	0.7014	0.0912
ENSG00000116151	297	4.2614	0.5542
ENSG00000116157	4485	198.9300	25.8728
ENSG00000116161	4474	74.4002	9.6765
ENSG00000116171	7641	69.0010	8.9743
ENSG00000116183	17	0.1167	0.0152
ENSG00000116191	3119	31.5160	4.0990
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	2530	24.0882	3.1329
ENSG00000116199	2476	30.7539	3.9999
ENSG00000116205	720	9.2702	1.2057
ENSG00000116209	25227	455.2450	59.2091
ENSG00000116212	965	30.0129	3.9035
ENSG00000116213	1058	10.4356	1.3573
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	9398	319.8210	41.5959
ENSG00000116237	1436	21.9253	2.8516
ENSG00000116251	30082	460.4350	59.8841
ENSG00000116254	355	2.6942	0.3504
ENSG00000116260	26700	215.0660	27.9715
ENSG00000116266	3561	45.3077	5.8927
ENSG00000116273	1240	25.2641	3.2858
ENSG00000116285	14	0.2508	0.0326
ENSG00000116288	13932	435.9150	56.6950
ENSG00000116299	53	0.4300	0.0559
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	14938	164.0780	21.3399
ENSG00000116350	6728	158.7710	20.6498
ENSG00000116353	828	15.6550	2.0361
ENSG00000116396	702	5.6391	0.7334
ENSG00000116406	2222	22.1281	2.8780
ENSG00000116455	2143	57.2952	7.4518
ENSG00000116459	12928	286.6010	37.2753
ENSG00000116473	5025	65.7406	8.5502
ENSG00000116478	13120	245.4480	31.9230
ENSG00000116489	11494	208.7310	27.1475
ENSG00000116497	2309	18.8407	2.4504
ENSG00000116514	17481	502.3290	65.3328
ENSG00000116521	7801	239.5820	31.1600
ENSG00000116525	1165	21.9849	2.8593
ENSG00000116539	14116	79.6252	10.3560
ENSG00000116544	32	0.5994	0.0780
ENSG00000116560	76623	773.8630	100.6484
ENSG00000116574	51	0.8831	0.1149
ENSG00000116580	5025	31.0006	4.0319
ENSG00000116584	19223	194.4600	25.2914
ENSG00000116586	5729	298.8230	38.8649
ENSG00000116604	48499	568.3470	73.9191
ENSG00000116641	2765	19.0713	2.4804
ENSG00000116649	16678	659.0260	85.7129
ENSG00000116652	7	0.4492	0.0584
ENSG00000116661	10	0.3150	0.0410
ENSG00000116663	1101	45.5964	5.9303
ENSG00000116667	320	2.1905	0.2849
ENSG00000116668	434	8.0333	1.0448
ENSG00000116670	2513	55.3955	7.2047
ENSG00000116675	1525	16.5557	2.1532
ENSG00000116678	2547	16.6762	2.1689
ENSG00000116679	5526	52.2690	6.7981
ENSG00000116685	5605	128.1220	16.6635
ENSG00000116688	5201	78.3538	10.1907
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	2490	66.1893	8.6086
ENSG00000116698	19470	175.5700	22.8346
ENSG00000116701	933	23.8931	3.1075
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	2579	27.0338	3.5160
ENSG00000116711	858	22.3934	2.9125
ENSG00000116717	10387	376.5250	48.9708
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	6	0.0997	0.0130
ENSG00000116731	19153	131.6800	17.1263
ENSG00000116741	4964	178.4650	23.2111
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	6938	57.1710	7.4356
ENSG00000116748	1	0.0300	0.0039
ENSG00000116750	1527	31.8227	4.1389
ENSG00000116752	2616	151.0550	19.6462
ENSG00000116754	30677	271.4130	35.2999
ENSG00000116761	143	4.4573	0.5797
ENSG00000116771	143	4.2960	0.5587
ENSG00000116774	12	0.3960	0.0515
ENSG00000116783	180	2.3154	0.3011
ENSG00000116785	4	0.0930	0.0121
ENSG00000116786	18844	342.8630	44.5927
ENSG00000116791	696	12.7883	1.6632
ENSG00000116793	6092	63.7227	8.2878
ENSG00000116809	5473	96.8042	12.5904
ENSG00000116815	2179	91.6596	11.9212
ENSG00000116819	174	5.9461	0.7734
ENSG00000116824	1064	47.5176	6.1801
ENSG00000116830	3672	44.0571	5.7301
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	4669	28.8271	3.7493
