gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	598	11.6621	2.2069
ENSG00000000460	1017	12.0054	2.2718
ENSG00000000938	4428	94.2406	17.8335
ENSG00000000971	136	1.2515	0.2368
ENSG00000001460	309	2.7216	0.5150
ENSG00000001461	2167	17.2848	3.2709
ENSG00000004455	8476	111.8600	21.1677
ENSG00000004487	6578	144.4340	27.3319
ENSG00000006555	110	1.3683	0.2589
ENSG00000007341	1191	11.0102	2.0835
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1696	24.7119	4.6763
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	11856	162.9460	30.8349
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2471	39.2878	7.4346
ENSG00000008130	4440	58.0199	10.9793
ENSG00000009307	44839	584.3450	110.5781
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	13	0.2294	0.0434
ENSG00000009780	651	16.9809	3.2134
ENSG00000009790	2438	23.5840	4.4629
ENSG00000010072	1416	17.9815	3.4027
ENSG00000010165	1176	22.9552	4.3439
ENSG00000010803	3274	55.2188	10.4493
ENSG00000010932	12	0.2518	0.0477
ENSG00000011007	5052	70.2788	13.2992
ENSG00000011009	1842	62.9144	11.9055
ENSG00000011021	2587	28.1871	5.3340
ENSG00000014914	45	0.7351	0.1391
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2185	33.3228	6.3058
ENSG00000020633	6188	100.7840	19.0718
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	279	16.0808	3.0430
ENSG00000023902	5795	69.6715	13.1842
ENSG00000023909	3780	52.7521	9.9825
ENSG00000024526	1607	20.4192	3.8640
ENSG00000025800	11698	114.1350	21.5983
ENSG00000026751	327	5.3301	1.0086
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	284	8.4789	1.6045
ENSG00000028137	4961	98.7939	18.6952
ENSG00000031698	4167	81.4685	15.4166
ENSG00000033122	7	0.0435	0.0082
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2230	45.6187	8.6326
ENSG00000036549	3063	25.5047	4.8264
ENSG00000037637	4010	33.4747	6.3346
ENSG00000040487	449	12.5488	2.3746
ENSG00000041988	403	7.4163	1.4034
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	960	23.4445	4.4365
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14748	108.6530	20.5608
ENSG00000048707	6497	23.9510	4.5324
ENSG00000049089	270	4.8721	0.9220
ENSG00000049239	7379	60.6996	11.4864
ENSG00000049245	6072	164.9990	31.2234
ENSG00000049246	369	3.8915	0.7364
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	22	0.7347	0.1390
ENSG00000050628	9	0.0699	0.0132
ENSG00000052723	4610	58.6561	11.0998
ENSG00000053371	3238	136.3670	25.8054
ENSG00000053372	1422	37.7945	7.1520
ENSG00000054116	1423	32.2140	6.0960
ENSG00000054118	7019	111.1480	21.0331
ENSG00000054267	8600	58.2498	11.0229
ENSG00000054277	1348	29.0445	5.4962
ENSG00000054282	2217	31.6890	5.9966
ENSG00000054392	484	8.4525	1.5995
ENSG00000054523	1209	5.1230	0.9695
ENSG00000055070	6863	108.4380	20.5202
ENSG00000055732	4	0.0453	0.0086
ENSG00000057252	1902	20.2878	3.8391
ENSG00000057468	17	0.3824	0.0724
ENSG00000057757	7223	247.8270	46.8974
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	664	4.0632	0.7689
ENSG00000058668	18353	141.5990	26.7953
ENSG00000058673	18100	139.9510	26.4835
ENSG00000058799	1281	42.4790	8.0385
