gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1004	19.5983	1.9031
ENSG00000000460	1645	19.4180	1.8855
ENSG00000000938	17998	383.0410	37.1943
ENSG00000000971	48	0.4395	0.0427
ENSG00000001460	275	2.4247	0.2354
ENSG00000001461	2812	22.4299	2.1780
ENSG00000004455	11165	147.3410	14.3072
ENSG00000004487	8620	189.2600	18.3777
ENSG00000006555	28	0.3485	0.0338
ENSG00000007341	2496	23.0840	2.2415
ENSG00000007908	2	0.0417	0.0041
ENSG00000007923	2732	39.8092	3.8656
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	18372	252.5070	24.5190
ENSG00000008118	1	0.0250	0.0024
ENSG00000008128	11949	189.9430	18.4440
ENSG00000008130	17723	231.6120	22.4901
ENSG00000009307	71468	931.3760	90.4391
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1718	30.3042	2.9426
ENSG00000009780	677	17.6474	1.7136
ENSG00000009790	4878	47.1905	4.5823
ENSG00000010072	1752	22.2448	2.1600
ENSG00000010165	1961	38.2776	3.7169
ENSG00000010803	5785	97.5725	9.4745
ENSG00000010932	4	0.0775	0.0075
ENSG00000011007	4038	56.1831	5.4555
ENSG00000011009	3614	123.4160	11.9841
ENSG00000011021	6112	66.5888	6.4659
ENSG00000014914	540	8.8264	0.8571
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0041	0.0004
ENSG00000018625	7	0.0834	0.0081
ENSG00000020129	3226	49.2062	4.7781
ENSG00000020633	6466	105.3110	10.2260
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	468	27.0446	2.6261
ENSG00000023902	6074	73.0261	7.0910
ENSG00000023909	2202	30.7343	2.9844
ENSG00000024526	849	10.7861	1.0474
ENSG00000025800	18075	176.3490	17.1239
ENSG00000026751	216	3.5115	0.3410
ENSG00000027644	12	0.1780	0.0173
ENSG00000027869	254	7.5768	0.7357
ENSG00000028137	3358	66.8792	6.4942
ENSG00000031698	9083	177.5900	17.2445
ENSG00000033122	97	0.6069	0.0589
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2505	51.2387	4.9754
ENSG00000036549	2965	24.6891	2.3974
ENSG00000037637	4427	36.9588	3.5888
ENSG00000040487	1744	48.6969	4.7286
ENSG00000041988	2546	46.8978	4.5539
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1005	24.5353	2.3824
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13382	98.5923	9.5736
ENSG00000048707	11382	41.9578	4.0742
ENSG00000049089	1382	24.9725	2.4249
ENSG00000049239	8013	65.9164	6.4007
ENSG00000049245	7771	211.1800	20.5061
ENSG00000049246	840	8.8660	0.8609
ENSG00000049247	96	4.0404	0.3923
ENSG00000049249	68	2.2443	0.2179
ENSG00000050628	4	0.0311	0.0030
ENSG00000052723	3189	40.5813	3.9406
ENSG00000053371	3987	167.8760	16.3013
ENSG00000053372	1714	45.5574	4.4237
ENSG00000054116	3187	72.1551	7.0064
ENSG00000054118	9689	153.4440	14.8998
ENSG00000054267	12234	82.8623	8.0461
ENSG00000054277	612	13.1799	1.2798
ENSG00000054282	2503	35.7782	3.4742
ENSG00000054392	443	7.7419	0.7517
ENSG00000054523	7849	33.2723	3.2308
ENSG00000055070	22778	359.8730	34.9446
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3248	34.6364	3.3633
ENSG00000057468	37	0.8393	0.0815
ENSG00000057757	14670	503.3150	48.8732
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1425	8.7133	0.8461
ENSG00000058668	10052	77.5554	7.5308
ENSG00000058673	21173	163.7070	15.8964
ENSG00000058799	1225	40.6183	3.9442
ENSG00000058804	1423	20.7838	2.0182
ENSG00000059588	11020	106.7430	10.3650
ENSG00000060642	1335	29.6026	2.8745
ENSG00000060656	8	0.0922	0.0090
ENSG00000060688	3182	59.4969	5.7773
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2278	28.3851	2.7563
ENSG00000064886	93	2.1184	0.2057
ENSG00000065135	4611	107.8670	10.4742
ENSG00000065183	552	9.9543	0.9666
ENSG00000065243	5927	63.3804	6.1544
ENSG00000065526	27736	156.4750	15.1941
ENSG00000065600	1757	45.2303	4.3920
ENSG00000065978	69669	2707.3600	262.8918
ENSG00000066027	5675	110.1750	10.6983
ENSG00000066056	931	10.4277	1.0126
ENSG00000066135	6488	94.0901	9.1364
ENSG00000066136	2482	31.0922	3.0191
ENSG00000066185	55	1.8870	0.1832
ENSG00000066279	4248	29.2646	2.8417
ENSG00000066294	12320	99.8365	9.6944
ENSG00000066322	5554	169.3860	16.4478
ENSG00000066557	1815	47.1911	4.5824
ENSG00000067208	1511	13.6980	1.3301
ENSG00000067334	7040	87.9289	8.5381
ENSG00000067533	1121	10.6689	1.0360
ENSG00000067606	1320	12.9607	1.2585
ENSG00000067704	3631	65.4310	6.3535
ENSG00000069248	2919	43.2891	4.2035
ENSG00000069275	8507	97.4681	9.4644
ENSG00000069424	30740	283.7210	27.5501
ENSG00000069702	135	1.1717	0.1138
ENSG00000069712	298	4.8319	0.4692
ENSG00000069812	80	1.1100	0.1078
ENSG00000070759	2402	52.0642	5.0556
ENSG00000070785	1795	44.2314	4.2950
ENSG00000070831	31114	672.5030	65.3019
ENSG00000070886	2	0.0304	0.0029
ENSG00000072694	114	1.2244	0.1189
ENSG00000073754	36	1.1140	0.1082
ENSG00000073756	1403	19.9651	1.9387
ENSG00000074800	144967	2653.7700	257.6882
ENSG00000074964	631	6.0354	0.5861
ENSG00000075151	13023	115.8730	11.2516
ENSG00000075391	130	0.8242	0.0800
ENSG00000075945	1160	17.3500	1.6847
ENSG00000076258	110	3.2904	0.3195
ENSG00000076321	2133	37.6030	3.6513
ENSG00000076356	132	0.7183	0.0698
ENSG00000076864	40175	475.0320	46.1268
ENSG00000077152	1719	121.0380	11.7532
ENSG00000077157	7272	37.8737	3.6776
ENSG00000077254	5642	61.1622	5.9390
ENSG00000077522	12	0.1701	0.0165
ENSG00000077549	22778	490.9140	47.6690
ENSG00000077585	302	9.9465	0.9658
ENSG00000078369	27293	333.6020	32.3937
ENSG00000078618	21207	240.2970	23.3335
ENSG00000078808	11738	187.4200	18.1990
ENSG00000078900	949	12.8157	1.2444
ENSG00000079277	5737	53.3875	5.1841
