gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2788	54.3874	4.9226
ENSG00000000460	2088	24.6431	2.2304
ENSG00000000938	57766	1229.4200	111.2743
ENSG00000000971	1889	17.4005	1.5749
ENSG00000001460	1258	11.0778	1.0026
ENSG00000001461	7652	61.0268	5.5235
ENSG00000004455	23953	316.1180	28.6116
ENSG00000004487	12189	267.6170	24.2218
ENSG00000006555	104	1.2928	0.1170
ENSG00000007341	2485	22.9799	2.0799
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	8046	117.2450	10.6118
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	804	11.0544	1.0005
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4925	78.2887	7.0859
ENSG00000008130	17195	224.7180	20.3390
ENSG00000009307	65662	855.7210	77.4507
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	936	16.5218	1.4954
ENSG00000009780	1204	31.4054	2.8425
ENSG00000009790	21598	208.9310	18.9102
ENSG00000010072	1621	20.5899	1.8636
ENSG00000010165	6328	123.4960	11.1776
ENSG00000010803	6495	109.5320	9.9137
ENSG00000010932	9	0.1875	0.0170
ENSG00000011007	5960	82.9134	7.5044
ENSG00000011009	8022	273.9730	24.7971
ENSG00000011021	8357	91.0476	8.2407
ENSG00000014914	942	15.3969	1.3936
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0121	0.0011
ENSG00000020129	7336	111.8930	10.1274
ENSG00000020633	10891	177.3720	16.0538
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	400	23.1193	2.0925
ENSG00000023902	14910	179.2650	16.2252
ENSG00000023909	954	13.3206	1.2056
ENSG00000024526	87	1.1104	0.1005
ENSG00000025800	13508	131.7920	11.9284
ENSG00000026751	251	4.0847	0.3697
ENSG00000027644	126	1.8592	0.1683
ENSG00000027869	426	12.7130	1.1506
ENSG00000028137	27018	538.0700	48.7003
ENSG00000031698	16496	322.5250	29.1915
ENSG00000033122	67	0.4162	0.0377
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3289	67.2913	6.0905
ENSG00000036549	4091	34.0621	3.0829
ENSG00000037637	8615	71.9221	6.5096
ENSG00000040487	4030	112.5260	10.1847
ENSG00000041988	5026	92.5656	8.3780
ENSG00000042781	20	0.0719	0.0065
ENSG00000043514	1713	41.8362	3.7866
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20086	147.9850	13.3940
ENSG00000048707	15609	57.5387	5.2078
ENSG00000049089	7641	138.0560	12.4954
ENSG00000049239	17072	140.4420	12.7113
ENSG00000049245	7629	207.3200	18.7644
ENSG00000049246	141	1.4834	0.1343
ENSG00000049247	16	0.6562	0.0594
ENSG00000049249	52	1.7115	0.1549
ENSG00000050628	18	0.1398	0.0127
ENSG00000052723	3078	39.1722	3.5454
ENSG00000053371	10707	450.8700	40.8080
ENSG00000053372	3820	101.5160	9.1882
ENSG00000054116	6691	151.4760	13.7100
ENSG00000054118	20165	319.3430	28.9036
ENSG00000054267	8687	58.8411	5.3257
ENSG00000054277	8387	180.7490	16.3595
ENSG00000054282	5615	80.2594	7.2642
ENSG00000054392	1052	18.3689	1.6626
ENSG00000054523	6116	25.9252	2.3465
ENSG00000055070	25276	399.3510	36.1450
ENSG00000055732	4	0.0453	0.0041
ENSG00000057252	5204	55.4907	5.0224
ENSG00000057468	35	0.7924	0.0717
ENSG00000057757	5716	196.1230	17.7510
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1580	9.6612	0.8744
ENSG00000058668	32542	251.0670	22.7239
ENSG00000058673	22428	173.4090	15.6952
ENSG00000058799	3249	107.7650	9.7537
ENSG00000058804	2047	29.9024	2.7065
ENSG00000059588	25787	249.7730	22.6068
ENSG00000060642	2511	55.6736	5.0390
ENSG00000060656	188	2.1073	0.1907
ENSG00000060688	4683	87.5682	7.9257
ENSG00000060718	2	0.0181	0.0016
ENSG00000064703	1611	20.0774	1.8172
ENSG00000064886	214	4.8674	0.4405
ENSG00000065135	9241	216.1730	19.5657
ENSG00000065183	2833	51.0969	4.6247
ENSG00000065243	4692	50.1755	4.5413
ENSG00000065526	44468	250.8710	22.7062
ENSG00000065600	4199	108.0710	9.7814
ENSG00000065978	69076	2684.3200	242.9558
ENSG00000066027	6502	126.2380	11.4258
ENSG00000066056	6504	72.8729	6.5957
ENSG00000066135	14989	217.3520	19.6724
ENSG00000066136	7623	95.4887	8.6426
ENSG00000066185	468	15.9886	1.4471
ENSG00000066279	752	5.1821	0.4690
ENSG00000066294	26634	215.8310	19.5347
ENSG00000066322	14298	436.0970	39.4709
