gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1611	31.4256	3.6179
ENSG00000000460	2672	31.5340	3.6303
ENSG00000000938	43705	930.1630	107.0846
ENSG00000000971	114	1.0495	0.1208
ENSG00000001460	870	7.6653	0.8825
ENSG00000001461	2079	16.5826	1.9091
ENSG00000004455	53037	699.9410	80.5803
ENSG00000004487	9647	211.7950	24.3828
ENSG00000006555	71	0.8794	0.1012
ENSG00000007341	1501	13.8813	1.5981
ENSG00000007908	2	0.0356	0.0041
ENSG00000007923	3790	55.2322	6.3586
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1286	17.6729	2.0346
ENSG00000008118	3	0.0822	0.0095
ENSG00000008128	5273	83.8156	9.6492
ENSG00000008130	13901	181.6700	20.9147
ENSG00000009307	102342	1333.7400	153.5462
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	20	0.3479	0.0401
ENSG00000009780	1404	36.6238	4.2163
ENSG00000009790	17425	168.5610	19.4055
ENSG00000010072	2748	34.9026	4.0182
ENSG00000010165	2242	43.7460	5.0362
ENSG00000010803	4210	70.9960	8.1734
ENSG00000010932	6	0.1259	0.0145
ENSG00000011007	5873	81.7103	9.4068
ENSG00000011009	4574	156.2300	17.9860
ENSG00000011021	4515	49.1913	5.6631
ENSG00000014914	25980	424.4190	48.8610
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0262	0.0030
ENSG00000020129	2605	39.7376	4.5748
ENSG00000020633	18379	299.3310	34.4603
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	676	39.0408	4.4946
ENSG00000023902	9394	112.9450	13.0028
ENSG00000023909	1324	18.4823	2.1278
ENSG00000024526	672	8.5310	0.9821
ENSG00000025800	9187	89.6365	10.3194
ENSG00000026751	497	8.0925	0.9316
ENSG00000027644	29	0.4262	0.0491
ENSG00000027869	199	5.9455	0.6845
ENSG00000028137	13032	259.5260	29.8778
ENSG00000031698	10487	205.0280	23.6038
ENSG00000033122	18	0.1109	0.0128
ENSG00000034971	2	0.0720	0.0083
ENSG00000035687	10058	205.7780	23.6900
ENSG00000036549	6162	51.3012	5.9060
ENSG00000037637	4424	36.9344	4.2521
ENSG00000040487	3676	102.6410	11.8165
ENSG00000041988	1070	19.7006	2.2680
ENSG00000042781	0	0.0000	0.0000
