gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	511	9.9633	0.7990
ENSG00000000460	527	6.2199	0.4988
ENSG00000000938	132223	2814.0400	225.6642
ENSG00000000971	4	0.0367	0.0029
ENSG00000001460	643	5.6641	0.4542
ENSG00000001461	1096	8.7377	0.7007
ENSG00000004455	14492	191.2610	15.3376
ENSG00000004487	3580	78.6022	6.3033
ENSG00000006555	16	0.1932	0.0155
ENSG00000007341	1486	13.7406	1.1019
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4295	62.5893	5.0192
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	23052	316.8190	25.4064
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	10128	160.9940	12.9105
ENSG00000008130	24596	321.4260	25.7759
ENSG00000009307	40295	525.1290	42.1112
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	212	3.7335	0.2994
ENSG00000009780	422	11.0073	0.8827
ENSG00000009790	6366	61.5821	4.9384
ENSG00000010072	679	8.6202	0.6913
ENSG00000010165	1820	35.5176	2.8482
ENSG00000010803	4835	81.5415	6.5390
ENSG00000010932	5	0.1119	0.0090
ENSG00000011007	3746	52.1093	4.1787
ENSG00000011009	6736	230.0620	18.4491
ENSG00000011021	4881	53.1819	4.2648
ENSG00000014914	2474	40.4147	3.2409
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0557	0.0045
ENSG00000020129	3245	49.4920	3.9689
ENSG00000020633	5910	96.2606	7.7193
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	827	47.7552	3.8296
ENSG00000023902	1469	17.6632	1.4165
ENSG00000023909	253	3.5266	0.2828
ENSG00000024526	43	0.5401	0.0433
ENSG00000025800	11256	109.8260	8.8072
ENSG00000026751	103	1.6729	0.1341
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	199	5.9518	0.4773
ENSG00000028137	121387	2417.4200	193.8581
ENSG00000031698	12918	252.5770	20.2547
ENSG00000033122	24	0.1501	0.0120
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1929	39.4719	3.1653
ENSG00000036549	1324	11.0275	0.8843
ENSG00000037637	6179	51.5800	4.1363
ENSG00000040487	4139	115.5650	9.2674
ENSG00000041988	4136	76.1807	6.1091
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	434	10.5891	0.8492
ENSG00000044012	9	1.1306	0.0907
ENSG00000047410	4157	30.6294	2.4562
ENSG00000048707	3142	11.5814	0.9287
ENSG00000049089	1861	33.6167	2.6958
ENSG00000049239	6158	50.6590	4.0625
ENSG00000049245	11791	320.3970	25.6933
ENSG00000049246	106	1.1168	0.0896
ENSG00000049247	10	0.4016	0.0322
ENSG00000049249	35	1.1414	0.0915
ENSG00000050628	10	0.0777	0.0062
ENSG00000052723	973	12.3828	0.9930
ENSG00000053371	7055	297.0890	23.8242
ENSG00000053372	4632	123.1160	9.8729
ENSG00000054116	5504	124.6080	9.9926
ENSG00000054118	9149	144.8840	11.6186
ENSG00000054267	4427	29.9828	2.4044
ENSG00000054277	7567	163.0820	13.0779
ENSG00000054282	2048	29.2739	2.3475
ENSG00000054392	350	6.1094	0.4899
ENSG00000054523	3413	14.4676	1.1602
ENSG00000055070	49555	782.9360	62.7853
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1844	19.6647	1.5770
ENSG00000057468	14	0.3215	0.0258
ENSG00000057757	7895	270.8720	21.7218
ENSG00000058085	12	0.1376	0.0110
ENSG00000058453	3850	23.5449	1.8881
ENSG00000058668	6058	46.7421	3.7483
ENSG00000058673	5335	41.2519	3.3081
ENSG00000058799	4107	136.2480	10.9260
ENSG00000058804	1205	17.5947	1.4110
ENSG00000059588	2120	20.5348	1.6467
ENSG00000060642	888	19.7025	1.5800
ENSG00000060656	43	0.4804	0.0385
ENSG00000060688	2368	44.2787	3.5508
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1481	18.4511	1.4796
ENSG00000064886	263	5.9948	0.4807
ENSG00000065135	2501	58.4966	4.6910
ENSG00000065183	525	9.4597	0.7586
ENSG00000065243	1747	18.6832	1.4982
ENSG00000065526	11457	64.6344	5.1832
ENSG00000065600	6085	156.6170	12.5594
ENSG00000065978	103528	4023.1100	322.6216
ENSG00000066027	7381	143.2980	11.4914
ENSG00000066056	31	0.3470	0.0278
ENSG00000066135	3092	44.8386	3.5957
ENSG00000066136	8934	111.9130	8.9746
ENSG00000066185	52	1.7868	0.1433
ENSG00000066279	93	0.6395	0.0513
ENSG00000066294	2102	17.0323	1.3659
ENSG00000066322	10738	327.5150	26.2641
ENSG00000066557	614	15.9615	1.2800
ENSG00000067208	831	7.5300	0.6038
ENSG00000067334	1854	23.1584	1.8571
ENSG00000067533	495	4.7070	0.3775
ENSG00000067606	1322	12.9811	1.0410
ENSG00000067704	3264	58.8169	4.7167
ENSG00000069248	770	11.4137	0.9153
ENSG00000069275	6020	68.9762	5.5313
ENSG00000069424	85214	786.4930	63.0706
ENSG00000069702	30	0.2583	0.0207
ENSG00000069712	24	0.3894	0.0312
ENSG00000069812	4	0.0555	0.0044
ENSG00000070759	4967	107.6680	8.6341
ENSG00000070785	852	21.0095	1.6848
ENSG00000070831	38379	829.5070	66.5200
ENSG00000070886	47	0.6579	0.0528
ENSG00000072694	1508	16.1700	1.2967
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	5198	73.9837	5.9329
ENSG00000074800	552683	10117.5000	811.3405
ENSG00000074964	20881	199.5780	16.0046
ENSG00000075151	13904	123.7130	9.9208
ENSG00000075391	16	0.1015	0.0081
ENSG00000075945	560	8.3698	0.6712
ENSG00000076258	133	3.9742	0.3187
ENSG00000076321	852	15.0254	1.2049
ENSG00000076356	212	1.1527	0.0924
ENSG00000076864	105	1.2453	0.0999
ENSG00000077152	626	44.0676	3.5339
ENSG00000077157	1290	6.7172	0.5387
ENSG00000077254	1202	13.0356	1.0453
ENSG00000077522	1	0.0192	0.0015
ENSG00000077549	86440	1862.9400	149.3930
ENSG00000077585	1321	43.4651	3.4856
ENSG00000078369	79023	965.8930	77.4570
ENSG00000078618	5449	61.7456	4.9515
ENSG00000078808	31409	501.5210	40.2181
ENSG00000078900	2521	34.0434	2.7300
ENSG00000079277	8346	77.6583	6.2276
ENSG00000079335	783	10.2524	0.8222
ENSG00000079739	1000	18.0113	1.4444
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	763	8.4022	0.6738
ENSG00000081019	2514	27.6466	2.2170
ENSG00000081026	259	2.3720	0.1902
ENSG00000081237	17282	152.3660	12.2186
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1133	19.6932	1.5792
ENSG00000081721	2403	102.2930	8.2031
ENSG00000081870	1273	34.6125	2.7757
ENSG00000081985	14	0.2466	0.0198
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	229	1.9023	0.1526
ENSG00000083444	26184	368.6530	29.5630
ENSG00000084070	105150	2390.4900	191.6988
ENSG00000084072	4508	41.8952	3.3597
ENSG00000084073	586	12.2979	0.9862
ENSG00000084623	32706	1422.0000	114.0328
ENSG00000084628	6	0.1507	0.0121
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	4984	73.2514	5.8742
ENSG00000085433	785	12.9718	1.0402
ENSG00000085465	507	12.7139	1.0196
ENSG00000085491	3081	35.2880	2.8298
ENSG00000085552	370	4.1967	0.3365
ENSG00000085831	22	0.1799	0.0144
ENSG00000085832	1640	16.2908	1.3064
ENSG00000085840	2317	55.0532	4.4148
ENSG00000085998	3426	40.3643	3.2369
ENSG00000085999	1123	26.2210	2.1027
ENSG00000086015	8359	70.6304	5.6640
ENSG00000086619	297	3.9186	0.3142
ENSG00000088035	490	7.4282	0.5957
ENSG00000088280	189	2.9035	0.2328
ENSG00000090020	8019	100.6590	8.0720
ENSG00000090104	804	14.6449	1.1744
ENSG00000090273	16166	424.3660	34.0308
ENSG00000090432	3859	118.8020	9.5270
ENSG00000090621	38853	429.6670	34.4559
ENSG00000090686	7333	57.9106	4.6440
ENSG00000091483	2393	83.7890	6.7192
ENSG00000092607	28	0.5518	0.0442
ENSG00000092621	136	1.8186	0.1458
ENSG00000092847	6232	36.2707	2.9086
ENSG00000092850	81	3.0824	0.2472
ENSG00000092853	1700	23.5651	1.8897
ENSG00000092969	17	0.2471	0.0198
ENSG00000092978	401	3.4043	0.2730
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	1000	11.5997	0.9302
ENSG00000097021	8209	125.9520	10.1003
ENSG00000097033	7826	87.9088	7.0496
ENSG00000097046	299	6.2331	0.4999
ENSG00000097096	2	0.0233	0.0019
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	8618	185.4030	14.8679
ENSG00000116128	1177	13.7505	1.1027
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	2602	43.9484	3.5243
ENSG00000116138	809	7.0835	0.5680
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	858	12.2962	0.9861
ENSG00000116157	2524	111.9590	8.9783
ENSG00000116161	5767	95.8987	7.6903
ENSG00000116171	3390	30.6129	2.4549
ENSG00000116183	30	0.2060	0.0165
ENSG00000116191	303	3.0613	0.2455
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	2867	27.2988	2.1891
ENSG00000116199	3789	47.0618	3.7740
ENSG00000116205	562	7.2314	0.5799
ENSG00000116209	7512	135.5550	10.8704
ENSG00000116212	1285	39.9755	3.2057
ENSG00000116213	5591	55.1451	4.4222
ENSG00000116218	2	0.0630	0.0050
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	15623	531.6430	42.6336
ENSG00000116237	2556	39.0312	3.1300
ENSG00000116251	22289	341.1510	27.3576
ENSG00000116254	344	2.6057	0.2090
ENSG00000116260	37570	302.6220	24.2679
ENSG00000116266	1317	16.7557	1.3437
ENSG00000116273	2214	45.1059	3.6171
ENSG00000116285	79	1.4226	0.1141
ENSG00000116288	10753	336.4540	26.9810
ENSG00000116299	314	2.5349	0.2033
ENSG00000116329	4	0.1691	0.0136
ENSG00000116337	51056	560.8070	44.9723
ENSG00000116350	11377	268.4930	21.5310
ENSG00000116353	566	10.7127	0.8591
ENSG00000116396	678	5.4461	0.4367
ENSG00000116406	491	4.8925	0.3923
ENSG00000116455	2871	76.7590	6.1555
ENSG00000116459	8115	179.9040	14.4269
ENSG00000116473	4594	60.1033	4.8198
ENSG00000116478	6369	119.1450	9.5545
ENSG00000116489	5767	104.7260	8.3982
ENSG00000116497	1586	12.9458	1.0381
ENSG00000116514	16815	483.1810	38.7473
ENSG00000116521	16423	504.3780	40.4471
ENSG00000116525	4320	81.5462	6.5394
ENSG00000116539	2644	14.9152	1.1961
ENSG00000116544	303	5.7073	0.4577
ENSG00000116560	37739	381.1480	30.5651
ENSG00000116574	4433	76.0462	6.0983
ENSG00000116580	7029	43.3605	3.4772
ENSG00000116584	77526	784.2580	62.8913
ENSG00000116586	22694	1183.6400	94.9185
ENSG00000116604	113334	1328.1300	106.5055
ENSG00000116641	716	4.9392	0.3961
ENSG00000116649	17291	683.2590	54.7920
ENSG00000116652	5	0.2978	0.0239
ENSG00000116661	66	2.1286	0.1707
ENSG00000116663	2650	109.7470	8.8009
ENSG00000116667	100	0.6838	0.0548
ENSG00000116668	105	1.9418	0.1557
ENSG00000116670	14624	322.3010	25.8460
ENSG00000116675	34	0.3688	0.0296
ENSG00000116678	638	4.1788	0.3351
ENSG00000116679	1138	10.7610	0.8629
ENSG00000116685	9262	211.7300	16.9791
ENSG00000116688	13466	202.8820	16.2695
ENSG00000116690	106	1.5758	0.1264
ENSG00000116691	17407	462.7820	37.1115
ENSG00000116698	17651	159.1750	12.7646
ENSG00000116701	36264	928.9060	74.4909
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	270	2.8304	0.2270
ENSG00000116711	480	12.5106	1.0032
ENSG00000116717	3388	122.8090	9.8483
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	4	0.1680	0.0135
ENSG00000116729	19	0.3158	0.0253
ENSG00000116731	3648	25.0801	2.0112
ENSG00000116741	6590	236.9440	19.0011
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	1800	14.8308	1.1893
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	1042	21.7213	1.7419
ENSG00000116752	1311	75.7021	6.0707
ENSG00000116754	9598	84.9154	6.8095
ENSG00000116761	24	0.7457	0.0598
ENSG00000116771	145	4.3484	0.3487
ENSG00000116774	4	0.1325	0.0106
ENSG00000116783	474	6.0858	0.4880
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	43457	790.6960	63.4076
ENSG00000116791	266	4.8861	0.3918
ENSG00000116793	791	8.2752	0.6636
ENSG00000116809	13827	244.5790	19.6133
ENSG00000116815	1967	82.7330	6.6345
ENSG00000116819	485	16.6323	1.3338
ENSG00000116824	209	9.3216	0.7475
ENSG00000116830	1569	18.8229	1.5095
ENSG00000116833	4	0.0385	0.0031
ENSG00000116852	15898	98.1492	7.8708
ENSG00000116857	2422	46.4031	3.7212
ENSG00000116863	2357	105.7940	8.4838
ENSG00000116871	49992	711.3290	57.0430
ENSG00000116874	462	9.0099	0.7225
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	36	1.4553	0.1167
ENSG00000116885	82	2.1676	0.1738
ENSG00000116898	11056	284.3710	22.8043
ENSG00000116903	720	10.5435	0.8455
ENSG00000116906	1774	41.9398	3.3632
ENSG00000116918	2487	29.7054	2.3821
ENSG00000116922	336	7.0995	0.5693
ENSG00000116954	1720	24.9679	2.0022
ENSG00000116957	1111	32.4572	2.6028
ENSG00000116962	18755	239.8730	19.2360
ENSG00000116977	5268	40.6903	3.2630
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	32	0.4938	0.0396
ENSG00000116984	762	5.0093	0.4017
ENSG00000116985	660	9.6255	0.7719
ENSG00000116990	82	1.2199	0.0978
ENSG00000116991	234	2.3009	0.1845
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	1944	23.0122	1.8454
ENSG00000117009	5009	63.1786	5.0664
ENSG00000117010	740	18.2600	1.4643
ENSG00000117013	81	1.4595	0.1170
ENSG00000117016	254	2.6379	0.2115
ENSG00000117020	245	2.4538	0.1968
ENSG00000117036	1173	13.1161	1.0518
ENSG00000117054	1392	21.8519	1.7523
ENSG00000117069	0	0.0000	0.0000
