gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	334	6.5109	1.4027
ENSG00000000460	747	8.8122	1.8985
ENSG00000000938	2841	60.4580	13.0253
ENSG00000000971	22	0.2026	0.0436
ENSG00000001460	172	1.5129	0.3260
ENSG00000001461	1540	12.2854	2.6468
ENSG00000004455	4648	61.3474	13.2169
ENSG00000004487	6089	133.6960	28.8038
ENSG00000006555	38	0.4704	0.1013
ENSG00000007341	1002	9.2627	1.9956
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1315	19.1564	4.1271
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3880	53.3297	11.4895
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1352	21.4934	4.6306
ENSG00000008130	3163	41.3330	8.9049
ENSG00000009307	43934	572.5490	123.3517
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	19	0.3345	0.0721
ENSG00000009780	587	15.3053	3.2974
ENSG00000009790	3424	33.1243	7.1364
ENSG00000010072	882	11.1952	2.4119
ENSG00000010165	410	7.9969	1.7229
ENSG00000010803	5327	89.8381	19.3550
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4065	56.5535	12.1841
ENSG00000011009	1498	51.1699	11.0242
ENSG00000011021	2088	22.7465	4.9006
ENSG00000014914	1087	17.7534	3.8249
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0051
ENSG00000020129	1310	19.9841	4.3054
ENSG00000020633	2429	39.5529	8.5214
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	166	9.5612	2.0599
ENSG00000023902	9508	114.3140	24.6282
ENSG00000023909	1015	14.1686	3.0525
ENSG00000024526	443	5.6304	1.2130
ENSG00000025800	8079	78.8241	16.9821
ENSG00000026751	502	8.1775	1.7618
ENSG00000027644	5	0.0761	0.0164
ENSG00000027869	291	8.6855	1.8713
ENSG00000028137	6207	123.6150	26.6320
ENSG00000031698	2826	55.2581	11.9050
ENSG00000033122	7	0.0438	0.0094
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2221	45.4427	9.7903
ENSG00000036549	3042	25.3285	5.4568
ENSG00000037637	2289	19.1051	4.1161
ENSG00000040487	327	9.1273	1.9664
ENSG00000041988	456	8.3927	1.8082
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	913	22.3051	4.8055
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10081	74.2679	16.0005
ENSG00000048707	6072	22.3826	4.8222
ENSG00000049089	522	9.4322	2.0321
ENSG00000049239	6227	51.2290	11.0369
ENSG00000049245	6979	189.6340	40.8555
ENSG00000049246	110	1.1665	0.2513
ENSG00000049247	255	10.7347	2.3127
ENSG00000049249	13	0.4146	0.0894
