gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	813	15.8551	1.7096
ENSG00000000460	2607	30.7669	3.3174
ENSG00000000938	5176	110.1580	11.8778
ENSG00000000971	2645	24.3627	2.6269
ENSG00000001460	1301	11.4645	1.2362
ENSG00000001461	3042	24.2605	2.6159
ENSG00000004455	8312	109.6980	11.8281
ENSG00000004487	24086	528.8220	57.0199
ENSG00000006555	34	0.4203	0.0453
ENSG00000007341	2310	21.3640	2.3036
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4684	68.2462	7.3586
ENSG00000007933	22	0.4765	0.0514
ENSG00000007968	43206	593.8100	64.0272
ENSG00000008118	8	0.2242	0.0242
ENSG00000008128	10203	162.1850	17.4875
ENSG00000008130	7345	95.9927	10.3504
ENSG00000009307	109397	1425.6700	153.7224
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	26	0.4510	0.0486
ENSG00000009780	941	24.5469	2.6467
ENSG00000009790	3657	35.3771	3.8145
ENSG00000010072	6572	83.4631	8.9994
ENSG00000010165	2668	52.0744	5.6149
ENSG00000010803	4864	82.0364	8.8455
ENSG00000010932	21	0.4407	0.0475
ENSG00000011007	10162	141.3710	15.2432
ENSG00000011009	3398	116.0510	12.5131
ENSG00000011021	8317	90.6172	9.7707
ENSG00000014914	1027	16.7846	1.8098
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2189	33.3919	3.6005
ENSG00000020633	53846	876.9680	94.5585
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	413	23.8222	2.5686
ENSG00000023902	5587	67.1736	7.2430
ENSG00000023909	12461	173.9020	18.7509
ENSG00000024526	2972	37.7480	4.0702
ENSG00000025800	21819	212.8810	22.9538
ENSG00000026751	332	5.4027	0.5825
ENSG00000027644	25	0.3664	0.0395
ENSG00000027869	513	15.3018	1.6499
ENSG00000028137	5024	100.0620	10.7892
ENSG00000031698	11530	225.4400	24.3079
ENSG00000033122	2512	15.6897	1.6917
ENSG00000034971	4	0.1440	0.0155
ENSG00000035687	2571	52.6056	5.6722
ENSG00000036549	7006	58.3274	6.2891
ENSG00000037637	3539	29.5463	3.1858
ENSG00000040487	1041	29.0767	3.1352
ENSG00000041988	2711	49.9234	5.3830
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2010	49.0772	5.2917
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	38669	284.8900	30.7180
ENSG00000048707	8468	31.2157	3.3658
ENSG00000049089	368	6.6415	0.7161
ENSG00000049239	4865	40.0191	4.3150
ENSG00000049245	12776	347.1650	37.4329
ENSG00000049246	849	8.9588	0.9660
ENSG00000049247	475	19.9961	2.1560
ENSG00000049249	67	2.2115	0.2385
ENSG00000050628	12402	96.3489	10.3888
ENSG00000052723	7540	95.9391	10.3446
ENSG00000053371	4271	179.8430	19.3915
ENSG00000053372	3789	100.6920	10.8571
ENSG00000054116	2502	56.6432	6.1075
ENSG00000054118	12541	198.6030	21.4143
ENSG00000054267	29079	196.9570	21.2367
ENSG00000054277	1660	35.7851	3.8585
ENSG00000054282	2054	29.3591	3.1656
ENSG00000054392	204	3.5535	0.3832
ENSG00000054523	3853	16.3328	1.7611
ENSG00000055070	15108	238.7000	25.7377
ENSG00000055732	11	0.1212	0.0131
ENSG00000057252	3446	36.7496	3.9625
ENSG00000057468	21	0.4804	0.0518
ENSG00000057757	14897	511.0920	55.1082
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1100	6.7260	0.7252
ENSG00000058668	48046	370.6860	39.9690
ENSG00000058673	36862	285.0140	30.7314
ENSG00000058799	2129	70.6086	7.6133
ENSG00000058804	8500	124.1430	13.3857
ENSG00000059588	15273	147.9400	15.9515
ENSG00000060642	1461	32.4072	3.4943
ENSG00000060656	310	3.4654	0.3736
ENSG00000060688	5473	102.3370	11.0344
ENSG00000060718	68	0.6180	0.0666
ENSG00000064703	6949	86.5883	9.3363
ENSG00000064886	231	5.2634	0.5675
ENSG00000065135	13928	325.8250	35.1319
ENSG00000065183	1695	30.5660	3.2958
ENSG00000065243	11229	120.0660	12.9460
ENSG00000065526	55772	314.6430	33.9262
ENSG00000065600	1806	46.4890	5.0126
ENSG00000065978	78996	3069.7900	330.9978
ENSG00000066027	14141	274.5520	29.6034
ENSG00000066056	2040	22.8615	2.4650
ENSG00000066135	2502	36.2805	3.9119
ENSG00000066136	5301	66.4009	7.1596
ENSG00000066185	377	12.8720	1.3879
ENSG00000066279	10110	69.6458	7.5095
ENSG00000066294	9990	80.9561	8.7290
ENSG00000066322	11068	337.5670	36.3979
ENSG00000066557	7483	194.6020	20.9828
ENSG00000067208	2010	18.2250	1.9651
ENSG00000067334	33912	423.5430	45.6682
ENSG00000067533	7156	68.0794	7.3406
ENSG00000067606	345	3.3879	0.3653
ENSG00000067704	8818	158.9010	17.1334
ENSG00000069248	11019	163.4280	17.6215
ENSG00000069275	32649	374.0670	40.3336
ENSG00000069424	9418	86.9276	9.3729
ENSG00000069702	1068	9.2528	0.9977
ENSG00000069712	794	12.8845	1.3893
ENSG00000069812	64	0.8866	0.0956
ENSG00000070759	2724	59.0549	6.3676
ENSG00000070785	2544	62.6967	6.7602
ENSG00000070831	34760	751.2900	81.0074
ENSG00000070886	2	0.0280	0.0030
ENSG00000072694	179	1.9212	0.2072
ENSG00000073754	6	0.1832	0.0198
ENSG00000073756	3650	51.9531	5.6018
ENSG00000074800	36651	670.9450	72.3442
ENSG00000074964	330	3.1511	0.3398
ENSG00000075151	12147	108.0850	11.6542
ENSG00000075391	3876	24.5998	2.6525
ENSG00000075945	4129	61.7684	6.6602
ENSG00000076258	652	19.4323	2.0953
ENSG00000076321	2427	42.7833	4.6131
ENSG00000076356	2463	13.4021	1.4451
ENSG00000076864	6891	81.4760	8.7851
ENSG00000077152	2763	194.6080	20.9835
ENSG00000077157	4611	24.0175	2.5897
ENSG00000077254	13461	145.9320	15.7350
ENSG00000077522	508	7.0327	0.7583
ENSG00000077549	11993	258.4640	27.8688
ENSG00000077585	391	12.8723	1.3880
ENSG00000078369	26942	329.3120	35.5079
ENSG00000078618	26644	301.9030	32.5525
ENSG00000078808	6315	100.8300	10.8719
ENSG00000078900	13	0.1755	0.0189
ENSG00000079277	4314	40.1381	4.3279
ENSG00000079335	4883	63.9297	6.8932
ENSG00000079739	1672	30.1129	3.2469
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	174	1.9190	0.2069
ENSG00000081019	13594	149.5200	16.1219
ENSG00000081026	330	3.0292	0.3266
