gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1501	29.2823	4.2445
ENSG00000000460	2158	25.4669	3.6915
ENSG00000000938	13827	294.2680	42.6544
ENSG00000000971	518	4.7727	0.6918
ENSG00000001460	580	5.1058	0.7401
ENSG00000001461	1947	15.5246	2.2503
ENSG00000004455	11960	157.8360	22.8785
ENSG00000004487	9570	210.1120	30.4558
ENSG00000006555	6	0.0743	0.0108
ENSG00000007341	2049	18.9498	2.7468
ENSG00000007908	53	0.9339	0.1354
ENSG00000007923	4312	62.8352	9.1080
ENSG00000007933	125	2.7052	0.3921
ENSG00000007968	757	10.4002	1.5075
ENSG00000008118	2	0.0561	0.0081
ENSG00000008128	2436	38.7228	5.6129
ENSG00000008130	7999	104.5340	15.1522
ENSG00000009307	64945	846.3730	122.6825
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	812	21.1725	3.0690
ENSG00000009790	9867	95.4518	13.8358
ENSG00000010072	1252	15.9001	2.3047
ENSG00000010165	3161	61.6872	8.9416
ENSG00000010803	6151	103.7450	15.0379
ENSG00000010932	8	0.1679	0.0243
ENSG00000011007	3555	49.4556	7.1686
ENSG00000011009	3060	104.5000	15.1474
ENSG00000011021	3912	42.6252	6.1786
ENSG00000014914	351	5.7408	0.8321
ENSG00000016490	2	0.0449	0.0065
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0834	0.0121
ENSG00000020129	2433	37.1110	5.3793
ENSG00000020633	4652	75.7692	10.9828
ENSG00000021852	2	0.0550	0.0080
ENSG00000023572	457	26.3788	3.8236
ENSG00000023902	5742	69.0349	10.0067
ENSG00000023909	1930	26.9362	3.9044
ENSG00000024526	832	10.5669	1.5317
ENSG00000025800	6935	67.6597	9.8073
ENSG00000026751	246	4.0106	0.5813
ENSG00000027644	13	0.1874	0.0272
ENSG00000027869	93	2.7731	0.4020
ENSG00000028137	8266	164.6180	23.8615
ENSG00000031698	8501	166.2020	24.0911
ENSG00000033122	37	0.2330	0.0338
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5064	103.5970	15.0164
ENSG00000036549	4573	38.0729	5.5187
ENSG00000037637	3364	28.0814	4.0704
ENSG00000040487	782	21.8332	3.1647
ENSG00000041988	1149	21.1594	3.0671
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1518	37.0615	5.3721
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12711	93.6438	13.5737
ENSG00000048707	4317	15.9134	2.3067
ENSG00000049089	830	14.9966	2.1738
ENSG00000049239	6650	54.7041	7.9294
ENSG00000049245	8952	243.2510	35.2595
ENSG00000049246	155	1.6325	0.2366
ENSG00000049247	4	0.1683	0.0244
ENSG00000049249	60	1.9724	0.2859
ENSG00000050628	3	0.0233	0.0034
ENSG00000052723	5642	71.7923	10.4064
ENSG00000053371	3115	131.1590	19.0117
ENSG00000053372	3036	80.6977	11.6972
ENSG00000054116	2809	63.5807	9.2161
ENSG00000054118	7417	117.4620	17.0262
ENSG00000054267	11763	79.6733	11.5487
ENSG00000054277	1917	41.3095	5.9878
ENSG00000054282	5270	75.3227	10.9181
ENSG00000054392	743	12.9721	1.8803
ENSG00000054523	2957	12.5345	1.8169
ENSG00000055070	9739	153.8680	22.3033
ENSG00000055732	19	0.2152	0.0312
ENSG00000057252	3324	35.4482	5.1382
ENSG00000057468	78	1.7912	0.2596
ENSG00000057757	5518	189.3120	27.4409
ENSG00000058085	4	0.0459	0.0066
ENSG00000058453	962	5.8854	0.8531
ENSG00000058668	11772	90.8270	13.1654
ENSG00000058673	18117	140.0800	20.3047
ENSG00000058799	2217	73.5431	10.6601
ENSG00000058804	2904	42.4185	6.1486
ENSG00000059588	18585	180.0200	26.0941
ENSG00000060642	2023	44.8539	6.5016
ENSG00000060656	24	0.2687	0.0389
ENSG00000060688	2680	50.1112	7.2637
ENSG00000060718	40	0.3629	0.0526
ENSG00000064703	3487	43.4471	6.2977
ENSG00000064886	135	3.0713	0.4452
ENSG00000065135	6769	158.3620	22.9547
ENSG00000065183	2087	37.6372	5.4555
ENSG00000065243	7005	74.9070	10.8578
ENSG00000065526	18001	101.5560	14.7207
ENSG00000065600	2684	69.0916	10.0149
ENSG00000065978	54650	2123.7100	307.8337
ENSG00000066027	7024	136.3720	19.7673
ENSG00000066056	3008	33.7020	4.8851
ENSG00000066135	2291	33.2204	4.8153
ENSG00000066136	5194	65.0661	9.4314
ENSG00000066185	343	11.7098	1.6974
ENSG00000066279	1996	13.7537	1.9936
ENSG00000066294	17749	143.8330	20.8486
ENSG00000066322	5931	180.8820	26.2190
ENSG00000066557	3007	78.2077	11.3363
ENSG00000067208	1423	12.9006	1.8700
ENSG00000067334	8399	104.9000	15.2053
ENSG00000067533	1842	17.5225	2.5399
ENSG00000067606	39	0.3867	0.0561
ENSG00000067704	5849	105.4020	15.2781
ENSG00000069248	3711	55.0431	7.9785
ENSG00000069275	14824	169.8460	24.6194
ENSG00000069424	24263	223.9410	32.4604
ENSG00000069702	169	1.4645	0.2123
ENSG00000069712	495	8.0318	1.1642
ENSG00000069812	96	1.3322	0.1931
ENSG00000070759	1935	41.9465	6.0802
ENSG00000070785	1843	45.4174	6.5833
ENSG00000070831	21431	463.1970	67.1407
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	222	2.3794	0.3449
ENSG00000073754	17	0.5191	0.0752
ENSG00000073756	7230	102.9150	14.9176
ENSG00000074800	87461	1601.0700	232.0760
ENSG00000074964	727	6.9498	1.0074
ENSG00000075151	13380	119.0510	17.2565
ENSG00000075391	181	1.1464	0.1662
ENSG00000075945	3753	56.1370	8.1371
ENSG00000076258	439	13.0818	1.8962
ENSG00000076321	1410	24.8519	3.6023
ENSG00000076356	95	0.5147	0.0746
ENSG00000076864	193	2.2773	0.3301
ENSG00000077152	1375	96.8563	14.0394
ENSG00000077157	2763	14.3894	2.0858
ENSG00000077254	7802	84.5795	12.2599
ENSG00000077522	10	0.1384	0.0201
ENSG00000077549	18691	402.8250	58.3898
ENSG00000077585	587	19.3221	2.8007
ENSG00000078369	21559	263.5150	38.1967
ENSG00000078618	18936	214.5690	31.1019
ENSG00000078808	9051	144.5300	20.9497
ENSG00000078900	79	1.0619	0.1539
ENSG00000079277	5824	54.1945	7.8555
ENSG00000079335	3084	40.3788	5.8529
ENSG00000079739	609	10.9681	1.5898
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	371	4.0895	0.5928
ENSG00000081019	4403	48.4228	7.0189
ENSG00000081026	20	0.1793	0.0260
ENSG00000081237	22253	196.1840	28.4370
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	2	0.0242	0.0035
ENSG00000081692	1223	21.2491	3.0801
ENSG00000081721	1684	71.6691	10.3885
ENSG00000081870	2441	66.3556	9.6183
ENSG00000081985	0	0.0000	0.0000
ENSG00000082482	2	0.0384	0.0056
ENSG00000082497	101	1.3823	0.2004
ENSG00000082512	4130	34.3351	4.9769
ENSG00000083444	4990	70.2491	10.1827
ENSG00000084070	16630	378.0690	54.8013
ENSG00000084072	2927	27.2025	3.9430
ENSG00000084073	1858	39.0104	5.6546
ENSG00000084623	17731	770.9190	111.7454
ENSG00000084628	10	0.2511	0.0364
ENSG00000084636	857	6.7280	0.9752
ENSG00000084652	3916	57.5542	8.3425
ENSG00000085433	1781	29.4462	4.2683
ENSG00000085465	258	6.4729	0.9383
ENSG00000085491	3961	45.3706	6.5765
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	12	0.0961	0.0139
ENSG00000085832	16660	165.4700	23.9851
ENSG00000085840	2370	56.3136	8.1627
ENSG00000085998	2114	24.9111	3.6109
ENSG00000085999	842	19.6597	2.8497
ENSG00000086015	2147	18.1448	2.6301
ENSG00000086619	1534	20.2233	2.9314
ENSG00000088035	1417	21.4824	3.1139
ENSG00000088280	60	0.9193	0.1332
ENSG00000090020	2545	31.9461	4.6306
ENSG00000090104	6331	115.3410	16.7187
ENSG00000090273	7206	189.1640	27.4194
ENSG00000090432	1384	42.6158	6.1772
ENSG00000090621	30640	338.8350	49.1144
ENSG00000090686	11875	93.7799	13.5935
ENSG00000091483	3334	116.7230	16.9191
ENSG00000092607	9	0.1774	0.0257
ENSG00000092621	64	0.8536	0.1237
ENSG00000092847	7622	44.3604	6.4301
ENSG00000092850	39	1.4742	0.2137
ENSG00000092853	1399	19.3918	2.8108
ENSG00000092969	4	0.0582	0.0084
ENSG00000092978	1403	11.9103	1.7264
ENSG00000094963	327	3.9306	0.5697
ENSG00000094975	7827	90.7719	13.1575
ENSG00000097021	1506	23.1082	3.3496
ENSG00000097033	10807	121.3960	17.5964
ENSG00000097046	1745	36.3565	5.2699
ENSG00000097096	2	0.0203	0.0029
ENSG00000099260	40	0.5046	0.0731
ENSG00000107404	2795	60.1371	8.7169
ENSG00000116128	131	1.5326	0.2222
ENSG00000116132	131	1.1914	0.1727
ENSG00000116133	1255	21.1973	3.0726
ENSG00000116138	2194	19.2174	2.7856
ENSG00000116141	8	0.0840	0.0122
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	331	4.7430	0.6875
ENSG00000116157	1859	82.4299	11.9483
ENSG00000116161	6527	108.5390	15.7328
ENSG00000116171	7341	66.2949	9.6095
ENSG00000116183	12	0.0824	0.0119
ENSG00000116191	2395	24.2020	3.5081
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	3913	37.2607	5.4010
ENSG00000116199	4394	54.5746	7.9106
ENSG00000116205	1408	18.1291	2.6278
ENSG00000116209	13792	248.8880	36.0765
ENSG00000116212	1042	32.4280	4.7005
ENSG00000116213	2678	26.4160	3.8290
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	7320	249.1000	36.1072
ENSG00000116237	1908	29.1344	4.2231
ENSG00000116251	26132	399.9870	57.9784
