gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1293	25.2250	2.8515
ENSG00000000460	2577	30.4223	3.4390
ENSG00000000938	4882	103.8920	11.7442
ENSG00000000971	373	3.4384	0.3887
ENSG00000001460	396	3.4890	0.3944
ENSG00000001461	2822	22.5078	2.5443
ENSG00000004455	6028	79.5513	8.9926
ENSG00000004487	13165	289.0360	32.6732
ENSG00000006555	41	0.5115	0.0578
ENSG00000007341	1225	11.3304	1.2808
ENSG00000007908	3	0.0484	0.0055
ENSG00000007923	2161	31.4929	3.5600
ENSG00000007933	57	1.2330	0.1394
ENSG00000007968	33258	457.0980	51.6713
ENSG00000008118	13	0.3629	0.0410
ENSG00000008128	5221	82.9972	9.3822
ENSG00000008130	6612	86.4145	9.7685
ENSG00000009307	117973	1537.4400	173.7953
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1457	25.7031	2.9055
ENSG00000009780	719	18.7417	2.1186
ENSG00000009790	2999	29.0092	3.2792
ENSG00000010072	2882	36.6031	4.1377
ENSG00000010165	846	16.5092	1.8662
ENSG00000010803	7784	131.2840	14.8406
ENSG00000010932	8	0.1595	0.0180
ENSG00000011007	6222	86.5659	9.7856
ENSG00000011009	2013	68.7336	7.7698
ENSG00000011021	5627	61.3094	6.9305
ENSG00000014914	147	2.3964	0.2709
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0258	0.0029
ENSG00000018625	14	0.1621	0.0183
ENSG00000020129	1018	15.5280	1.7553
ENSG00000020633	18346	298.7970	33.7766
ENSG00000021852	4	0.1099	0.0124
ENSG00000023572	149	8.6028	0.9725
ENSG00000023902	2886	34.6980	3.9223
ENSG00000023909	3084	43.0411	4.8655
ENSG00000024526	962	12.2231	1.3817
ENSG00000025800	21238	207.2100	23.4235
ENSG00000026751	334	5.4483	0.6159
ENSG00000027644	71	1.0463	0.1183
ENSG00000027869	181	5.3913	0.6094
ENSG00000028137	4332	86.2740	9.7526
ENSG00000031698	4948	96.7427	10.9360
ENSG00000033122	192	1.2012	0.1358
ENSG00000034971	6	0.2160	0.0244
ENSG00000035687	1240	25.3773	2.8687
ENSG00000036549	4851	40.3904	4.5658
ENSG00000037637	7231	60.3646	6.8237
ENSG00000040487	1505	42.0283	4.7510
ENSG00000041988	2631	48.4570	5.4777
ENSG00000042781	1	0.0025	0.0003
ENSG00000043514	827	20.2025	2.2837
ENSG00000044012	2	0.1943	0.0220
ENSG00000047410	21504	158.4260	17.9087
ENSG00000048707	13771	50.7638	5.7384
ENSG00000049089	6015	108.6880	12.2862
ENSG00000049239	13091	107.6950	12.1740
ENSG00000049245	8689	236.1100	26.6903
ENSG00000049246	314	3.3110	0.3743
ENSG00000049247	34	1.4470	0.1636
ENSG00000049249	80	2.6243	0.2967
ENSG00000050628	170	1.3184	0.1490
ENSG00000052723	3640	46.3137	5.2354
ENSG00000053371	3453	145.3940	16.4357
ENSG00000053372	805	21.3916	2.4181
ENSG00000054116	2539	57.4857	6.4983
ENSG00000054118	7706	122.0270	13.7942
ENSG00000054267	17368	117.6390	13.2981
ENSG00000054277	692	14.9230	1.6869
ENSG00000054282	1940	27.7256	3.1342
ENSG00000054392	1100	19.2065	2.1711
ENSG00000054523	4466	18.9314	2.1400
ENSG00000055070	17850	282.0220	31.8803
ENSG00000055732	12	0.1353	0.0153
ENSG00000057252	2286	24.3759	2.7555
ENSG00000057468	107	2.4685	0.2790
ENSG00000057757	12729	436.7360	49.3695
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1124	6.8720	0.7768
ENSG00000058668	19544	150.7890	17.0455
ENSG00000058673	39261	303.5620	34.3152
ENSG00000058799	1439	47.7488	5.3976
ENSG00000058804	1826	26.6631	3.0140
ENSG00000059588	20794	201.4110	22.7679
ENSG00000060642	1123	24.8992	2.8147
ENSG00000060656	204	2.2872	0.2585
ENSG00000060688	3779	70.6642	7.9880
ENSG00000060718	2	0.0181	0.0021
ENSG00000064703	6817	84.9475	9.6026
ENSG00000064886	191	4.3438	0.4910
ENSG00000065135	7136	166.9390	18.8711
ENSG00000065183	676	12.1984	1.3789
ENSG00000065243	5911	63.2070	7.1450
ENSG00000065526	40883	230.6480	26.0729
ENSG00000065600	3103	79.8668	9.0283
ENSG00000065978	55590	2160.2400	244.1979
ENSG00000066027	8483	164.7040	18.6184
ENSG00000066056	3404	38.1353	4.3109
ENSG00000066135	10571	153.2910	17.3283
ENSG00000066136	1798	22.5300	2.5468
ENSG00000066185	89	3.0355	0.3431
ENSG00000066279	6718	46.2804	5.2316
ENSG00000066294	8139	65.9545	7.4556
ENSG00000066322	5260	160.4250	18.1348
ENSG00000066557	2096	54.5014	6.1609
ENSG00000067208	1523	13.8052	1.5606
ENSG00000067334	8658	108.1290	12.2231
ENSG00000067533	1272	12.1024	1.3681
ENSG00000067606	290	2.8515	0.3223
ENSG00000067704	4558	82.1420	9.2855
ENSG00000069248	4303	63.8121	7.2134
ENSG00000069275	8625	98.8223	11.1711
ENSG00000069424	17413	160.7150	18.1676
ENSG00000069702	783	6.7885	0.7674
ENSG00000069712	173	2.8029	0.3168
ENSG00000069812	5	0.0694	0.0078
ENSG00000070759	2464	53.4124	6.0378
ENSG00000070785	687	16.9274	1.9135
ENSG00000070831	27341	590.9470	66.8018
ENSG00000070886	47	0.6547	0.0740
ENSG00000072694	127	1.3652	0.1543
ENSG00000073754	79	2.4068	0.2721
ENSG00000073756	2012	28.6350	3.2370
ENSG00000074800	61605	1127.7500	127.4832
ENSG00000074964	1799	17.1971	1.9440
ENSG00000075151	9664	85.9925	9.7208
ENSG00000075391	973	6.1725	0.6977
ENSG00000075945	768	11.4830	1.2981
ENSG00000076258	122	3.6397	0.4114
ENSG00000076321	1903	33.5480	3.7923
ENSG00000076356	203	1.1069	0.1251
ENSG00000076864	8943	105.7380	11.9528
ENSG00000077152	861	60.6272	6.8534
ENSG00000077157	8832	45.9974	5.1996
ENSG00000077254	6903	74.8387	8.4599
ENSG00000077522	29	0.4071	0.0460
ENSG00000077549	10366	223.4050	25.2542
ENSG00000077585	678	22.3142	2.5224
ENSG00000078369	30021	366.9500	41.4808
ENSG00000078618	15830	179.3670	20.2760
ENSG00000078808	8185	130.6870	14.7731
ENSG00000078900	779	10.5212	1.1893
ENSG00000079277	5990	55.7357	6.3005
ENSG00000079335	5222	68.3601	7.7276
ENSG00000079739	2409	43.3874	4.9046
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	444	4.8887	0.5526
ENSG00000081019	6314	69.4495	7.8507
ENSG00000081026	339	3.1109	0.3517
ENSG00000081237	17427	153.6380	17.3675
ENSG00000081248	3	0.0362	0.0041
ENSG00000081277	2	0.0242	0.0027
ENSG00000081692	537	9.3275	1.0544
ENSG00000081721	2589	110.2220	12.4597
ENSG00000081870	695	18.9047	2.1370
ENSG00000081985	3755	66.5285	7.5205
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	19	0.2614	0.0295
ENSG00000082512	707	5.8743	0.6640
ENSG00000083444	3383	47.6266	5.3838
ENSG00000084070	8885	201.9990	22.8343
ENSG00000084072	2373	22.0538	2.4930
ENSG00000084073	1819	38.1901	4.3171
ENSG00000084623	11759	511.2770	57.7957
ENSG00000084628	146	3.6723	0.4151
ENSG00000084636	152	1.1928	0.1348
ENSG00000084652	4975	73.1154	8.2651
ENSG00000085433	3562	58.8884	6.6569
