gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	632	12.3382	1.8291
ENSG00000000460	336	3.9606	0.5872
ENSG00000000938	2972	63.2619	9.3785
ENSG00000000971	12	0.1126	0.0167
ENSG00000001460	90	0.7950	0.1179
ENSG00000001461	477	3.8043	0.5640
ENSG00000004455	2320	30.6185	4.5392
ENSG00000004487	7318	160.6720	23.8193
ENSG00000006555	2	0.0248	0.0037
ENSG00000007341	1315	12.1589	1.8025
ENSG00000007908	4	0.0711	0.0105
ENSG00000007923	1050	15.2978	2.2679
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	347	4.7638	0.7062
ENSG00000008118	14	0.3924	0.0582
ENSG00000008128	4605	73.2047	10.8525
ENSG00000008130	5532	72.2953	10.7177
ENSG00000009307	108194	1410.0000	209.0309
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	13	0.2305	0.0342
ENSG00000009780	561	14.6356	2.1697
ENSG00000009790	2331	22.5489	3.3428
ENSG00000010072	2587	32.8512	4.8701
ENSG00000010165	487	9.5064	1.4093
ENSG00000010803	4988	84.1194	12.4706
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6563	91.3088	13.5364
ENSG00000011009	1077	36.7696	5.4510
ENSG00000011021	3610	39.3252	5.8299
ENSG00000014914	1084	17.7112	2.6257
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	300	4.5796	0.6789
ENSG00000020633	452	7.3553	1.0904
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	325	18.7513	2.7798
ENSG00000023902	18242	219.3270	32.5149
ENSG00000023909	195	2.7263	0.4042
ENSG00000024526	40	0.5081	0.0753
ENSG00000025800	19222	187.5440	27.8030
ENSG00000026751	393	6.3997	0.9487
ENSG00000027644	59	0.8602	0.1275
ENSG00000027869	456	13.6286	2.0204
ENSG00000028137	13729	273.4210	40.5342
ENSG00000031698	3421	66.8892	9.9162
ENSG00000033122	2	0.0125	0.0019
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1731	35.4165	5.2504
ENSG00000036549	3840	31.9711	4.7397
ENSG00000037637	7170	59.8603	8.8742
ENSG00000040487	315	8.8057	1.3054
ENSG00000041988	625	11.5167	1.7073
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	661	16.1309	2.3914
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17941	132.1810	19.5956
ENSG00000048707	3626	13.3652	1.9814
ENSG00000049089	736	13.2896	1.9701
ENSG00000049239	1234	10.1534	1.5052
ENSG00000049245	16382	445.1750	65.9965
ENSG00000049246	26	0.2742	0.0406
ENSG00000049247	3	0.1262	0.0187
ENSG00000049249	149	4.8831	0.7239
ENSG00000050628	24	0.1865	0.0276
ENSG00000052723	6069	77.2319	11.4495
ENSG00000053371	1198	50.4424	7.4780
ENSG00000053372	623	16.5684	2.4562
ENSG00000054116	1157	26.2019	3.8844
ENSG00000054118	10434	165.2400	24.4965
ENSG00000054267	29005	196.4560	29.1243
ENSG00000054277	684	14.7486	2.1864
ENSG00000054282	1675	23.9384	3.5488
ENSG00000054392	257	4.4793	0.6640
ENSG00000054523	4863	20.6143	3.0560
ENSG00000055070	14007	221.3030	32.8079
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5261	56.0995	8.3167
ENSG00000057468	24	0.5511	0.0817
ENSG00000057757	4815	165.2010	24.4908
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	222	1.3579	0.2013
ENSG00000058668	1371	10.5783	1.5682
ENSG00000058673	33408	258.3120	38.2943
ENSG00000058799	1299	43.0977	6.3892
ENSG00000058804	754	11.0111	1.6324
ENSG00000059588	5215	50.5157	7.4889
ENSG00000060642	425	9.4273	1.3976
ENSG00000060656	45	0.5057	0.0750
ENSG00000060688	2839	53.0825	7.8694
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6374	79.4202	11.7739
ENSG00000064886	7	0.1593	0.0236
ENSG00000065135	17312	404.9810	60.0378
ENSG00000065183	416	7.5042	1.1125
ENSG00000065243	7133	76.2756	11.3077
ENSG00000065526	49808	281.0010	41.6580
ENSG00000065600	751	19.3185	2.8639
ENSG00000065978	71017	2759.7200	409.1246
ENSG00000066027	11564	224.5170	33.2843
ENSG00000066056	1781	19.9567	2.9585
ENSG00000066135	1565	22.6881	3.3635
ENSG00000066136	2453	30.7349	4.5564
ENSG00000066185	84	2.8542	0.4231
ENSG00000066279	215	1.4809	0.2195
ENSG00000066294	4742	38.4270	5.6967
ENSG00000066322	3806	116.0780	17.2084
ENSG00000066557	5587	145.2880	21.5387
ENSG00000067208	259	2.3508	0.3485
ENSG00000067334	16474	205.7570	30.5031
ENSG00000067533	1901	18.0832	2.6808
ENSG00000067606	10	0.1018	0.0151
ENSG00000067704	3136	56.5055	8.3769
ENSG00000069248	4950	73.4168	10.8839
ENSG00000069275	13265	151.9790	22.5306
ENSG00000069424	12667	116.9160	17.3326
ENSG00000069702	11	0.0953	0.0141
ENSG00000069712	108	1.7534	0.2599
ENSG00000069812	6	0.0832	0.0123
ENSG00000070759	1309	28.3783	4.2071
ENSG00000070785	274	6.7486	1.0005
ENSG00000070831	42630	921.3970	136.5956
ENSG00000070886	2	0.0280	0.0042
ENSG00000072694	238	2.5486	0.3778
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	12135	172.7310	25.6071
ENSG00000074800	85542	1565.9500	232.1489
ENSG00000074964	134	1.2844	0.1904
ENSG00000075151	4553	40.5075	6.0052
ENSG00000075391	363	2.3060	0.3419
ENSG00000075945	695	10.3999	1.5418
ENSG00000076258	104	3.0946	0.4587
ENSG00000076321	2264	39.9161	5.9175
ENSG00000076356	387	2.1056	0.3122
ENSG00000076864	24	0.2838	0.0421
ENSG00000077152	58	4.0845	0.6055
ENSG00000077157	1255	6.5340	0.9686
ENSG00000077254	3976	43.1081	6.3907
ENSG00000077522	4	0.0554	0.0082
ENSG00000077549	7041	151.7360	22.4946
ENSG00000077585	384	12.6253	1.8717
ENSG00000078369	23808	291.0000	43.1403
ENSG00000078618	9924	112.4510	16.6706
ENSG00000078808	6532	104.3080	15.4634
ENSG00000078900	2	0.0290	0.0043
ENSG00000079277	3715	34.5733	5.1254
ENSG00000079335	10077	131.9250	19.5576
