gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	229	4.4774	0.6957
ENSG00000000460	250	2.9520	0.4587
ENSG00000000938	11830	251.7780	39.1207
ENSG00000000971	16	0.1473	0.0229
ENSG00000001460	114	1.0074	0.1565
ENSG00000001461	686	5.4682	0.8496
ENSG00000004455	6640	87.6282	13.6155
ENSG00000004487	3964	87.0366	13.5236
ENSG00000006555	20	0.2535	0.0394
ENSG00000007341	538	4.9777	0.7734
ENSG00000007908	3	0.0533	0.0083
ENSG00000007923	694	10.1105	1.5709
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	14374	197.5510	30.6951
ENSG00000008118	3	0.0747	0.0116
ENSG00000008128	2558	40.6687	6.3190
ENSG00000008130	5357	70.0139	10.8786
ENSG00000009307	42418	552.8020	85.8933
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	5	0.0833	0.0129
ENSG00000009780	361	9.4044	1.4612
ENSG00000009790	1072	10.3730	1.6117
ENSG00000010072	711	9.0244	1.4022
ENSG00000010165	297	5.8025	0.9016
ENSG00000010803	2460	41.4875	6.4462
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4075	56.6897	8.8083
ENSG00000011009	1524	52.0633	8.0895
ENSG00000011021	1686	18.3685	2.8541
ENSG00000014914	2429	39.6789	6.1652
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	22	0.2620	0.0407
ENSG00000020129	915	13.9593	2.1690
ENSG00000020633	14068	229.1180	35.5999
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	412	23.8029	3.6985
ENSG00000023902	8022	96.4542	14.9868
ENSG00000023909	2306	32.1786	4.9999
ENSG00000024526	949	12.0495	1.8722
ENSG00000025800	7441	72.5962	11.2799
ENSG00000026751	776	12.6449	1.9647
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	237	7.0613	1.0972
ENSG00000028137	23629	470.5650	73.1155
ENSG00000031698	3354	65.5779	10.1894
ENSG00000033122	20	0.1249	0.0194
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1761	36.0363	5.5992
ENSG00000036549	1322	11.0042	1.7098
ENSG00000037637	2177	18.1753	2.8240
ENSG00000040487	683	19.0778	2.9643
