gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1099	21.4441	3.2272
ENSG00000000460	565	6.6662	1.0032
ENSG00000000938	377	8.0179	1.2066
ENSG00000000971	74	0.6815	0.1026
ENSG00000001460	162	1.4269	0.2147
ENSG00000001461	853	6.8038	1.0239
ENSG00000004455	3711	48.9808	7.3712
ENSG00000004487	15751	345.8210	52.0435
ENSG00000006555	10	0.1225	0.0184
ENSG00000007341	1019	9.4213	1.4178
ENSG00000007908	4	0.0711	0.0107
ENSG00000007923	2257	32.8867	4.9492
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1425	19.5809	2.9468
ENSG00000008118	6	0.1682	0.0253
ENSG00000008128	1806	28.7160	4.3215
ENSG00000008130	2269	29.6494	4.4620
ENSG00000009307	92871	1210.3000	182.1416
ENSG00000009709	262	3.1150	0.4688
ENSG00000009724	24	0.4234	0.0637
ENSG00000009780	290	7.5695	1.1392
ENSG00000009790	1092	10.5609	1.5893
ENSG00000010072	2171	27.5654	4.1484
ENSG00000010165	844	16.4621	2.4774
ENSG00000010803	7319	123.4290	18.5751
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	11161	155.2770	23.3680
ENSG00000011009	2337	79.8320	12.0141
ENSG00000011021	3775	41.1296	6.1897
ENSG00000014914	13	0.2124	0.0320
ENSG00000016490	52	1.1617	0.1748
ENSG00000016602	1	0.0206	0.0031
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	618	9.4299	1.4191
ENSG00000020633	9030	147.0610	22.1315
ENSG00000021852	2	0.0682	0.0103
ENSG00000023572	448	25.8761	3.8941
ENSG00000023902	12321	148.1410	22.2942
ENSG00000023909	239	3.3333	0.5016
ENSG00000024526	578	7.3438	1.1052
ENSG00000025800	17138	167.2130	25.1643
ENSG00000026751	238	3.8727	0.5828
ENSG00000027644	193	2.8334	0.4264
ENSG00000027869	904	26.9976	4.0629
ENSG00000028137	1657	33.0082	4.9675
ENSG00000031698	3942	77.0719	11.5987
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2217	45.3579	6.8260
ENSG00000036549	6489	54.0302	8.1311
ENSG00000037637	6805	56.8081	8.5492
