gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2792	54.4737	4.9053
ENSG00000000460	2851	33.6489	3.0300
ENSG00000000938	2950	62.7897	5.6541
ENSG00000000971	15	0.1381	0.0124
ENSG00000001460	1038	9.1467	0.8236
ENSG00000001461	4049	32.2954	2.9082
ENSG00000004455	12146	160.2990	14.4348
ENSG00000004487	14896	327.0490	29.4504
ENSG00000006555	13	0.1610	0.0145
ENSG00000007341	2864	26.4829	2.3848
ENSG00000007908	38	0.6753	0.0608
ENSG00000007923	4805	70.0181	6.3051
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1350	18.5580	1.6711
ENSG00000008118	3	0.0904	0.0082
ENSG00000008128	4824	76.6857	6.9055
ENSG00000008130	6725	87.8874	7.9142
ENSG00000009307	132693	1729.2800	155.7197
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	5	0.0882	0.0079
ENSG00000009780	1289	33.6092	3.0265
ENSG00000009790	5622	54.3860	4.8974
ENSG00000010072	2090	26.5439	2.3902
ENSG00000010165	3490	68.1142	6.1336
ENSG00000010803	21019	354.4840	31.9209
ENSG00000010932	8	0.1679	0.0151
ENSG00000011007	7095	98.7103	8.8887
ENSG00000011009	3603	123.0580	11.0812
ENSG00000011021	8098	88.2284	7.9449
ENSG00000014914	236	3.8626	0.3478
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1688	25.7523	2.3190
ENSG00000020633	8221	133.8850	12.0562
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	664	38.3164	3.4503
ENSG00000023902	23037	276.9780	24.9416
ENSG00000023909	107	1.4965	0.1348
ENSG00000024526	1352	17.1790	1.5469
ENSG00000025800	19346	188.7590	16.9975
ENSG00000026751	550	8.9566	0.8065
ENSG00000027644	54	0.7887	0.0710
ENSG00000027869	6602	197.1220	17.7506
ENSG00000028137	6776	134.9470	12.1518
ENSG00000031698	11389	222.6640	20.0506
ENSG00000033122	9	0.0562	0.0051
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	10171	208.0710	18.7366
ENSG00000036549	8184	68.1359	6.1356
ENSG00000037637	6557	54.7393	4.9292
ENSG00000040487	1114	31.0949	2.8001
ENSG00000041988	1672	30.8021	2.7737
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2578	62.9492	5.6685
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	32967	242.8800	21.8711
ENSG00000048707	9876	36.4059	3.2783
ENSG00000049089	4472	80.8013	7.2761
ENSG00000049239	5715	47.0162	4.2338
ENSG00000049245	14172	385.1190	34.6795
ENSG00000049246	4632	48.9044	4.4038
ENSG00000049247	133	5.5760	0.5021
ENSG00000049249	418	13.7172	1.2352
ENSG00000050628	13	0.1010	0.0091
ENSG00000052723	8974	114.1880	10.2825
ENSG00000053371	3455	145.4960	13.1017
ENSG00000053372	3070	81.5897	7.3471
ENSG00000054116	4280	96.8916	8.7250
ENSG00000054118	17581	278.4180	25.0712
ENSG00000054267	32534	220.3600	19.8431
ENSG00000054277	1101	23.7296	2.1368
ENSG00000054282	18237	260.6840	23.4743
ENSG00000054392	895	15.6206	1.4066
ENSG00000054523	1072	4.5457	0.4093
ENSG00000055070	13202	208.5900	18.7833
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4560	48.6249	4.3786
ENSG00000057468	83	1.9048	0.1715
ENSG00000057757	6508	223.2970	20.1076
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1073	6.5616	0.5909
ENSG00000058668	17821	137.4960	12.3814
ENSG00000058673	42576	329.1990	29.6440
ENSG00000058799	3000	99.5055	8.9604
ENSG00000058804	3331	48.6467	4.3806
ENSG00000059588	13011	126.0280	11.3486
ENSG00000060642	1194	26.4796	2.3845
ENSG00000060656	13	0.1455	0.0131
ENSG00000060688	4565	85.3598	7.6866
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	7641	95.2073	8.5733
ENSG00000064886	61	1.3866	0.1249
ENSG00000065135	15822	370.1420	33.3309
ENSG00000065183	3048	54.9627	4.9493
