gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	841	16.4126	1.9149
ENSG00000000460	1341	15.8292	1.8469
ENSG00000000938	2569	54.6663	6.3782
ENSG00000000971	8710	80.2151	9.3591
ENSG00000001460	197	1.7336	0.2023
ENSG00000001461	1292	10.3027	1.2021
ENSG00000004455	11028	145.5390	16.9807
ENSG00000004487	14674	322.1810	37.5904
ENSG00000006555	8	0.0991	0.0116
ENSG00000007341	725	6.7007	0.7818
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2227	32.4482	3.7859
ENSG00000007933	4	0.0866	0.0101
ENSG00000007968	3806	52.3035	6.1025
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1786	28.3851	3.3118
ENSG00000008130	4429	57.8845	6.7537
ENSG00000009307	161035	2098.6300	244.8571
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	18	0.3171	0.0370
ENSG00000009780	1015	26.4750	3.0890
ENSG00000009790	3331	32.2203	3.7593
ENSG00000010072	3915	49.7123	5.8002
ENSG00000010165	965	18.8249	2.1964
ENSG00000010803	10407	175.5110	20.4777
ENSG00000010932	21	0.4407	0.0514
ENSG00000011007	12573	174.9170	20.4084
ENSG00000011009	3501	119.5750	13.9514
ENSG00000011021	3148	34.2985	4.0018
ENSG00000014914	54	0.8819	0.1029
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0357	0.0042
ENSG00000020129	2061	31.4364	3.6678
ENSG00000020633	23459	382.0700	44.5779
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	299	17.2679	2.0147
ENSG00000023902	14157	170.2130	19.8595
ENSG00000023909	568	7.9328	0.9256
ENSG00000024526	1034	13.1301	1.5319
ENSG00000025800	17520	170.9350	19.9438
ENSG00000026751	235	3.8258	0.4464
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	240	7.1764	0.8373
ENSG00000028137	3006	59.8654	6.9848
ENSG00000031698	3413	66.7328	7.7860
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3562	72.8710	8.5022
ENSG00000036549	6879	57.2740	6.6824
ENSG00000037637	4136	34.5254	4.0282
ENSG00000040487	420	11.7297	1.3686
ENSG00000041988	1220	22.4644	2.6210
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2034	49.6679	5.7950
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21339	157.2090	18.3423
ENSG00000048707	3242	11.9501	1.3943
ENSG00000049089	1931	34.8851	4.0702
ENSG00000049239	3081	25.3470	2.9574
ENSG00000049245	17015	462.3590	53.9456
ENSG00000049246	1274	13.4530	1.5696
ENSG00000049247	9	0.3786	0.0442
ENSG00000049249	50	1.6550	0.1931
ENSG00000050628	14	0.1088	0.0127
ENSG00000052723	7904	100.5710	11.7341
ENSG00000053371	6698	282.0530	32.9084
ENSG00000053372	2158	57.3437	6.6906
ENSG00000054116	3213	72.7280	8.4855
ENSG00000054118	8643	136.8670	15.9689
ENSG00000054267	27757	188.0020	21.9351
ENSG00000054277	1907	41.1063	4.7961
ENSG00000054282	4227	60.4235	7.0499
ENSG00000054392	1161	20.2628	2.3642
ENSG00000054523	1098	4.6544	0.5430
ENSG00000055070	20089	317.3950	37.0319
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3215	34.2872	4.0005
ENSG00000057468	18	0.4241	0.0495
ENSG00000057757	8384	287.6430	33.5607
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	177	1.0854	0.1266
ENSG00000058668	11240	86.7196	10.1180
ENSG00000058673	30255	233.9270	27.2933
ENSG00000058799	1801	59.7448	6.9707
ENSG00000058804	3670	53.6016	6.2539
ENSG00000059588	15582	150.9290	17.6096
ENSG00000060642	1169	25.9349	3.0259
ENSG00000060656	2	0.0224	0.0026
