gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	239	4.6592	0.8158
ENSG00000000460	394	4.6487	0.8140
ENSG00000000938	220	4.6876	0.8207
ENSG00000000971	24	0.2210	0.0387
ENSG00000001460	60	0.5285	0.0925
ENSG00000001461	252	2.0094	0.3518
ENSG00000004455	1558	20.5553	3.5991
ENSG00000004487	3292	72.2845	12.6564
ENSG00000006555	14	0.1734	0.0304
ENSG00000007341	326	3.0177	0.5284
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	225	3.2788	0.5741
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	42	0.5772	0.1011
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1402	22.2910	3.9030
ENSG00000008130	621	8.1152	1.4209
ENSG00000009307	129481	1687.4200	295.4524
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	244	6.3644	1.1143
ENSG00000009790	283	2.7415	0.4800
ENSG00000010072	2699	34.2733	6.0010
ENSG00000010165	579	11.3000	1.9785
ENSG00000010803	3156	53.2336	9.3208
ENSG00000010932	2	0.0420	0.0073
ENSG00000011007	10118	140.7560	24.6451
ENSG00000011009	645	22.0173	3.8551
ENSG00000011021	335	3.6457	0.6383
ENSG00000014914	163	2.6628	0.4662
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	202	3.0812	0.5395
ENSG00000020633	4707	76.6628	13.4230
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	328	18.9122	3.3114
ENSG00000023902	4692	56.4093	9.8768
ENSG00000023909	64	0.8930	0.1564
ENSG00000024526	45	0.5716	0.1001
ENSG00000025800	8470	82.6441	14.4703
ENSG00000026751	372	6.0586	1.0608
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	500	14.9136	2.6113
ENSG00000028137	2229	44.3879	7.7720
ENSG00000031698	2663	52.0589	9.1151
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	735	15.0434	2.6340
ENSG00000036549	2332	19.4152	3.3994
ENSG00000037637	5567	46.4775	8.1378
ENSG00000040487	141	3.9419	0.6902
ENSG00000041988	975	17.9558	3.1439
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	193	4.7148	0.8255
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5791	42.6682	7.4708
ENSG00000048707	1329	4.8996	0.8579
ENSG00000049089	799	14.4351	2.5275
ENSG00000049239	134	1.1007	0.1927
ENSG00000049245	8737	237.4080	41.5681
ENSG00000049246	161	1.7024	0.2981
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	284	9.3398	1.6353
ENSG00000050628	4	0.0311	0.0054
ENSG00000052723	2774	35.2991	6.1806
ENSG00000053371	1789	75.3346	13.1905
ENSG00000053372	649	17.2371	3.0181
ENSG00000054116	1501	33.9882	5.9510
ENSG00000054118	3816	60.4310	10.5809
ENSG00000054267	16217	109.8410	19.2322
ENSG00000054277	434	9.3549	1.6380
