gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	547	10.6696	1.1694
ENSG00000000460	492	5.8122	0.6370
ENSG00000000938	11551	245.8370	26.9445
ENSG00000000971	204	1.8787	0.2059
ENSG00000001460	495	4.3561	0.4774
ENSG00000001461	903	7.2055	0.7898
ENSG00000004455	21806	287.7810	31.5417
ENSG00000004487	3648	80.1007	8.7793
ENSG00000006555	20	0.2453	0.0269
ENSG00000007341	614	5.6813	0.6227
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1938	28.2417	3.0954
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1801	24.7495	2.7126
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1020	16.2075	1.7764
ENSG00000008130	4568	59.7033	6.5437
ENSG00000009307	91973	1198.6100	131.3713
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	6	0.0988	0.0108
ENSG00000009780	1273	33.1999	3.6388
ENSG00000009790	2046	19.7898	2.1690
ENSG00000010072	2770	35.1736	3.8551
ENSG00000010165	1103	21.5241	2.3591
ENSG00000010803	3810	64.2496	7.0420
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7015	97.5965	10.6969
ENSG00000011009	3017	103.0470	11.2943
ENSG00000011021	1240	13.5110	1.4808
ENSG00000014914	12282	200.6350	21.9902
ENSG00000016490	2	0.0449	0.0049
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1101	16.7907	1.8403
ENSG00000020633	38543	627.7360	68.8018
ENSG00000021852	24	0.6596	0.0723
ENSG00000023572	394	22.7667	2.4953
ENSG00000023902	27191	326.9180	35.8313
ENSG00000023909	951	13.2665	1.4541
ENSG00000024526	669	8.4946	0.9310
ENSG00000025800	6607	64.4596	7.0650
ENSG00000026751	159	2.5901	0.2839
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	257	7.6819	0.8420
ENSG00000028137	20420	406.6720	44.5725
ENSG00000031698	6281	122.8070	13.4601
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	20	0.7201	0.0789
ENSG00000035687	2202	45.0447	4.9371
ENSG00000036549	3433	28.5809	3.1326
ENSG00000037637	4075	34.0164	3.7283
ENSG00000040487	1814	50.6411	5.5504
ENSG00000041988	700	12.8964	1.4135
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	512	12.4930	1.3693
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3132	23.0750	2.5291
ENSG00000048707	2350	8.6639	0.9496
ENSG00000049089	4066	73.4606	8.0515
ENSG00000049239	5295	43.5602	4.7743
ENSG00000049245	14962	406.5660	44.5608
ENSG00000049246	179	1.8926	0.2074
ENSG00000049247	508	21.3539	2.3404
