gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	848	16.5546	1.6338
ENSG00000000460	4694	55.4045	5.4678
ENSG00000000938	18690	397.7630	39.2547
ENSG00000000971	708	6.5157	0.6430
ENSG00000001460	516	4.5435	0.4484
ENSG00000001461	1159	9.2466	0.9125
ENSG00000004455	2972	39.2203	3.8706
ENSG00000004487	7340	161.1580	15.9044
ENSG00000006555	68	0.8395	0.0828
ENSG00000007341	1428	13.2082	1.3035
ENSG00000007908	108	1.9208	0.1896
ENSG00000007923	2702	39.3742	3.8858
ENSG00000007933	72	1.5593	0.1539
ENSG00000007968	9972	137.0520	13.5254
ENSG00000008118	32	0.8942	0.0883
ENSG00000008128	12801	203.4880	20.0819
ENSG00000008130	16231	212.1130	20.9331
ENSG00000009307	81937	1067.8100	105.3811
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1862	32.8567	3.2426
ENSG00000009780	1255	32.7204	3.2291
ENSG00000009790	3488	33.7419	3.3299
ENSG00000010072	5290	67.1771	6.6296
ENSG00000010165	1106	21.5808	2.1298
ENSG00000010803	6323	106.6430	10.5245
ENSG00000010932	19	0.4043	0.0399
ENSG00000011007	9060	126.0370	12.4384
ENSG00000011009	5098	174.1050	17.1822
ENSG00000011021	5383	58.6422	5.7873
ENSG00000014914	585	9.5622	0.9437
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	35	0.4168	0.0411
ENSG00000020129	687	10.4826	1.0345
ENSG00000020633	18715	304.8000	30.0803
ENSG00000021852	1	0.0213	0.0021
ENSG00000023572	568	32.7806	3.2351
ENSG00000023902	26744	321.5490	31.7332
ENSG00000023909	1450	20.2315	1.9966
ENSG00000024526	203	2.5847	0.2551
ENSG00000025800	22477	219.3040	21.6428
ENSG00000026751	1073	17.4802	1.7251
ENSG00000027644	21	0.3050	0.0301
ENSG00000027869	1263	37.6951	3.7201
ENSG00000028137	38101	758.7860	74.8834
ENSG00000031698	5564	108.7820	10.7355
ENSG00000033122	96	0.6016	0.0594
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3344	68.4171	6.7520
ENSG00000036549	2738	22.7958	2.2497
ENSG00000037637	7888	65.8535	6.4990
ENSG00000040487	1167	32.5853	3.2158
ENSG00000041988	2077	38.2495	3.7748
ENSG00000042781	9	0.0318	0.0031
ENSG00000043514	1085	26.4972	2.6150
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11991	88.3387	8.7180
ENSG00000048707	11084	40.8596	4.0324
ENSG00000049089	1489	26.9092	2.6556
ENSG00000049239	4477	36.8304	3.6347
ENSG00000049245	12390	336.6920	33.2277
ENSG00000049246	299	3.1530	0.3112
ENSG00000049247	346	14.5480	1.4357
ENSG00000049249	194	6.3844	0.6301
ENSG00000050628	57	0.4428	0.0437
ENSG00000052723	5285	67.2514	6.6369
ENSG00000053371	1281	53.9236	5.3217
