gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1086	21.1855	1.5652
ENSG00000000460	1035	12.2197	0.9028
ENSG00000000938	148051	3150.9100	232.7972
ENSG00000000971	775	7.1330	0.5270
ENSG00000001460	639	5.6270	0.4157
ENSG00000001461	4799	38.2708	2.8275
ENSG00000004455	32681	431.3050	31.8659
ENSG00000004487	8193	179.8810	13.2901
ENSG00000006555	37	0.4573	0.0338
ENSG00000007341	950	8.7810	0.6488
ENSG00000007908	2	0.0299	0.0022
ENSG00000007923	3384	49.3035	3.6427
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4021	55.2631	4.0830
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4929	78.3584	5.7893
ENSG00000008130	22893	299.1820	22.1043
ENSG00000009307	102246	1332.4800	98.4471
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	312	5.5039	0.4066
ENSG00000009780	1202	31.3414	2.3156
ENSG00000009790	12728	123.1300	9.0972
ENSG00000010072	1720	21.8410	1.6137
ENSG00000010165	1566	30.5693	2.2585
ENSG00000010803	5380	90.7400	6.7041
ENSG00000010932	6	0.1186	0.0088
ENSG00000011007	8584	119.4260	8.8235
ENSG00000011009	6604	225.5610	16.6651
ENSG00000011021	6406	69.7895	5.1562
ENSG00000014914	2608	42.6010	3.1475
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3870	59.0346	4.3616
ENSG00000020633	22329	363.6710	26.8690
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	754	43.5242	3.2157
ENSG00000023902	30331	364.6670	26.9425
ENSG00000023909	604	8.4349	0.6232
ENSG00000024526	63	0.8000	0.0591
ENSG00000025800	27965	272.8510	20.1589
ENSG00000026751	166	2.7033	0.1997
ENSG00000027644	11	0.1608	0.0119
ENSG00000027869	232	6.9252	0.5117
ENSG00000028137	88332	1759.1300	129.9694
ENSG00000031698	19442	380.1170	28.0840
ENSG00000033122	18	0.1129	0.0083
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4061	83.0777	6.1380
ENSG00000036549	1223	10.1786	0.7520
ENSG00000037637	9380	78.3071	5.7855
ENSG00000040487	4094	114.3010	8.4449
ENSG00000041988	2653	48.8610	3.6100
ENSG00000042781	2	0.0073	0.0005
ENSG00000043514	818	19.9652	1.4751
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4915	36.2112	2.6754
ENSG00000048707	8286	30.5440	2.2567
ENSG00000049089	14715	265.8670	19.6429
ENSG00000049239	18475	151.9840	11.2290
ENSG00000049245	21347	580.0880	42.8584
ENSG00000049246	73	0.7717	0.0570
ENSG00000049247	53	2.2165	0.1637
ENSG00000049249	105	3.4641	0.2559
ENSG00000050628	370	2.8752	0.2124
ENSG00000052723	1836	23.3602	1.7259
ENSG00000053371	11403	480.1880	35.4775
ENSG00000053372	1837	48.8228	3.6072
ENSG00000054116	6862	155.3480	11.4775
ENSG00000054118	25493	403.7160	29.8275
ENSG00000054267	5823	39.4385	2.9138
ENSG00000054277	4307	92.8138	6.8573
ENSG00000054282	3830	54.7467	4.0448
ENSG00000054392	936	16.3357	1.2069
ENSG00000054523	5755	24.3961	1.8024
ENSG00000055070	41881	661.6980	48.8880
ENSG00000055732	3	0.0340	0.0025
ENSG00000057252	8339	88.9302	6.5704
ENSG00000057468	6	0.1378	0.0102
ENSG00000057757	7917	271.6240	20.0682
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2974	18.1854	1.3436
ENSG00000058668	19465	150.1800	11.0957
ENSG00000058673	15164	117.2450	8.6624
ENSG00000058799	5335	176.9680	13.0748
ENSG00000058804	2507	36.6167	2.7053
ENSG00000059588	4284	41.4962	3.0658
ENSG00000060642	1782	39.5133	2.9194
ENSG00000060656	435	4.8651	0.3594
ENSG00000060688	2799	52.3311	3.8664
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2297	28.6220	2.1147
ENSG00000064886	299	6.8091	0.5031
ENSG00000065135	8202	191.8730	14.1761
ENSG00000065183	1080	19.4814	1.4393
ENSG00000065243	2134	22.8192	1.6859
ENSG00000065526	41565	234.4970	17.3252
ENSG00000065600	7856	202.1930	14.9385
ENSG00000065978	94730	3681.2000	271.9767
ENSG00000066027	10877	211.1700	15.6018
ENSG00000066056	1935	21.6746	1.6014
ENSG00000066135	8025	116.3690	8.5977
ENSG00000066136	8003	100.2610	7.4075
ENSG00000066185	482	16.4702	1.2169
ENSG00000066279	115	0.7893	0.0583
ENSG00000066294	8908	72.1918	5.3337
ENSG00000066322	12104	369.1650	27.2748
ENSG00000066557	611	15.9005	1.1748
ENSG00000067208	1921	17.4173	1.2868
ENSG00000067334	2233	27.8921	2.0607
ENSG00000067533	320	3.0429	0.2248
ENSG00000067606	998	9.8054	0.7244
ENSG00000067704	14289	257.4970	19.0245
ENSG00000069248	2665	39.5266	2.9203
ENSG00000069275	12891	147.6920	10.9119
ENSG00000069424	60382	557.3050	41.1751
ENSG00000069702	85	0.7406	0.0547
ENSG00000069712	56	0.9085	0.0671
ENSG00000069812	17	0.2358	0.0174
ENSG00000070759	4440	96.2384	7.1103
ENSG00000070785	1610	39.6796	2.9316
ENSG00000070831	74839	1617.5700	119.5100
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2026	21.7233	1.6050
ENSG00000073754	4	0.1221	0.0090
ENSG00000073756	281	4.0046	0.2959
ENSG00000074800	418077	7653.3400	565.4487
ENSG00000074964	10195	97.4437	7.1994
ENSG00000075151	10448	92.9622	6.8683
ENSG00000075391	865	5.4901	0.4056
ENSG00000075945	577	8.6282	0.6375
ENSG00000076258	328	9.7715	0.7219
ENSG00000076321	1408	24.8155	1.8334
ENSG00000076356	1046	5.6950	0.4208
ENSG00000076864	21	0.2481	0.0183
ENSG00000077152	386	27.1681	2.0073
ENSG00000077157	3743	19.4971	1.4405
ENSG00000077254	2358	25.5616	1.8886
ENSG00000077522	24	0.3318	0.0245
ENSG00000077549	72507	1562.6600	115.4535
ENSG00000077585	1257	41.3629	3.0560
ENSG00000078369	118933	1453.7100	107.4041
ENSG00000078618	28710	325.3140	24.0351
ENSG00000078808	35642	569.1140	42.0476
ENSG00000078900	416	5.6230	0.4154
ENSG00000079277	11203	104.2450	7.7019
ENSG00000079335	1390	18.1967	1.3444
ENSG00000079739	11000	198.1260	14.6380
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	682	7.5092	0.5548
ENSG00000081019	5226	57.4751	4.2464
ENSG00000081026	118	1.0787	0.0797
ENSG00000081237	30022	264.6820	19.5554
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	1	0.0119	0.0009
ENSG00000081692	1328	23.0811	1.7053
ENSG00000081721	4417	188.0120	13.8908
ENSG00000081870	1338	36.3733	2.6873
ENSG00000081985	30	0.5389	0.0398
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	611	5.0775	0.3751
ENSG00000083444	37097	522.2970	38.5886
ENSG00000084070	62051	1410.6800	104.2247
ENSG00000084072	5568	51.7450	3.8231
ENSG00000084073	1697	35.6257	2.6321
ENSG00000084623	40639	1766.9000	130.5430
ENSG00000084628	4	0.1004	0.0074
ENSG00000084636	3	0.0236	0.0017
ENSG00000084652	6187	90.9291	6.7181
ENSG00000085433	1302	21.5293	1.5906
ENSG00000085465	197	4.9471	0.3655
ENSG00000085491	8335	95.4687	7.0535
ENSG00000085552	18	0.2014	0.0149
ENSG00000085831	48	0.3814	0.0282
ENSG00000085832	6443	63.9955	4.7282
ENSG00000085840	2813	66.8248	4.9372
ENSG00000085998	2942	34.6627	2.5610
ENSG00000085999	615	14.3674	1.0615
ENSG00000086015	5147	43.4904	3.2132
ENSG00000086619	528	6.9571	0.5140
ENSG00000088035	922	13.9751	1.0325
ENSG00000088280	48	0.7433	0.0549
ENSG00000090020	6577	82.5535	6.0993
ENSG00000090104	774	14.1078	1.0423
ENSG00000090273	10717	281.3270	20.7852
ENSG00000090432	5578	171.7290	12.6878
ENSG00000090621	37580	415.5900	30.7049
ENSG00000090686	8073	63.7560	4.7105
ENSG00000091483	8910	311.9650	23.0488
ENSG00000092607	9	0.1774	0.0131
ENSG00000092621	1752	23.3725	1.7268
ENSG00000092847	20206	117.6040	8.6889
ENSG00000092850	91	3.4474	0.2547
ENSG00000092853	778	10.7851	0.7968
ENSG00000092969	2	0.0291	0.0022
ENSG00000092978	738	6.2622	0.4627
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	1185	13.7393	1.0151
ENSG00000097021	5429	83.3054	6.1548
ENSG00000097033	20192	226.8120	16.7575
ENSG00000097046	494	10.3048	0.7613
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	4526	97.3838	7.1950
ENSG00000116128	2491	29.0989	2.1499
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	4394	74.2072	5.4826
ENSG00000116138	3026	26.5013	1.9580
ENSG00000116141	4	0.0420	0.0031
ENSG00000116147	2	0.0280	0.0021
ENSG00000116151	475	6.8112	0.5032
ENSG00000116157	3066	135.9960	10.0477
ENSG00000116161	6582	109.4550	8.0868
ENSG00000116171	13341	120.4770	8.9012
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	1117	11.2839	0.8337
ENSG00000116194	4	0.0873	0.0065
ENSG00000116198	4720	44.9448	3.3206
ENSG00000116199	6078	75.4812	5.5767
ENSG00000116205	1846	23.7618	1.7556
ENSG00000116209	42634	769.3900	56.8445
ENSG00000116212	2295	71.3915	5.2746
ENSG00000116213	3761	37.0946	2.7406
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	12945	440.4960	32.5450
ENSG00000116237	3463	52.8821	3.9071
ENSG00000116251	30668	469.4070	34.6810
ENSG00000116254	35	0.2620	0.0194
ENSG00000116260	80441	647.9490	47.8721
ENSG00000116266	2899	36.8774	2.7246
ENSG00000116273	4172	84.9973	6.2798
ENSG00000116285	93	1.6687	0.1233
ENSG00000116288	22348	699.2340	51.6612
ENSG00000116299	90	0.7270	0.0537
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	20943	230.0430	16.9961
ENSG00000116350	11585	273.4050	20.1999
ENSG00000116353	1071	20.2641	1.4972
ENSG00000116396	1098	8.8131	0.6511
ENSG00000116406	2430	24.1938	1.7875
