gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	794	15.4990	2.2146
ENSG00000000460	392	4.6259	0.6610
ENSG00000000938	282	6.0037	0.8578
ENSG00000000971	32	0.2947	0.0421
ENSG00000001460	132	1.1628	0.1661
ENSG00000001461	339	2.7071	0.3868
ENSG00000004455	4416	58.2780	8.3272
ENSG00000004487	12772	280.4200	40.0685
ENSG00000006555	6	0.0743	0.0106
ENSG00000007341	698	6.4517	0.9219
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1054	15.3596	2.1947
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	13665	187.8090	26.8356
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4872	77.4476	11.0663
ENSG00000008130	1817	23.7395	3.3921
ENSG00000009307	79140	1031.3700	147.3694
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	43	0.7586	0.1084
ENSG00000009780	175	4.5716	0.6532
ENSG00000009790	1151	11.1348	1.5910
ENSG00000010072	1977	25.1057	3.5873
ENSG00000010165	97	1.8892	0.2699
ENSG00000010803	4668	78.7214	11.2483
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6004	83.5324	11.9357
ENSG00000011009	1879	64.1744	9.1697
ENSG00000011021	9085	98.9743	14.1422
ENSG00000014914	0	0.0000	0.0000
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0587	0.0084
ENSG00000020129	292	4.4596	0.6372
ENSG00000020633	9178	149.4810	21.3590
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	190	10.9446	1.5638
ENSG00000023902	6880	82.7212	11.8198
ENSG00000023909	1889	26.3692	3.7678
ENSG00000024526	464	5.8965	0.8425
ENSG00000025800	17243	168.2340	24.0385
ENSG00000026751	52	0.8471	0.1210
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	53	1.5884	0.2270
ENSG00000028137	1421	28.2905	4.0424
ENSG00000031698	5435	106.2670	15.1842
ENSG00000033122	13	0.0812	0.0116
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2671	54.6448	7.8081
ENSG00000036549	5841	48.6312	6.9488
ENSG00000037637	12937	108.0020	15.4322
ENSG00000040487	370	10.3209	1.4747
ENSG00000041988	1208	22.2488	3.1791
ENSG00000042781	1	0.0047	0.0007
ENSG00000043514	1196	29.1993	4.1722
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15286	112.6150	16.0912
ENSG00000048707	13101	48.2945	6.9007
ENSG00000049089	474	8.5722	1.2249
ENSG00000049239	1465	12.0482	1.7215
ENSG00000049245	7547	205.0850	29.3040
ENSG00000049246	133	1.4019	0.2003
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	77	2.5346	0.3622
ENSG00000050628	129	1.0022	0.1432
ENSG00000052723	3746	47.6644	6.8106
ENSG00000053371	711	29.9568	4.2804
ENSG00000053372	250	6.6386	0.9486
ENSG00000054116	1068	24.1787	3.4548
ENSG00000054118	11936	189.0170	27.0082
ENSG00000054267	18682	126.5360	18.0804
ENSG00000054277	382	8.2402	1.1774
ENSG00000054282	707	10.1029	1.4436
ENSG00000054392	98	1.7109	0.2445
ENSG00000054523	2011	8.5235	1.2179
ENSG00000055070	16607	262.3800	37.4908
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1933	20.6160	2.9458
ENSG00000057468	25	0.5796	0.0828
ENSG00000057757	7858	269.5900	38.5210
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	510	3.1193	0.4457
ENSG00000058668	10676	82.3708	11.7698
ENSG00000058673	51962	401.7690	57.4077
ENSG00000058799	882	29.2565	4.1804
ENSG00000058804	1354	19.7720	2.8252
ENSG00000059588	8950	86.6944	12.3875
ENSG00000060642	209	4.6316	0.6618
ENSG00000060656	68	0.7654	0.1094
ENSG00000060688	2476	46.2957	6.6151
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5420	67.5395	9.6505
ENSG00000064886	68	1.5448	0.2207
ENSG00000065135	4962	116.0880	16.5875
ENSG00000065183	165	2.9704	0.4244
ENSG00000065243	16483	176.2500	25.1838
ENSG00000065526	76947	434.1070	62.0284
ENSG00000065600	901	23.1870	3.3131
ENSG00000065978	49192	1911.6200	273.1464
ENSG00000066027	7593	147.4250	21.0652
ENSG00000066056	271	3.0327	0.4333
ENSG00000066135	3292	47.7370	6.8210
ENSG00000066136	2118	26.5357	3.7916
ENSG00000066185	6	0.2050	0.0293
ENSG00000066279	3035	20.9047	2.9870
ENSG00000066294	1688	13.6782	1.9544
ENSG00000066322	3140	95.7706	13.6844
ENSG00000066557	5749	149.5040	21.3622
ENSG00000067208	190	1.7227	0.2461
ENSG00000067334	10231	127.7760	18.2576
ENSG00000067533	1299	12.3570	1.7657
ENSG00000067606	364	3.5731	0.5106
ENSG00000067704	1197	21.5644	3.0813
ENSG00000069248	4389	65.0856	9.2999
ENSG00000069275	10395	119.1040	17.0185
ENSG00000069424	8080	74.5743	10.6557
ENSG00000069702	185	1.6030	0.2290
ENSG00000069712	14	0.2271	0.0325
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	460	9.9780	1.4257
ENSG00000070785	143	3.5222	0.5033
ENSG00000070831	30128	651.1780	93.0451
ENSG00000070886	63	0.8832	0.1262
ENSG00000072694	22	0.2358	0.0337
ENSG00000073754	12	0.3636	0.0520
ENSG00000073756	335	4.7685	0.6814
ENSG00000074800	21349	390.8170	55.8428
ENSG00000074964	13	0.1243	0.0178
ENSG00000075151	6951	61.8500	8.8376
ENSG00000075391	1071	6.7960	0.9711
ENSG00000075945	629	9.4023	1.3435
ENSG00000076258	12	0.3576	0.0511
ENSG00000076321	2269	40.0016	5.7157
ENSG00000076356	32	0.1759	0.0251
ENSG00000076864	1385	16.3799	2.3405
ENSG00000077152	1186	83.4892	11.9296
ENSG00000077157	3932	20.4794	2.9262
ENSG00000077254	8118	88.0098	12.5755
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	8567	184.6410	26.3828
ENSG00000077585	405	13.3168	1.9028
ENSG00000078369	33504	409.5150	58.5145
ENSG00000078618	3381	38.3102	5.4740
ENSG00000078808	3559	56.8288	8.1201
ENSG00000078900	56	0.7561	0.1080
ENSG00000079277	3478	32.3599	4.6238
ENSG00000079335	7348	96.1978	13.7455
ENSG00000079739	904	16.2848	2.3269
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	64	0.7042	0.1006
ENSG00000081019	12324	135.5510	19.3685
ENSG00000081026	33	0.3032	0.0433
ENSG00000081237	125918	1110.1300	158.6236
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	165	2.8621	0.4090
ENSG00000081721	1911	81.3229	11.6200
ENSG00000081870	678	18.4204	2.6321
ENSG00000081985	28	0.4961	0.0709
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	3354	27.8804	3.9838
ENSG00000083444	429	6.0383	0.8628
ENSG00000084070	11408	259.3420	37.0567
ENSG00000084072	1700	15.7932	2.2567
ENSG00000084073	1636	34.3525	4.9085
ENSG00000084623	10266	446.3690	63.7805
ENSG00000084628	43	1.0797	0.1543
ENSG00000084636	18	0.1413	0.0202
ENSG00000084652	1667	24.4966	3.5003
ENSG00000085433	1668	27.5756	3.9402
ENSG00000085465	1801	45.2015	6.4587
ENSG00000085491	974	11.1507	1.5933
ENSG00000085552	18	0.2027	0.0290
ENSG00000085831	194	1.5559	0.2223
ENSG00000085832	24031	238.6870	34.1053
ENSG00000085840	1881	44.6747	6.3835
ENSG00000085998	244	2.8699	0.4101
ENSG00000085999	160	3.7301	0.5330
ENSG00000086015	1682	14.2100	2.0304
ENSG00000086619	6078	80.1447	11.4517
ENSG00000088035	311	4.7169	0.6740
ENSG00000088280	34	0.5213	0.0745
ENSG00000090020	4298	53.9438	7.7079
ENSG00000090104	13570	247.2040	35.3224
ENSG00000090273	2725	71.5369	10.2217
ENSG00000090432	1790	55.1248	7.8766
ENSG00000090621	16769	185.4390	26.4968
ENSG00000090686	10948	86.4568	12.3536
ENSG00000091483	834	29.1881	4.1706
ENSG00000092607	122	2.4033	0.3434
ENSG00000092621	306	4.0850	0.5837
ENSG00000092847	13929	81.0691	11.5837
ENSG00000092850	15	0.5683	0.0812
ENSG00000092853	293	4.0584	0.5799
ENSG00000092969	6	0.0874	0.0125
ENSG00000092978	461	3.9143	0.5593
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	10973	127.2520	18.1827
ENSG00000097021	297	4.5591	0.6514
ENSG00000097033	24086	270.5520	38.6585
ENSG00000097046	1098	22.8889	3.2705
ENSG00000097096	251	2.9205	0.4173
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	303	6.5132	0.9306
ENSG00000116128	377	4.3997	0.6287
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	134	2.2603	0.3230
ENSG00000116138	689	6.0362	0.8625
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	20	0.2801	0.0400
ENSG00000116151	43	0.6163	0.0881
ENSG00000116157	671	29.7463	4.2504
ENSG00000116161	2598	43.2115	6.1744
ENSG00000116171	1699	15.3403	2.1919
ENSG00000116183	6	0.0412	0.0059
ENSG00000116191	3997	40.3899	5.7712
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1410	13.4241	1.9181
ENSG00000116199	4108	51.0202	7.2901
ENSG00000116205	149	1.9221	0.2746
ENSG00000116209	12965	233.9650	33.4306
ENSG00000116212	1253	38.9772	5.5694
ENSG00000116213	617	6.0882	0.8699
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	3701	125.9460	17.9962
ENSG00000116237	289	4.4207	0.6317
ENSG00000116251	22860	349.8950	49.9955
ENSG00000116254	132	0.9981	0.1426
ENSG00000116260	7306	58.8478	8.4086
ENSG00000116266	5957	75.7868	10.8290
ENSG00000116273	2411	49.1312	7.0202
ENSG00000116285	22	0.3942	0.0563
ENSG00000116288	3178	99.4226	14.2062
ENSG00000116299	65	0.5239	0.0749
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	13145	144.3860	20.6310
ENSG00000116350	23021	543.3010	77.6309
ENSG00000116353	74	1.4066	0.2010
ENSG00000116396	115	0.9219	0.1317
ENSG00000116406	3992	39.7459	5.6792
ENSG00000116455	993	26.5501	3.7937
ENSG00000116459	6178	136.9550	19.5692
ENSG00000116473	14805	193.6820	27.6747
ENSG00000116478	5517	103.2200	14.7488
ENSG00000116489	34603	628.3850	89.7882
ENSG00000116497	1380	11.2607	1.6090
ENSG00000116514	5238	150.5040	21.5052
ENSG00000116521	1706	52.4038	7.4879
ENSG00000116525	2192	41.3765	5.9122
ENSG00000116539	33934	191.4170	27.3511
ENSG00000116544	4	0.0754	0.0108
ENSG00000116560	167260	1689.2700	241.3748
ENSG00000116574	305	5.2322	0.7476
ENSG00000116580	12119	74.7595	10.6822
ENSG00000116584	24723	250.0950	35.7355
ENSG00000116586	420	21.9221	3.1324
ENSG00000116604	73135	857.0530	122.4620
ENSG00000116641	3475	23.9685	3.4248
ENSG00000116649	718	28.3878	4.0563
ENSG00000116652	34	2.2065	0.3153
ENSG00000116661	0	0.0000	0.0000
ENSG00000116663	27	1.1182	0.1598
ENSG00000116667	2172	14.8535	2.1224
ENSG00000116668	511	9.4484	1.3501
ENSG00000116670	1279	28.1851	4.0273
ENSG00000116675	1655	17.9686	2.5675
ENSG00000116678	1261	8.2519	1.1791
ENSG00000116679	17317	163.7970	23.4046
ENSG00000116685	1466	33.5047	4.7874
ENSG00000116688	7555	113.8310	16.2651
ENSG00000116690	12	0.1782	0.0255
ENSG00000116691	1169	31.0904	4.4424
ENSG00000116698	19908	179.5230	25.6516
ENSG00000116701	485	12.4112	1.7734
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	2653	27.8095	3.9736
ENSG00000116711	281	7.3235	1.0464
ENSG00000116717	10286	372.8780	53.2795
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	24	0.3935	0.0562
ENSG00000116731	17597	120.9780	17.2863
ENSG00000116741	13188	474.1630	67.7519
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	13823	113.8980	16.2746
ENSG00000116748	10	0.2997	0.0428
ENSG00000116750	784	16.3370	2.3344
ENSG00000116752	5379	310.5860	44.3788
ENSG00000116754	83889	742.2070	106.0520
ENSG00000116761	214	6.6500	0.9502
ENSG00000116771	22	0.6600	0.0943
ENSG00000116774	36	1.1921	0.1703
ENSG00000116783	106	1.3551	0.1936
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	20333	369.9540	52.8618
ENSG00000116791	130	2.3862	0.3410
ENSG00000116793	4476	46.8180	6.6897
ENSG00000116809	5215	92.2502	13.1814
ENSG00000116815	1352	56.8514	8.1234
ENSG00000116819	114	3.9164	0.5596
ENSG00000116824	826	36.8922	5.2714
ENSG00000116830	976	11.7071	1.6728
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	6228	38.4495	5.4939
ENSG00000116857	1092	20.9221	2.9895
ENSG00000116863	856	38.4028	5.4872
ENSG00000116871	24166	343.8580	49.1330
ENSG00000116874	842	16.4079	2.3445
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	97	3.9569	0.5654
ENSG00000116885	269	7.1556	1.0224
ENSG00000116898	2514	64.6725	9.2409
ENSG00000116903	2497	36.5835	5.2273
ENSG00000116906	2001	47.2896	6.7571
ENSG00000116918	1436	17.1550	2.4512
ENSG00000116922	2732	57.7264	8.2484
ENSG00000116954	1981	28.7534	4.1085
ENSG00000116957	1048	30.5993	4.3723
ENSG00000116962	53	0.6779	0.0969
ENSG00000116977	21965	169.6600	24.2423
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	188	2.9069	0.4154
ENSG00000116984	1022	6.7222	0.9605
ENSG00000116985	22	0.3208	0.0458
ENSG00000116990	0	0.0000	0.0000
ENSG00000116991	71	0.6959	0.0994
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	16258	192.4750	27.5022
ENSG00000117009	2	0.0252	0.0036
ENSG00000117010	243	5.9901	0.8559
ENSG00000117013	134	2.3971	0.3425
