gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1313	25.6241	4.0078
ENSG00000000460	1873	22.1088	3.4580
ENSG00000000938	1232	26.2191	4.1008
ENSG00000000971	5063	46.6283	7.2930
ENSG00000001460	821	7.2321	1.1312
ENSG00000001461	1971	15.7184	2.4585
ENSG00000004455	7811	103.0900	16.1240
ENSG00000004487	8807	193.3590	30.2427
ENSG00000006555	14	0.1734	0.0271
ENSG00000007341	652	6.0267	0.9426
ENSG00000007908	52	0.9244	0.1446
ENSG00000007923	2068	30.1321	4.7129
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2189	30.0847	4.7054
ENSG00000008118	22	0.6166	0.0964
ENSG00000008128	738	11.7325	1.8350
ENSG00000008130	2738	35.7831	5.5967
ENSG00000009307	99178	1292.5000	202.1556
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	5	0.0882	0.0138
ENSG00000009780	594	15.4965	2.4238
ENSG00000009790	1087	10.5133	1.6444
ENSG00000010072	2100	26.6671	4.1709
ENSG00000010165	945	18.4333	2.8831
ENSG00000010803	4345	73.2770	11.4610
ENSG00000010932	6	0.1259	0.0197
ENSG00000011007	4923	68.4849	10.7115
ENSG00000011009	2136	72.9403	11.4083
ENSG00000011021	1835	19.9965	3.1276
ENSG00000014914	375	6.1202	0.9572
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0075
ENSG00000020129	399	6.0846	0.9517
ENSG00000020633	17454	284.2590	44.4601
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	410	23.6528	3.6995
ENSG00000023902	1988	23.8966	3.7376
ENSG00000023909	893	12.4656	1.9497
ENSG00000024526	2468	31.3526	4.9038
ENSG00000025800	13159	128.3840	20.0802
ENSG00000026751	817	13.3147	2.0825
ENSG00000027644	8	0.1163	0.0182
ENSG00000027869	2848	85.0307	13.2994
ENSG00000028137	2368	47.1583	7.3759
ENSG00000031698	8838	172.8000	27.0271
ENSG00000033122	2	0.0125	0.0020
ENSG00000034971	2	0.0720	0.0113
ENSG00000035687	1871	38.2736	5.9862
ENSG00000036549	4373	36.4121	5.6951
ENSG00000037637	4323	36.0926	5.6451
ENSG00000040487	405	11.3120	1.7693
ENSG00000041988	1083	19.9538	3.1209
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	972	23.7301	3.7116
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10481	77.2141	12.0768
ENSG00000048707	2535	9.3432	1.4613
ENSG00000049089	90	1.6208	0.2535
ENSG00000049239	6114	50.2997	7.8672
ENSG00000049245	9717	264.0520	41.2995
ENSG00000049246	568	5.9952	0.9377
ENSG00000049247	1401	58.9389	9.2184
ENSG00000049249	365	11.9733	1.8727
ENSG00000050628	540	4.1935	0.6559
ENSG00000052723	5365	68.2693	10.6778
ENSG00000053371	3738	157.4120	24.6202
ENSG00000053372	1609	42.7576	6.6876
ENSG00000054116	3411	77.2074	12.0758
ENSG00000054118	9371	148.4070	23.2118
ENSG00000054267	18320	124.0840	19.4075
ENSG00000054277	916	19.7307	3.0860
ENSG00000054282	1524	21.7778	3.4062
ENSG00000054392	52	0.9064	0.1418
