gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	567	11.0689	1.6319
ENSG00000000460	1830	21.5974	3.1842
ENSG00000000938	11710	249.2170	36.7428
ENSG00000000971	577	5.3113	0.7831
ENSG00000001460	415	3.6559	0.5390
ENSG00000001461	2249	17.9405	2.6450
ENSG00000004455	10532	138.9990	20.4931
ENSG00000004487	8342	183.1530	27.0028
ENSG00000006555	87	1.0727	0.1581
ENSG00000007341	880	8.1344	1.1993
ENSG00000007908	13	0.2311	0.0341
ENSG00000007923	4346	63.3260	9.3364
ENSG00000007933	61	1.3211	0.1948
ENSG00000007968	23345	320.8430	47.3029
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2933	46.6178	6.8730
ENSG00000008130	5901	77.1178	11.3697
ENSG00000009307	46621	607.5670	89.5757
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	15	0.2581	0.0381
ENSG00000009780	567	14.7803	2.1791
ENSG00000009790	2744	26.5473	3.9140
ENSG00000010072	1270	16.1322	2.3784
ENSG00000010165	5245	102.3680	15.0925
ENSG00000010803	3278	55.2878	8.1513
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6823	94.9162	13.9938
ENSG00000011009	3316	113.2630	16.6987
ENSG00000011021	2503	27.2748	4.0212
ENSG00000014914	1726	28.1923	4.1565
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0018
ENSG00000020129	1887	28.7854	4.2439
ENSG00000020633	9343	152.1740	22.4355
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	420	24.2333	3.5728
ENSG00000023902	4606	55.3807	8.1650
ENSG00000023909	11003	153.5600	22.6398
ENSG00000024526	5043	64.0617	9.4448
ENSG00000025800	11424	111.4640	16.4334
ENSG00000026751	965	15.7276	2.3188
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	335	10.0044	1.4750
ENSG00000028137	8906	177.3660	26.1497
ENSG00000031698	7266	142.0540	20.9434
ENSG00000033122	14	0.0878	0.0130
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2591	52.9984	7.8137
ENSG00000036549	3042	25.3257	3.7339
ENSG00000037637	2911	24.2974	3.5823
ENSG00000040487	1060	29.5983	4.3638
ENSG00000041988	621	11.4450	1.6874
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1044	25.5034	3.7601
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14888	109.6890	16.1717
ENSG00000048707	6065	22.3575	3.2962
ENSG00000049089	690	12.4690	1.8384
ENSG00000049239	7841	64.5049	9.5102
ENSG00000049245	8818	239.6090	35.3263
ENSG00000049246	565	5.9668	0.8797
ENSG00000049247	1046	43.9899	6.4856
ENSG00000049249	25	0.8144	0.1201
ENSG00000050628	100	0.7767	0.1145
ENSG00000052723	3903	49.6661	7.3224
ENSG00000053371	3970	167.1850	24.6487
ENSG00000053372	3584	95.2403	14.0416
ENSG00000054116	2320	52.5240	7.7438
ENSG00000054118	6009	95.1518	14.0285
ENSG00000054267	6844	46.3545	6.8342
ENSG00000054277	3000	64.6520	9.5318
ENSG00000054282	1298	18.5516	2.7351
ENSG00000054392	237	4.1325	0.6093
ENSG00000054523	1950	8.2648	1.2185
ENSG00000055070	6194	97.8603	14.4279
ENSG00000055732	4	0.0453	0.0067
ENSG00000057252	2618	27.9177	4.1160
