gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	599	11.6870	2.8765
ENSG00000000460	167	1.9707	0.4851
ENSG00000000938	19449	413.9160	101.8775
ENSG00000000971	76	0.6994	0.1722
ENSG00000001460	75	0.6606	0.1626
ENSG00000001461	464	3.7000	0.9107
ENSG00000004455	914	12.0593	2.9682
ENSG00000004487	4736	103.9730	25.5909
ENSG00000006555	106	1.3087	0.3221
ENSG00000007341	633	5.8567	1.4415
ENSG00000007908	6	0.1067	0.0263
ENSG00000007923	548	7.9893	1.9664
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	6918	95.0729	23.4004
ENSG00000008118	27	0.7679	0.1890
ENSG00000008128	5714	90.8290	22.3558
ENSG00000008130	13550	177.0810	43.5850
ENSG00000009307	46307	603.4750	148.5339
ENSG00000009709	95	1.1286	0.2778
ENSG00000009724	37	0.6521	0.1605
ENSG00000009780	490	12.7688	3.1428
ENSG00000009790	2051	19.8383	4.8828
ENSG00000010072	2420	30.7320	7.5641
ENSG00000010165	380	7.4106	1.8240
ENSG00000010803	1223	20.6209	5.0754
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4875	67.8178	16.6921
ENSG00000011009	1837	62.7541	15.4457
ENSG00000011021	2907	31.6727	7.7956
ENSG00000014914	446	7.2941	1.7953
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0059
ENSG00000020129	168	2.5660	0.6316
ENSG00000020633	27003	439.7910	108.2461
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	166	9.5935	2.3613
ENSG00000023902	5498	66.0975	16.2686
ENSG00000023909	1175	16.3990	4.0363
ENSG00000024526	294	3.7373	0.9199
ENSG00000025800	12643	123.3520	30.3608
ENSG00000026751	817	13.3073	3.2753
ENSG00000027644	15	0.2270	0.0559
ENSG00000027869	279	8.3428	2.0534
ENSG00000028137	19260	383.5560	94.4050
ENSG00000031698	3490	68.2312	16.7938
ENSG00000033122	2	0.0123	0.0030
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2693	55.0966	13.5610
ENSG00000036549	2813	23.4233	5.7652
ENSG00000037637	4636	38.7004	9.5254
ENSG00000040487	344	9.6087	2.3650
ENSG00000041988	846	15.5798	3.8347
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	563	13.7519	3.3847
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18627	137.2290	33.7764
ENSG00000048707	4341	16.0031	3.9389
ENSG00000049089	241	4.3467	1.0698
ENSG00000049239	1161	9.5511	2.3508
ENSG00000049245	7599	206.5080	50.8280
ENSG00000049246	123	1.3008	0.3202
ENSG00000049247	24	1.0095	0.2485
ENSG00000049249	331	10.8708	2.6756
ENSG00000050628	41	0.3182	0.0783
ENSG00000052723	5064	64.4416	15.8611
ENSG00000053371	728	30.6727	7.5495
ENSG00000053372	480	12.7583	3.1402
ENSG00000054116	978	22.1292	5.4467
ENSG00000054118	8539	135.2240	33.2828
ENSG00000054267	23144	156.7590	38.5832
ENSG00000054277	875	18.8514	4.6399
ENSG00000054282	301	4.3025	1.0590
ENSG00000054392	30	0.5237	0.1289
ENSG00000054523	6832	28.9604	7.1281
ENSG00000055070	7764	122.6670	30.1920
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7138	76.1228	18.7362
ENSG00000057468	7	0.1525	0.0375
ENSG00000057757	2716	93.1743	22.9331
ENSG00000058085	6	0.0688	0.0169
ENSG00000058453	345	2.1067	0.5185
ENSG00000058668	2136	16.4778	4.0557
ENSG00000058673	23906	184.8410	45.4951
ENSG00000058799	1264	41.9412	10.3231
ENSG00000058804	1252	18.2855	4.5006
ENSG00000059588	1819	17.6154	4.3357
ENSG00000060642	1042	23.1138	5.6890
ENSG00000060656	107	1.1939	0.2938
ENSG00000060688	2750	51.4241	12.6571
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3210	39.9945	9.8439
ENSG00000064886	48	1.0816	0.2662
ENSG00000065135	6681	156.2820	38.4658
ENSG00000065183	397	7.1654	1.7636
ENSG00000065243	5454	58.3142	14.3529
ENSG00000065526	30011	169.3090	41.6723
ENSG00000065600	430	11.0731	2.7255
ENSG00000065978	22313	867.0670	213.4121
ENSG00000066027	14417	279.8990	68.8918
ENSG00000066056	242	2.7141	0.6680
ENSG00000066135	1500	21.7459	5.3524
ENSG00000066136	1963	24.5961	6.0539
ENSG00000066185	0	0.0000	0.0000
ENSG00000066279	2099	14.4602	3.5591
ENSG00000066294	1509	12.2314	3.0105
ENSG00000066322	2825	86.1667	21.2083
ENSG00000066557	3328	86.5437	21.3011
ENSG00000067208	430	3.9003	0.9600
ENSG00000067334	7090	88.5555	21.7963
ENSG00000067533	1380	13.1336	3.2326
ENSG00000067606	169	1.6632	0.4094
ENSG00000067704	2407	43.3715	10.6751
ENSG00000069248	4696	69.6405	17.1407
ENSG00000069275	12901	147.8130	36.3813
ENSG00000069424	8911	82.2411	20.2421
ENSG00000069702	1877	16.2707	4.0047
ENSG00000069712	14	0.2271	0.0559
ENSG00000069812	2	0.0277	0.0068
ENSG00000070759	388	8.4072	2.0693
ENSG00000070785	139	3.4312	0.8445
ENSG00000070831	19916	430.4540	105.9481
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	40	0.4284	0.1054
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	18969	270.0120	66.4584
ENSG00000074800	28759	526.4640	129.5791
ENSG00000074964	81	0.7716	0.1899
ENSG00000075151	4048	36.0182	8.8652
ENSG00000075391	323	2.0514	0.5049
ENSG00000075945	432	6.4639	1.5910
ENSG00000076258	18	0.5280	0.1300
ENSG00000076321	2086	36.7732	9.0510
ENSG00000076356	257	1.3992	0.3444
ENSG00000076864	47	0.5587	0.1375
ENSG00000077152	255	17.9230	4.4115
ENSG00000077157	2173	11.3199	2.7862
ENSG00000077254	3569	38.6947	9.5240
ENSG00000077522	936	12.9585	3.1895
ENSG00000077549	3948	85.0819	20.9413
ENSG00000077585	730	24.0132	5.9104
ENSG00000078369	10135	123.8840	30.4918
ENSG00000078618	2077	23.5398	5.7939
ENSG00000078808	3702	59.1194	14.5511
ENSG00000078900	18	0.2428	0.0598
ENSG00000079277	2431	22.6247	5.5686
ENSG00000079335	9975	130.5800	32.1397
ENSG00000079739	920	16.5627	4.0766
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	18	0.1982	0.0488
ENSG00000081019	6589	72.4649	17.8359
ENSG00000081026	53	0.4905	0.1207
ENSG00000081237	72152	636.1140	156.5674
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	136	2.3564	0.5800
ENSG00000081721	1738	73.9728	18.2070
ENSG00000081870	640	17.3958	4.2816
ENSG00000081985	236	4.1791	1.0286
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0068
ENSG00000082512	1808	15.0319	3.6998
ENSG00000083444	270	3.7948	0.9340
ENSG00000084070	22662	515.2040	126.8077
ENSG00000084072	1395	12.9659	3.1913
ENSG00000084073	2735	57.4174	14.1322
ENSG00000084623	5368	233.3740	57.4406
ENSG00000084628	4	0.0934	0.0230
ENSG00000084636	2	0.0157	0.0039
ENSG00000084652	3467	50.9522	12.5409
ENSG00000085433	2551	42.1828	10.3825
ENSG00000085465	873	21.9106	5.3929
ENSG00000085491	2843	32.5629	8.0147
ENSG00000085552	10	0.1088	0.0268
ENSG00000085831	26	0.2083	0.0513
ENSG00000085832	13403	133.1260	32.7664
ENSG00000085840	2521	59.8936	14.7417
ENSG00000085998	303	3.5749	0.8799
ENSG00000085999	191	4.4520	1.0958
ENSG00000086015	1049	8.8658	2.1822
ENSG00000086619	1790	23.6014	5.8090
ENSG00000088035	200	3.0267	0.7450
ENSG00000088280	18	0.2749	0.0677
ENSG00000090020	2445	30.6966	7.5554
ENSG00000090104	8678	158.0880	38.9105
ENSG00000090273	1825	47.8988	11.7894
ENSG00000090432	2057	63.3198	15.5850
ENSG00000090621	14957	165.4020	40.7107
ENSG00000090686	3164	24.9842	6.1494
ENSG00000091483	1220	42.7334	10.5181
ENSG00000092607	108	2.1311	0.5245
ENSG00000092621	157	2.0980	0.5164
ENSG00000092847	4982	28.9967	7.1370
ENSG00000092850	17	0.6350	0.1563
ENSG00000092853	1380	19.1316	4.7089
ENSG00000092969	33	0.4836	0.1190
ENSG00000092978	315	2.6692	0.6570
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	15232	176.6540	43.4799
ENSG00000097021	464	7.1170	1.7517
ENSG00000097033	16909	189.9270	46.7470
ENSG00000097046	683	14.2359	3.5039
ENSG00000097096	114	1.3232	0.3257
ENSG00000099260	2	0.0253	0.0062
ENSG00000107404	582	12.5313	3.0843
ENSG00000116128	3354	39.1852	9.6447
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	123	2.0766	0.5111
