gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	434	8.4756	0.8842
ENSG00000000460	600	7.0870	0.7393
ENSG00000000938	60555	1288.7600	134.4417
ENSG00000000971	65	0.5968	0.0623
ENSG00000001460	465	4.0990	0.4276
ENSG00000001461	2311	18.4275	1.9223
ENSG00000004455	32346	426.8840	44.5318
ENSG00000004487	6747	148.1400	15.4537
ENSG00000006555	34	0.4231	0.0441
ENSG00000007341	1111	10.2773	1.0721
ENSG00000007908	4	0.0711	0.0074
ENSG00000007923	2719	39.6167	4.1327
ENSG00000007933	6	0.1299	0.0136
ENSG00000007968	7071	97.1867	10.1384
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4480	71.2240	7.4300
ENSG00000008130	15969	208.6940	21.7706
ENSG00000009307	49856	649.7360	67.7795
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	441	7.7765	0.8112
ENSG00000009780	490	12.7736	1.3325
ENSG00000009790	4651	44.9877	4.6930
ENSG00000010072	1359	17.2553	1.8000
ENSG00000010165	758	14.7913	1.5430
ENSG00000010803	8027	135.3780	14.1224
ENSG00000010932	17	0.3654	0.0381
ENSG00000011007	6532	90.8783	9.4803
ENSG00000011009	7659	261.5700	27.2866
ENSG00000011021	4625	50.3940	5.2570
ENSG00000014914	2151	35.1453	3.6663
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3877	59.1300	6.1683
ENSG00000020633	13028	212.1790	22.1342
ENSG00000021852	22	0.5973	0.0623
ENSG00000023572	436	25.1917	2.6280
ENSG00000023902	17176	206.5070	21.5425
ENSG00000023909	309	4.3106	0.4497
ENSG00000024526	90	1.1385	0.1188
ENSG00000025800	10256	100.0680	10.4390
ENSG00000026751	113	1.8373	0.1917
ENSG00000027644	7	0.1074	0.0112
ENSG00000027869	280	8.3507	0.8711
ENSG00000028137	21226	422.7140	44.0968
ENSG00000031698	7589	148.3720	15.4779
ENSG00000033122	30	0.1881	0.0196
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1899	38.8505	4.0528
ENSG00000036549	1994	16.6041	1.7321
ENSG00000037637	6081	50.7678	5.2960
ENSG00000040487	3528	98.5138	10.2768
ENSG00000041988	2097	38.6159	4.0284
ENSG00000042781	2	0.0073	0.0008
ENSG00000043514	476	11.6184	1.2120
ENSG00000044012	2	0.2060	0.0215
ENSG00000047410	10712	78.9188	8.2327
ENSG00000048707	7515	27.7004	2.8897
ENSG00000049089	15477	279.6360	29.1712
ENSG00000049239	25571	210.3590	21.9444
ENSG00000049245	12651	343.7690	35.8614
ENSG00000049246	703	7.4223	0.7743
ENSG00000049247	144	6.0695	0.6332
ENSG00000049249	106	3.4838	0.3634
ENSG00000050628	8	0.0622	0.0065
ENSG00000052723	1265	16.1006	1.6796
ENSG00000053371	11872	499.9610	52.1552
ENSG00000053372	2420	64.3168	6.7094
ENSG00000054116	3565	80.6970	8.4182
ENSG00000054118	7152	113.2680	11.8159
ENSG00000054267	6774	45.8843	4.7866
ENSG00000054277	1951	42.0489	4.3865
ENSG00000054282	1987	28.4040	2.9631
ENSG00000054392	570	9.9588	1.0389
ENSG00000054523	4005	16.9758	1.7709
ENSG00000055070	30078	475.2220	49.5744
ENSG00000055732	2	0.0226	0.0024
ENSG00000057252	2783	29.6825	3.0964
ENSG00000057468	14	0.3111	0.0325
ENSG00000057757	4813	165.1170	17.2247
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	4693	28.6949	2.9934
ENSG00000058668	18641	143.8170	15.0028
ENSG00000058673	14535	112.3820	11.7235
ENSG00000058799	1616	53.6157	5.5931
ENSG00000058804	1507	22.0125	2.2963
ENSG00000059588	9653	93.5039	9.7542
ENSG00000060642	1143	25.3442	2.6439
ENSG00000060656	487	5.4512	0.5687
ENSG00000060688	2284	42.7028	4.4547
ENSG00000060718	12	0.1089	0.0114
ENSG00000064703	2598	32.3781	3.3776
ENSG00000064886	82	1.8567	0.1937
ENSG00000065135	4482	104.8570	10.9385
ENSG00000065183	692	12.4773	1.3016
ENSG00000065243	2692	28.7853	3.0028
ENSG00000065526	44012	248.3020	25.9025
ENSG00000065600	1848	47.5707	4.9625
ENSG00000065978	58274	2264.5300	236.2323
ENSG00000066027	4729	91.8059	9.5770
ENSG00000066056	5753	64.4592	6.7243
ENSG00000066135	5152	74.7075	7.7934
ENSG00000066136	4068	50.9666	5.3168
ENSG00000066185	89	3.0579	0.3190
ENSG00000066279	1412	9.7290	1.0149
ENSG00000066294	9927	80.4492	8.3923
ENSG00000066322	7077	215.8380	22.5159
ENSG00000066557	690	17.9424	1.8717
ENSG00000067208	976	8.8507	0.9233
ENSG00000067334	4751	59.3334	6.1896
ENSG00000067533	427	4.0620	0.4237
ENSG00000067606	1315	12.9187	1.3477
ENSG00000067704	5606	101.0240	10.5386
ENSG00000069248	2107	31.2488	3.2598
ENSG00000069275	9538	109.2800	11.3999
ENSG00000069424	77321	713.6410	74.4459
ENSG00000069702	87	0.7548	0.0787
ENSG00000069712	152	2.4599	0.2566
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2637	57.1694	5.9638
ENSG00000070785	1001	24.6704	2.5736
ENSG00000070831	24245	524.0270	54.6656
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	96	1.0309	0.1075
ENSG00000073754	9	0.2748	0.0287
ENSG00000073756	694	9.8846	1.0312
ENSG00000074800	354205	6484.1100	676.4118
ENSG00000074964	3738	35.7279	3.7271
ENSG00000075151	9514	84.6506	8.8306
ENSG00000075391	762	4.8357	0.5044
ENSG00000075945	480	7.1859	0.7496
ENSG00000076258	143	4.2733	0.4458
ENSG00000076321	1176	20.7278	2.1623
ENSG00000076356	323	1.7579	0.1834
ENSG00000076864	643	7.6029	0.7931
ENSG00000077152	506	35.6385	3.7178
ENSG00000077157	3425	17.8396	1.8610
ENSG00000077254	1927	20.8890	2.1791
ENSG00000077522	3	0.0415	0.0043
ENSG00000077549	41362	891.4150	92.9910
ENSG00000077585	737	24.2563	2.5304
ENSG00000078369	68838	841.4050	87.7740
ENSG00000078618	10948	124.0520	12.9409
ENSG00000078808	28698	458.2470	47.8036
ENSG00000078900	495	6.6850	0.6974
ENSG00000079277	5539	51.5453	5.3771
ENSG00000079335	2326	30.4498	3.1765
ENSG00000079739	9805	176.6060	18.4232
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	433	4.7619	0.4968
ENSG00000081019	2783	30.6102	3.1932
ENSG00000081026	65	0.5956	0.0621
ENSG00000081237	20390	179.7630	18.7526
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	2	0.0242	0.0025
ENSG00000081692	1594	27.7115	2.8908
ENSG00000081721	2076	88.3479	9.2163
ENSG00000081870	1028	27.9438	2.9151
ENSG00000081985	6228	110.3510	11.5116
ENSG00000082482	2	0.0384	0.0040
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	766	6.3655	0.6640
ENSG00000083444	12653	178.1420	18.5835
ENSG00000084070	20923	475.6740	49.6215
ENSG00000084072	4396	40.8498	4.2614
ENSG00000084073	610	12.8152	1.3369
ENSG00000084623	20219	879.0770	91.7039
ENSG00000084628	95	2.3950	0.2499
ENSG00000084636	73	0.5761	0.0601
ENSG00000084652	5394	79.2804	8.2704
ENSG00000085433	1587	26.2343	2.7367
ENSG00000085465	278	6.9766	0.7278
ENSG00000085491	2527	28.9386	3.0188
ENSG00000085552	294	3.3326	0.3477
ENSG00000085831	40	0.3200	0.0334
ENSG00000085832	3426	34.0311	3.5501
ENSG00000085840	2926	69.5125	7.2514
ENSG00000085998	3527	41.5487	4.3343
ENSG00000085999	1427	33.3144	3.4753
ENSG00000086015	4369	36.9163	3.8510
ENSG00000086619	631	8.3242	0.8684
ENSG00000088035	426	6.4563	0.6735
ENSG00000088280	34	0.5137	0.0536
ENSG00000090020	6200	77.8244	8.1185
ENSG00000090104	782	14.2385	1.4853
ENSG00000090273	9744	255.7850	26.6831
ENSG00000090432	8297	255.4470	26.6478
ENSG00000090621	32067	354.6200	36.9934
ENSG00000090686	6866	54.2212	5.6563
ENSG00000091483	3916	137.1010	14.3021
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	5072	67.6569	7.0579
ENSG00000092847	11794	68.6415	7.1606
ENSG00000092850	327	12.3817	1.2917
ENSG00000092853	1453	20.1399	2.1010
ENSG00000092969	4	0.0582	0.0061
ENSG00000092978	594	5.0406	0.5258
ENSG00000094963	3	0.0361	0.0038
ENSG00000094975	4790	55.5544	5.7953
ENSG00000097021	2665	40.8846	4.2650
ENSG00000097033	8052	90.4424	9.4348
ENSG00000097046	821	17.1175	1.7857
ENSG00000097096	10	0.1163	0.0121
ENSG00000099260	6	0.0760	0.0079
ENSG00000107404	5733	123.3510	12.8678
ENSG00000116128	4019	46.9514	4.8979
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	1891	31.9300	3.3309
ENSG00000116138	1522	13.3292	1.3905
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	35	0.4835	0.0504
ENSG00000116151	573	8.2157	0.8571
ENSG00000116157	3035	134.6170	14.0431
ENSG00000116161	2692	44.7630	4.6696
ENSG00000116171	5911	53.3823	5.5688
ENSG00000116183	7	0.0481	0.0050
ENSG00000116191	1296	13.0935	1.3659
ENSG00000116194	51	1.1112	0.1159
ENSG00000116198	3207	30.5394	3.1858
ENSG00000116199	2026	25.1563	2.6243
ENSG00000116205	704	9.0589	0.9450
ENSG00000116209	10141	183.0150	19.0919
ENSG00000116212	852	26.4956	2.7640
ENSG00000116213	3098	30.5516	3.1871
